ID,Recombination rate
Q0010,
Q0017,
Q0032,
Q0045,
Q0050,
Q0055,
Q0060,
Q0065,
Q0070,
Q0075,
Q0080,
Q0085,
Q0092,
Q0105,
Q0110,
Q0115,
Q0120,
Q0130,
Q0140,
Q0142,
Q0143,
Q0144,
Q0160,
Q0182,
Q0250,
Q0255,
Q0275,
Q0297,
R0020C,
R0040C,
snR10,
YAL001C,-0.358453970912476
YAL002W,-0.184424571137427
YAL003W,0.189033824390017
YAL004W,0.0840642647884745
YAL005C,0.432959407276106
YAL007C,-0.0439433475875971
YAL008W,-0.0291463456595165
YAL009W,-0.286304185156641
YAL010C,-0.3040061868901
YAL011W,0.0285691521967709
YAL012W,0.970853654340484
YAL013W,0.992768430768924
YAL014C,0.400537929583729
YAL015C,0.16349873228288
YAL016C-A,
YAL016C-B,
YAL016W,-0.251538766995965
YAL017W,-0.120294233717712
YAL018C,-0.120294233717712
YAL019W,0.0285691521967709
YAL019W-A,
YAL020C,0.748461233004035
YAL021C,0.454175893185802
YAL022C,0.604071323668861
YAL023C,0.150559676575381
YAL024C,-0.0588936890535686
YAL025C,0.111031312388744
YAL026C,-0.120294233717712
YAL026C-A,
YAL027W,-0.168122758808327
YAL028W,0.367371065648529
YAL029C,-0.0892673380970874
YAL030W,0.0143552929770701
YAL031C,-0.0892673380970874
YAL031W-A,
YAL032C,0.286881147788162
YAL033W,0.575312330687437
YAL034C,0.124328135002202
YAL034C-B,
YAL034WA,
YAL034W-A,0.189033824390017
YAL035C-A,0.286881147788162
YAL035W,0.111031312388744
YAL036C,0.887525270741587
YAL037C-A,
YAL037C-B,
YAL037W,0.669026765509631
YAL038W,1.59454854955035
YAL039C,0.910732661902913
YAL040C,0.526068811667588
YAL041W,0.0565835283663675
YAL042C-A,
YAL042W,0.739848102699327
YAL043C,0.604071323668861
YAL043C-A,0.739848102699327
YAL044C,0.918386234446348
YAL044W-A,
YAL045C,0.432959407276106
YAL046C,0.575312330687437
YAL047C,0.150559676575381
YAL047W-A,
YAL048C,-0.0892673380970874
YAL049C,0.137503523749935
YAL051W,0.0071955014042037
YAL053W,0.356143810225275
YAL054C,0.495695162624069
YAL055W,0.389566811762726
YAL056C-A,
YAL056W,0.321928094887362
YAL058C-A,0.321928094887362
YAL058W,0.124328135002202
YAL059C-A,
YAL059W,0.454175893185802
YAL060W,0.516015147003665
YAL061W,1.19534759832222
YAL062W,0.839959587489532
YAL063C,0.124328135002202
YAL063C-A,
YAL064C-A,
YAL064W,-0.0588936890535686
YAL064W-B,
YAL065C,-0.036525876025114
YAL065C-A,-0.120294233717712
YAL066W,-0.0291463456595165
YAL067C,-0.217591435072627
YAL067W-A,
YAL068C,0.37851162325373
YAL068W-A,
YAL069W,0.622930350920177
YAR002CA,
YAR002C-A,0.250961573533219
YAR002W,-0.494109070270043
YAR003W,-0.234465253637023
YAR007C,-0.251538766995965
YAR008W,-0.494109070270043
YAR009C,-0.0740005814437769
YAR010C,0.333423733725192
YAR014C,-0.0439433475875971
YAR015W,0.0285691521967709
YAR018C,-0.340075441597622
YAR019C,0.0
YAR019W-A,
YAR020C,0.0976107966264223
YAR023C,0.0840642647884745
YAR027W,0.0285691521967709
YAR028W,0.16349873228288
YAR029W,0.124328135002202
YAR030C,0.137503523749935
YAR031W,0.0143552929770701
YAR033W,0.333423733725192
YAR035C-A,
YAR035W,0.0565835283663675
YAR037W,0.0143552929770701
YAR040C,0.150559676575381
YAR042W,0.650764559116902
YAR043C,0.238786859587116
YAR044W,0.0565835283663675
YAR047C,0.18269229751619
YAR050W,0.0426443374084937
YAR052C,-0.168122758808327
YAR053W,0.124328135002202
YAR060C,-0.321928094887362
YAR061W,-0.358453970912476
YAR062W,-0.184424571137427
YAR064W,0.214124805352847
YAR066W,-0.0740005814437769
YAR068W,0.137503523749935
YAR069C,-0.434402824145775
YAR070C,-0.2688167584278
YAR071W,-0.377069649079823
YAR073W,-0.0439433475875971
YAR074C,-0.3040061868901
YAR075W,-0.0439433475875971
YBL001C,-0.395928676331139
YBL002W,0.0565835283663675
YBL003C,-0.0439433475875971
YBL004W,-0.312939311660108
YBL005W,0.0565835283663675
YBL005WA,
YBL005W-A,0.389566811762726
YBL005W-B,-0.200912693925996
YBL006C,0.713695814843359
YBL006W-A,
YBL007C,0.214124805352847
YBL008W,-0.234465253637023
YBL008W-A,
YBL009W,-0.415037499278844
YBL010C,-0.321928094887362
YBL011W,-0.0439433475875971
YBL012C,0.150559676575381
YBL013W,0.400537929583729
YBL014C,-0.2688167584278
YBL015W,0.782408564927373
YBL016W,1.08406426478847
YBL017C,-0.128156351490682
YBL018C,-0.200912693925996
YBL019W,-0.321928094887362
YBL020W,-0.120294233717712
YBL021C,-0.0144995696951151
YBL022C,-0.3040061868901
YBL023C,-0.234465253637023
YBL024W,-0.3040061868901
YBL025W,-0.104697378666693
YBL026W,0.070389327891398
YBL027W,0.111031312388744
YBL028C,0.0285691521967709
YBL029C-A,
YBL029W,0.0
YBL030C,0.475084882948783
YBL031W,0.0840642647884745
YBL032W,0.887525270741587
YBL033C,0.650764559116902
YBL034C,-0.0144995696951151
YBL035C,-0.136061549576028
YBL036C,-0.0588936890535686
YBL037W,-0.0892673380970874
YBL038W,-0.0144995696951151
YBL039C,-0.217591435072627
YBL039C-A,
YBL039W-B,
YBL040C,0.111031312388744
YBL041W,0.356143810225275
YBL042C,-0.104697378666693
YBL043W,0.475084882948783
YBL044W,0.344828496997441
YBL045C,0.389566811762726
YBL046W,0.176322772640463
YBL047C,0.0426443374084937
YBL048W,0.111031312388744
YBL049W,-0.15200309344505
YBL050W,0.298658315564515
YBL051C,-0.200912693925996
YBL052C,0.0285691521967709
YBL053W,-0.321928094887362
YBL054W,0.0565835283663675
YBL055C,0.687060688339892
YBL056W,-0.0439433475875971
YBL057C,0.189033824390017
YBL058W,0.263034405833794
YBL059C-A,
YBL059W,-0.0144995696951151
YBL060W,-0.0144995696951151
YBL061C,-0.120294233717712
YBL062W,-0.0740005814437769
YBL063W,0.0285691521967709
YBL064C,0.344828496997441
YBL065W,-0.168122758808327
YBL066C,0.137503523749935
YBL067C,-0.217591435072627
YBL068W,0.0426443374084937
YBL068W-A,
YBL069W,-0.0144995696951151
YBL070C,0.0976107966264223
YBL071C,0.124328135002202
YBL071C-B,
YBL071W-A,
YBL072C,0.321928094887362
YBL073W,-0.120294233717712
YBL074C,-0.184424571137427
YBL075C,0.20163386116965
YBL076C,0.55581615506164
YBL077W,-0.0439433475875971
YBL078C,-0.0439433475875971
YBL079W,-0.144010302691519
YBL080C,0.37851162325373
YBL081W,0.250961573533219
YBL082C,0.53605290024021
YBL083C,-0.0513991525066442
YBL084C,0.137503523749935
