ID,Physical interaction
YDR305C,20.0
YDR306C,15.0
YDR307W,23.0
YDR308C,49.0
YDR309C,42.0
YDR310C,198.0
YDR311W,54.0
YDR312W,40.0
YDR313C,20.0
YDR314C,20.0
YDR315C,177.0
YDR316W,90.0
YDR316W-A,
YDR316W-B,
YDR317W,9.0
YDR318W,99.0
YDR319C,6.0
YDR320C,136.0
YDR320C-A,10.0
YDR320W-B,
YDR321W,19.0
YDR322CA,
YDR322C-A,13.0
YDR322W,34.0
YDR323C,83.0
YDR324C,58.0
YDR325W,19.0
YDR326C,20.0
YDR327W,
YDR328C,68.0
YDR329C,40.0
YDR330W,27.0
YDR331W,36.0
YDR332W,15.0
YDR333C,8.0
YDR334W,349.0
YDR335W,156.0
YDR336W,16.0
YDR337W,20.0
YDR338C,9.0
YDR339C,12.0
YDR340W,
YDR341C,47.0
YDR342C,29.0
YDR343C,22.0
YDR344C,
YDR345C,28.0
YDR346C,34.0
YDR347W,29.0
YDR348C,38.0
YDR349C,39.0
YDR350C,6.0
YDR351W,12.0
YDR352W,14.0
YDR353W,21.0
YDR354C-A,
YDR354W,24.0
YDR355C,
YDR356W,42.0
YDR357C,29.0
YDR358W,37.0
YDR359C,255.0
YDR360W,
YDR361C,21.0
YDR362C,14.0
YDR363W,72.0
YDR363WA,
YDR363W-A,262.0
YDR364C,31.0
YDR365C,20.0
YDR365W-B,
YDR366C,3.0
YDR367W,7.0
YDR368W,23.0
YDR369C,162.0
YDR370C,1.0
YDR371C-A,
YDR371W,8.0
YDR372C,106.0
YDR373W,38.0
YDR374C,13.0
YDR374W-A,5.0
YDR375C,67.0
YDR376W,3.0
YDR377W,44.0
YDR378C,309.0
YDR379C-A,2.0
YDR379W,38.0
YDR380W,7.0
YDR381C-A,2.0
YDR381W,209.0
YDR382W,151.0
YDR383C,30.0
YDR384C,6.0
YDR385W,88.0
YDR386W,79.0
YDR387C,3.0
YDR388W,391.0
YDR389W,151.0
YDR390C,23.0
YDR391C,9.0
YDR392W,288.0
YDR393W,86.0
YDR394W,114.0
YDR395W,46.0
YDR396W,
YDR397C,15.0
YDR398W,20.0
YDR399W,47.0
YDR400W,13.0
YDR401W,
YDR402C,24.0
YDR403W,22.0
YDR404C,60.0
YDR405W,28.0
YDR406W,12.0
YDR406W-A,
YDR407C,16.0
YDR408C,12.0
YDR409W,63.0
YDR410C,14.0
YDR411C,35.0
YDR412W,17.0
YDR413C,
YDR414C,139.0
YDR415C,13.0
YDR416W,34.0
YDR417C,
YDR418W,52.0
YDR419W,49.0
YDR420W,38.0
YDR421W,16.0
YDR422C,31.0
YDR423C,28.0
YDR424C,59.0
YDR425W,41.0
YDR426C,
YDR427W,45.0
YDR428C,7.0
YDR429C,46.0
YDR430C,29.0
YDR431W,
YDR432W,183.0
YDR433W,
YDR434W,29.0
YDR435C,74.0
YDR436W,39.0
YDR437W,7.0
YDR438W,11.0
YDR439W,137.0
YDR440W,124.0
YDR441C,24.0
YDR442W,
YDR443C,140.0
YDR444W,8.0
YDR445C,
YDR446W,12.0
YDR447C,99.0
YDR448W,109.0
YDR449C,32.0
YDR450W,46.0
YDR451C,47.0
YDR452W,18.0
YDR453C,26.0
YDR454C,13.0
YDR455C,
YDR456W,98.0
YDR457W,36.0
YDR458C,11.0
YDR459C,15.0
YDR460W,20.0
YDR461C-A,2.0
YDR461W,7.0
YDR462W,22.0
YDR463W,75.0
YDR464C-A,
YDR464W,10.0
YDR465C,12.0
YDR466W,22.0
YDR467C,
YDR468C,37.0
YDR469W,170.0
YDR470C,51.0
YDR471W,55.0
YDR472W,18.0
YDR473C,28.0
YDR474C,
YDR475C,30.0
YDR476C,7.0
YDR477W,177.0
YDR478W,14.0
YDR479C,68.0
YDR480W,34.0
YDR481C,18.0
YDR482C,32.0
YDR483W,18.0
YDR484W,120.0
YDR485C,282.0
YDR486C,102.0
YDR487C,9.0
YDR488C,99.0
YDR489W,27.0
YDR490C,34.0
YDR491C,
YDR492W,19.0
YDR493W,14.0
YDR494W,17.0
YDR495C,63.0
YDR496C,113.0
YDR497C,44.0
YDR498C,13.0
YDR499W,28.0
YDR500C,11.0
YDR501W,36.0
YDR502C,37.0
YDR503C,24.0
YDR504C,5.0
YDR505C,56.0
YDR506C,19.0
YDR507C,60.0
YDR508C,61.0
YDR509W,
YDR510C-A,
YDR510W,182.0
YDR511W,6.0
YDR512C,100.0
YDR513W,22.0
YDR514C,13.0
YDR515W,13.0
YDR516C,36.0
YDR517W,18.0
YDR518W,20.0
YDR519W,18.0
YDR520C,33.0
YDR521W,
YDR522C,18.0
YDR523C,11.0
YDR524C,37.0
YDR524C-A,
YDR524C-B,6.0
YDR524W-C,
YDR525W,
YDR525WA,
YDR525W-A,11.0
YDR526C,
YDR527W,6.0
YDR528W,18.0
YDR529C,58.0
YDR530C,16.0
YDR531W,7.0
YDR532C,56.0
YDR533C,13.0
YDR534C,5.0
YDR535C,
YDR536W,14.0
YDR537C,
YDR538W,11.0
YDR539W,6.0
YDR540C,10.0
YDR541C,9.0
YDR542W,2.0
YDR543C,
YDR544C,
YDR545C-A,
YDR545W,9.0
YEL001C,10.0
YEL002C,99.0
YEL003W,291.0
YEL004W,11.0
YEL005C,33.0
YEL006W,2.0
YEL007W,23.0
YEL008C-A,
YEL008W,
YEL009C,61.0
YEL009C-A,
YEL010W,
YEL011W,6.0
YEL012W,41.0
YEL013W,85.0
YEL014C,
YEL015W,39.0
YEL016C,1.0
YEL017CA,
YEL017C-A,20.0
YEL017W,13.0
YEL018C-A,
YEL018W,98.0
YEL019C,22.0
YEL020C,3.0
YEL020C-B,
YEL020WA,
YEL020W-A,10.0
YEL021W,5.0
YEL022W,27.0
YEL023C,13.0
YEL024W,31.0
YEL025C,7.0
YEL026W,56.0
YEL027W,35.0
YEL028W,
YEL029C,14.0
YEL030C-A,
YEL030W,29.0
YEL031W,202.0
YEL032C-A,
YEL032W,42.0
YEL033W,
YEL034C-A,
YEL034W,73.0
YEL035C,2.0
YEL036C,23.0
YEL037C,85.0
YEL038W,5.0
YEL039C,19.0
YEL040W,16.0
YEL041W,11.0
YEL042W,103.0
YEL043W,87.0
YEL044W,23.0
YEL045C,
YEL046C,24.0
YEL047C,20.0
YEL048C,15.0
YEL049W,2.0
YEL050C,22.0
YEL050W-A,
YEL051W,62.0
YEL052W,12.0
YEL053C,28.0
YEL053W-A,
YEL054C,71.0
YEL055C,28.0
YEL056W,53.0
YEL057C,2.0
YEL058W,12.0
YEL059CA,
YEL059C-A,4.0
YEL059W,
YEL060C,34.0
YEL061C,137.0
YEL062W,23.0
YEL063C,19.0
YEL064C,7.0
YEL065W,19.0
YEL066W,12.0
YEL067C,5.0
YEL068C,
YEL069C,
YEL070W,2.0
YEL071W,14.0
YEL072W,4.0
YEL073C,3.0
YEL074W,
YEL075C,2.0
YEL075W-A,
YEL076C,2.0
YEL076C-A,2.0
YEL076W-C,
YEL077C,3.0
YEL077W-A,
YER001W,25.0
YER002W,49.0
YER003C,12.0
YER004W,13.0
YER005W,29.0
YER006C-A,
YER006W,84.0
YER007CA,
YER007C-A,14.0
YER007W,45.0
YER008C,46.0
YER009W,16.0
YER010C,7.0
YER011W,11.0
YER012W,47.0
YER013W,25.0
YER014C-A,5.0
YER014W,32.0
YER015W,5.0
YER016W,154.0
YER017C,31.0
YER018C,63.0
YER019CA,
YER019C-A,39.0
YER019W,124.0
YER020W,38.0
YER021W,77.0
YER022W,44.0
YER023C-A,
YER023W,26.0
YER024W,10.0
YER025W,103.0
YER026C,30.0
YER027C,37.0
YER028C,11.0
YER029C,54.0
YER030W,21.0
YER031C,109.0
YER032W,31.0
YER033C,21.0
YER034W,8.0
YER035W,6.0
YER036C,33.0
YER037W,4.0
YER038C,5.0
YER038W-A,
YER039C,8.0
YER039CA,
YER039C-A,2.0
YER040W,117.0
YER041W,10.0
YER042W,14.0
YER043C,35.0
YER044C,25.0
YER044CA,
YER044C-A,12.0
YER045C,20.0
YER046W,7.0
YER046W-A,
YER047C,33.0
YER048C,86.0
YER048WA,
YER048W-A,7.0
YER049W,29.0
YER050C,10.0
YER051W,7.0
YER052C,81.0
YER053C,9.0
YER053C-A,
YER054C,31.0
YER055C,10.0
YER056C,42.0
YER056CA,
YER056C-A,22.0
YER057C,7.0
YER058W,3.0
YER059W,26.0
YER060W,17.0
YER060w-A,
YER060W-A,9.0
YER061C,121.0
YER062C,51.0
YER063W,22.0
YER064C,24.0
YER065C,17.0
YER066C-A,
YER066W,11.0
YER067C-A,
YER067W,17.0
YER068C-A,
YER068W,67.0
YER069W,11.0
YER070W,54.0
YER071C,9.0
YER072W,39.0
YER073W,31.0
YER074W,145.0
YER074W-A,4.0
YER075C,42.0
YER076C,2.0
YER076W-A,
YER077C,7.0
YER078C,32.0
YER078W-A,
YER079C-A,
YER079W,8.0
YER080W,10.0
YER081W,23.0
YER082C,42.0
YER083C,460.0
YER084W,
YER084W-A,
YER085C,7.0
YER086W,147.0
YER087C-A,
YER087C-B,45.0
YER087W,30.0
YER088C,45.0
YER088C-A,
YER088W-B,
YER089C,72.0
YER090C-A,
YER090W,45.0
YER091C,53.0
YER091C-A,
YER092W,116.0
YER093C,47.0
YER093CA,
YER093C-A,46.0
YER094C,30.0
YER095W,238.0
YER096W,12.0
YER097W,
YER098W,39.0
YER099C,13.0
YER100W,27.0
YER101C,8.0
YER102W,40.0
YER103W,36.0
YER104W,19.0
YER105C,36.0
YER106W,8.0
YER107C,22.0
YER107W-A,
YER108C,
YER109C,34.0
YER110C,102.0
YER111C,314.0
YER112W,55.0
YER113C,21.0
YER114C,41.0
YER115C,12.0
YER116C,239.0
YER117W,22.0
YER118C,68.0
YER119C,12.0
YER119CA,
YER119C-A,
YER120W,124.0
YER121W,6.0
YER122C,200.0
YER123W,51.0
YER124C,36.0
YER125W,131.0
YER126C,39.0
YER127W,59.0
YER128W,21.0
YER129W,38.0
YER130C,17.0
YER131W,52.0
YER132C,24.0
YER133W,101.0
YER133W-A,
YER134C,12.0
YER135C,
YER136W,31.0
YER137C,4.0
YER137W-A,
YER138C,
YER138WA,
YER138W-A,
YER139C,65.0
YER140W,60.0
YER141W,15.0
YER142C,36.0
YER143W,31.0
YER144C,28.0
YER145C,35.0
YER145C-A,
YER146W,30.0
YER147C,7.0
YER147C-A,
YER148W,87.0
YER148W-A,
YER149C,61.0
YER150W,14.0
YER151C,398.0
YER152C,9.0
YER152W-A,
YER153C,70.0
YER154W,25.0
YER155C,231.0
YER156C,46.0
YER157W,24.0
YER158C,11.0
YER158W-A,
YER159C,16.0
YER160C,
YER161C,118.0
YER162C,94.0
YER163C,19.0
YER164W,163.0
YER165C-A,
YER165W,162.0
YER166W,20.0
YER167W,62.0
YER168C,16.0
YER169W,25.0
YER170W,7.0
YER171W,87.0
YER172C,74.0
YER172C-A,
YER173W,117.0
YER174C,31.0
YER175C,10.0
YER175W-A,1.0
YER176W,13.0
YER177W,212.0
YER178W,173.0
YER179W,26.0
YER180C,3.0
YER180C-A,3.0
YER181C,
YER182W,15.0
YER183C,19.0
YER184C,10.0
YER185W,1.0
YER186C,6.0
YER187W,4.0
YER188C-A,
YER188W,
YER189W,2.0
YER190C-A,
YER190C-B,
YER190W,2.0
YFL001W,189.0
YFL002C,37.0
YFL002W-A,
YFL002W-B,
YFL003C,79.0
YFL004W,14.0
YFL005W,86.0
YFL006W,
YFL007W,99.0
YFL008W,47.0
YFL009W,41.0
YFL010C,45.0
YFL010W-A,5.0
YFL011W,14.0
YFL011W-A,
YFL012W,4.0
YFL012W-A,
YFL013C,168.0
YFL013W-A,
YFL014W,26.0
YFL015C,
YFL015W-A,
YFL016C,47.0
YFL017C,17.0
YFL017WA,
YFL017W-A,18.0
YFL018C,48.0
YFL018W-A,
YFL019C,
YFL020C,5.0
YFL021C-A,
YFL021W,25.0
YFL022C,25.0
YFL023W,129.0
YFL024C,36.0
YFL025C,145.0
YFL026W,21.0
YFL027C,22.0
YFL028C,14.0
YFL029C,67.0
YFL030W,12.0
YFL031C-A,
YFL031W,190.0
YFL032W,
YFL033C,97.0
YFL034CA,
YFL034C-A,18.0
YFL034CB,
YFL034C-B,21.0
YFL034W,22.0
YFL035C,
YFL035C-A,
YFL035C-B,
YFL036W,104.0
YFL037W,99.0
YFL038C,80.0
YFL039C,169.0
YFL040W,12.0
YFL041W,28.0
YFL041W-A,2.0
YFL042C,8.0
YFL043C,
YFL044C,18.0
YFL045C,32.0
YFL046W,33.0
YFL047W,21.0
YFL048C,24.0
YFL049W,33.0
YFL050C,16.0
YFL051C,18.0
YFL052W,24.0
YFL053W,8.0
YFL054C,22.0
YFL055W,14.0
YFL056C,5.0
YFL057C,2.0
YFL058W,2.0
YFL059W,12.0
YFL060C,2.0
YFL061W,
YFL062W,5.0
YFL063W,
YFL064C,2.0
YFL065C,1.0
YFL066C,3.0
YFL067W,2.0
YFL068W,3.0
YFL-TYA,
YFL-TYB,
YFR001W,41.0
YFR002W,41.0
YFR003C,13.0
YFR004W,84.0
YFR005C,9.0
YFR006W,11.0
YFR007W,6.0
YFR008W,46.0
YFR009W,132.0
YFR009W-A,
YFR010W,227.0
YFR010W-A,
YFR011C,54.0
YFR012W,16.0
YFR012W-A,
YFR013W,42.0
YFR014C,26.0
YFR015C,28.0
YFR016C,11.0
YFR017C,22.0
YFR018C,12.0
YFR019W,151.0
YFR020W,
YFR021W,28.0
YFR022W,17.0
YFR023W,20.0
YFR024C,
YFR024CA,
YFR024C-A,46.0
YFR025C,4.0
YFR026C,3.0
YFR027W,28.0
YFR028C,95.0
YFR029W,14.0
YFR030W,29.0
YFR031C,26.0
YFR031CA,
YFR031C-A,99.0
YFR032C,8.0
YFR032CA,
YFR032C-A,54.0
YFR032C-B,
YFR033C,40.0
YFR034C,48.0
YFR034W-A,
YFR035C,13.0
YFR036W,54.0
YFR036W-A,
YFR037C,121.0
YFR038W,34.0
YFR039C,9.0
YFR040W,112.0
YFR041C,15.0
YFR042W,9.0
YFR043C,15.0
YFR044C,22.0
YFR045W,19.0
YFR046C,16.0
YFR047C,15.0
YFR048W,26.0
YFR049W,17.0
YFR050C,60.0
YFR051C,104.0
YFR052C-A,
YFR052W,79.0
YFR053C,37.0
YFR054C,
YFR055W,22.0
YFR056C,
YFR057W,10.0
YGL001C,70.0
YGL002W,16.0
YGL003C,97.0
YGL004C,17.0
YGL005C,129.0
YGL006W,33.0
YGL006W-A,
YGL007C-A,1.0
YGL007W,
YGL008C,136.0
YGL009C,31.0
YGL010W,16.0
YGL011C,64.0
YGL012W,88.0
YGL013C,49.0
YGL014C-A,
YGL014W,89.0
YGL015C,10.0
YGL016W,77.0
YGL017W,12.0
YGL018C,6.0
YGL019W,201.0
YGL020C,343.0
YGL021W,10.0
YGL022W,36.0
YGL023C,92.0
YGL024W,
YGL025C,146.0
YGL026C,20.0
YGL027C,97.0
YGL028C,13.0
YGL029W,127.0
YGL030W,97.0
YGL031C,88.0
YGL032C,9.0
YGL033W,14.0
YGL034C,
YGL035C,98.0
YGL036W,46.0
YGL037C,34.0
YGL038C,16.0
YGL039W,18.0
YGL040C,9.0
YGL041C,
YGL041C-B,
YGL041W-A,1.0
YGL042C,
YGL043W,208.0
YGL044C,38.0
YGL045W,216.0
YGL046W,
YGL047W,21.0
YGL048C,117.0
YGL049C,55.0
YGL050W,10.0
YGL051W,43.0
YGL052W,
YGL053W,21.0
YGL054C,189.0
YGL055W,61.0
YGL056C,20.0
YGL057C,23.0
YGL058W,152.0
YGL059W,23.0
YGL060W,29.0
YGL061C,27.0
YGL062W,28.0
YGL063C-A,
YGL063W,27.0
YGL064C,32.0
YGL065C,6.0
YGL066W,238.0
YGL067W,16.0
YGL068W,26.0
YGL069C,
YGL070C,41.0
YGL071W,112.0
YGL072C,
YGL073W,37.0
YGL074C,
YGL075C,36.0
YGL076C,90.0
YGL077C,39.0
YGL078C,99.0
YGL079W,29.0
YGL080W,39.0
YGL081W,54.0
YGL082W,10.0
YGL083W,9.0
YGL084C,209.0
YGL085W,6.0
YGL086W,153.0
YGL087C,98.0
YGL088W,
YGL089C,4.0
YGL090W,20.0
YGL091C,13.0
YGL092W,36.0
YGL093W,33.0
YGL094C,32.0
YGL095C,44.0
YGL096W,18.0
YGL097W,20.0
YGL098W,18.0
YGL099W,29.0
YGL100W,38.0
YGL101W,16.0
YGL102C,
YGL103W,69.0
YGL104C,21.0
YGL105W,89.0
YGL106W,72.0
YGL107C,14.0
YGL108C,13.0
YGL109W,
YGL110C,32.0
YGL111W,45.0
YGL112C,72.0
YGL113W,22.0
YGL114W,10.0
YGL115W,240.0
YGL116W,56.0
YGL117W,4.0
YGL118C,
YGL119W,9.0
YGL120C,84.0
YGL121C,23.0
YGL122C,42.0
YGL123C-A,
YGL123W,47.0
YGL124C,125.0
YGL125W,19.0
YGL126W,60.0
YGL127C,212.0
YGL128C,20.0
YGL129C,29.0
YGL130W,20.0
YGL131C,15.0
YGL132W,
YGL133W,90.0
YGL134W,15.0
YGL135W,58.0
YGL136C,46.0
YGL137W,128.0
YGL138C,3.0
YGL139W,5.0
YGL140C,2.0
YGL141W,22.0
YGL142C,8.0
YGL143C,11.0
YGL144C,15.0
YGL145W,22.0
YGL146C,8.0
YGL147C,83.0
YGL148W,115.0
YGL149W,
YGL150C,44.0
YGL151W,227.0
YGL152C,
YGL153W,73.0
YGL154C,5.0
YGL155W,5.0
YGL156W,15.0
YGL157W,10.0
YGL158W,17.0
YGL159W,5.0
YGL160W,14.0
YGL161C,33.0
YGL162W,30.0
YGL163C,125.0
YGL164C,5.0
YGL165C,
YGL166W,19.0
YGL167C,342.0
YGL168W,141.0
YGL169W,7.0
YGL170C,10.0
YGL171W,22.0
YGL172W,34.0
YGL173C,380.0
YGL174W,136.0
YGL175C,50.0
YGL176C,3.0
YGL177W,
YGL178W,23.0
YGL179C,21.0
YGL180W,142.0
YGL181W,34.0
YGL182C,
YGL183C,2.0
YGL184C,9.0
YGL185C,4.0
YGL186C,6.0
YGL187C,17.0
YGL188C,
YGL188C-A,2.0
YGL189C,22.0
YGL190C,94.0
YGL191W,11.0
YGL192W,10.0
YGL193C,2.0
YGL194C,160.0
YGL194C-A,
YGL195W,167.0
YGL196W,39.0
YGL197W,53.0
YGL198W,24.0
YGL199C,
YGL200C,75.0
YGL201C,53.0
YGL202W,43.0
YGL203C,70.0
YGL204C,
YGL205W,30.0
YGL206C,61.0
YGL207W,125.0
YGL208W,31.0
YGL209W,24.0
YGL210W,54.0
YGL211W,84.0
YGL212W,194.0
YGL213C,82.0
YGL214W,
YGL215W,62.0
YGL216W,67.0
YGL217C,
YGL218W,
YGL219C,67.0
YGL220W,9.0
YGL221C,7.0
YGL222C,19.0
YGL223C,20.0
YGL224C,12.0
YGL225W,32.0
YGL226CA,
YGL226C-A,65.0
YGL226W,30.0
YGL227W,29.0
YGL228W,24.0
YGL229C,21.0
YGL230C,2.0
YGL231C,44.0
YGL232W,26.0
YGL233W,33.0
YGL234W,26.0
YGL235W,115.0
YGL236C,69.0
YGL237C,69.0
YGL238W,32.0
YGL239C,
YGL240W,37.0
YGL241W,33.0
YGL242C,23.0
YGL243W,9.0
YGL244W,215.0
YGL245W,95.0
YGL246C,29.0
YGL247W,6.0
YGL248W,13.0
YGL249W,8.0
YGL250W,17.0
YGL251C,12.0
YGL252C,125.0
YGL253W,131.0
YGL254W,19.0
YGL255W,98.0
YGL256W,36.0
YGL257C,12.0
YGL258W,2.0
YGL258W-A,
YGL259W,3.0
YGL260W,2.0
YGL261C,4.0
YGL262W,5.0
YGL263W,5.0
YGR001C,16.0
YGR002C,46.0
YGR003W,13.0
YGR004W,24.0
YGR005C,91.0
YGR006W,20.0
YGR007W,22.0
YGR008C,14.0
YGR009C,53.0
YGR010W,14.0
YGR011W,
YGR012W,25.0
YGR013W,42.0
YGR014W,35.0
YGR015C,5.0
YGR016W,10.0
YGR017W,18.0
YGR018C,
YGR019W,33.0
YGR020C,40.0
YGR021W,40.0
YGR022C,
YGR023W,23.0
YGR024C,10.0
YGR025W,
YGR026W,10.0
YGR027C,63.0
YGR027W-A,
YGR027W-B,
YGR028W,28.0
YGR029W,9.0
YGR030C,13.0
YGR031C-A,
YGR031W,9.0
YGR032W,39.0
YGR033C,25.0
YGR034W,82.0
YGR035C,14.0
YGR035W-A,
YGR036C,34.0
YGR037C,53.0
YGR038C-A,
YGR038C-B,
YGR038W,47.0
YGR039W,
YGR040W,65.0
YGR041W,14.0
YGR042W,5.0
YGR043C,19.0
YGR044C,30.0
YGR045C,
YGR046W,19.0
YGR047C,21.0
YGR048W,39.0
YGR049W,4.0
YGR050C,
YGR051C,
YGR052W,17.0
YGR053C,10.0
YGR054W,56.0
YGR055W,67.0
YGR056W,121.0
YGR057C,10.0
YGR058W,78.0
YGR059W,65.0
YGR060W,115.0
YGR061C,36.0
YGR062C,5.0
YGR063C,162.0
YGR064W,
YGR065C,6.0
YGR066C,4.0
YGR067C,17.0
YGR068C,18.0
YGR068W-A,
YGR069W,
YGR070W,25.0
YGR071C,38.0
YGR072W,101.0
YGR073C,
YGR074W,63.0
YGR075C,23.0
YGR076C,11.0
YGR077C,67.0
YGR078C,215.0
YGR079W,12.0
YGR080W,27.0
YGR081C,109.0
YGR082W,19.0
YGR083C,21.0
YGR084C,35.0
YGR085C,90.0
YGR086C,132.0
YGR087C,24.0
YGR088W,15.0
YGR089W,114.0
YGR090W,91.0
YGR091W,37.0
YGR092W,208.0
YGR093W,11.0
YGR094W,32.0
YGR095C,26.0
YGR096W,14.0
YGR097W,181.0
YGR098C,23.0
YGR099W,19.0
YGR100W,39.0
YGR101W,105.0
YGR102C,8.0
YGR103W,93.0
YGR104C,61.0
YGR105W,95.0
YGR106C,15.0
YGR107W,
YGR108W,47.0
YGR109C,32.0
YGR109W-A,
YGR109W-B,
YGR110W,9.0
YGR111W,14.0
YGR112W,20.0
YGR113W,36.0
YGR114C,
YGR115C,
YGR116W,40.0
YGR117C,4.0
YGR118W,67.0
YGR119C,57.0
YGR120C,51.0
YGR121C,23.0
YGR121W-A,
YGR122C-A,
YGR122W,118.0
YGR123C,20.0
YGR124W,21.0
YGR125W,87.0
YGR126W,14.0
YGR127W,5.0
YGR128C,48.0
YGR129W,40.0
YGR130C,73.0
YGR131W,2.0
YGR132C,85.0
YGR133W,51.0
YGR134W,38.0
YGR135W,270.0
YGR136W,23.0
YGR137W,
YGR138C,24.0
YGR139W,
YGR140W,51.0
YGR141W,8.0
YGR142W,20.0
YGR143W,47.0
YGR144W,13.0
YGR145W,41.0
YGR146C,6.0
YGR146C-A,
YGR147C,7.0
YGR148C,43.0
YGR149W,6.0
YGR150C,31.0
YGR151C,
YGR152C,21.0
YGR153W,7.0
YGR154C,6.0
YGR155W,104.0
YGR156W,35.0
YGR157W,257.0
YGR158C,23.0
YGR159C,58.0
YGR160W,
YGR161C,35.0
YGR161C-D,
YGR161W-A,
YGR161W-B,
YGR161W-C,2.0
YGR162W,108.0
YGR163W,22.0
YGR164W,
YGR165W,26.0
YGR166W,84.0
YGR167W,41.0
YGR168C,5.0
YGR169C,2.0
YGR169C-A,4.0
YGR170W,70.0
YGR171C,42.0
YGR172C,26.0
YGR173W,13.0
YGR174C,54.0
YGR174W-A,1.0
YGR175C,30.0
YGR176W,
YGR177C,20.0
YGR178C,87.0
YGR179C,41.0
YGR180C,78.0
YGR181W,55.0
YGR182C,
YGR183C,87.0
YGR184C,98.0
YGR185C,19.0
YGR186W,62.0
YGR187C,43.0
YGR188C,227.0
YGR189C,7.0
YGR190C,
YGR191W,13.0
YGR192C,130.0
YGR193C,28.0
YGR194C,11.0
YGR195W,32.0
YGR196C,36.0
YGR197C,17.0
YGR198W,19.0
YGR199W,26.0
YGR200C,213.0
YGR201C,5.0
YGR202C,42.0
YGR203W,19.0
YGR204C-A,1.0
YGR204W,25.0
YGR205W,10.0
YGR206W,27.0
YGR207C,6.0
YGR208W,81.0
YGR209C,35.0
YGR210C,14.0
YGR211W,17.0
YGR212W,4.0
YGR213C,3.0
YGR214W,83.0
YGR215W,23.0
YGR216C,13.0
YGR217W,39.0
YGR218W,62.0
YGR219W,
YGR220C,20.0
YGR221C,22.0
YGR222W,20.0
YGR223C,31.0
YGR224W,9.0
YGR225W,15.0
YGR226C,
YGR227W,76.0
YGR228W,
YGR229C,174.0
YGR230W,16.0
YGR231C,160.0
YGR232W,30.0
YGR233C,32.0
YGR234W,43.0
YGR235C,12.0
YGR236C,4.0
YGR237C,30.0
YGR238C,64.0
YGR239C,16.0
YGR240C,153.0
YGR240C-A,5.0
YGR241C,28.0
YGR242W,
YGR243W,15.0
YGR244C,39.0
YGR245C,31.0
YGR246C,24.0
YGR247W,3.0
YGR248W,27.0
YGR249W,32.0
YGR250C,28.0
YGR251W,8.0
YGR252W,138.0
YGR253C,53.0
YGR254W,47.0
YGR255C,12.0
YGR256W,24.0
YGR257C,8.0
YGR258C,28.0
YGR259C,
YGR260W,43.0
YGR261C,74.0
YGR262C,12.0
YGR263C,20.0
YGR264C,24.0
YGR265W,
YGR266W,21.0
YGR267C,25.0
YGR268C,18.0
YGR269W,
YGR270C-A,
YGR270W,184.0
YGR271C-A,13.0
YGR271W,30.0
YGR272C,
YGR273C,9.0
YGR274C,82.0
YGR275W,42.0
YGR276C,55.0
YGR277C,8.0
YGR278W,24.0
YGR279C,39.0
YGR280C,17.0
YGR281W,112.0
YGR282C,59.0
YGR283C,15.0
YGR284C,87.0
YGR285C,74.0
YGR286C,17.0
YGR287C,33.0
YGR288W,6.0
YGR289C,23.0
YGR290W,
YGR291C,
YGR292W,71.0
YGR293C,
YGR294W,2.0
YGR295C,5.0
YGR296C-A,
YGR296C-B,
YGR296W,5.0
YHL001W,55.0
YHL002C-A,
YHL002W,49.0
YHL003C,35.0
YHL004W,26.0
YHL005C,
YHL006C,24.0
YHL006W-A,
YHL007C,105.0
YHL008C,19.0
YHL009C,36.0
YHL009W-A,
YHL009W-B,
YHL010C,23.0
YHL011C,23.0
YHL012W,20.0
YHL013C,19.0
YHL014C,10.0
YHL015W,49.0
YHL015W-A,
YHL016C,17.0
YHL017W,5.0
YHL018W,14.0
YHL019C,12.0
YHL019W-A,
YHL020C,116.0
YHL021C,15.0
YHL022C,51.0
YHL023C,103.0
YHL024W,48.0
YHL025W,140.0
YHL026C,4.0
YHL027W,289.0
YHL028W,15.0
YHL029C,69.0
YHL030W,57.0
YHL030W-A,
YHL031C,136.0
YHL032C,20.0
YHL033C,141.0
YHL034C,95.0
YHL034W-A,
YHL035C,15.0
YHL036W,10.0
YHL037C,
YHL038C,7.0
YHL039W,19.0
YHL040C,10.0
YHL041W,
YHL042W,14.0
YHL043W,6.0
YHL044W,5.0
YHL045W,
YHL046C,6.0
YHL046W-A,
YHL047C,4.0
YHL048C-A,2.0
YHL048W,15.0
YHL049C,2.0
YHL050C,3.0
YHL050W-A,
YHR001W,22.0
YHR001WA,
YHR001W-A,25.0
YHR002W,
YHR003C,25.0
YHR004C,96.0
YHR005C,21.0
YHR005CA,
YHR005C-A,16.0
YHR006W,48.0
YHR007C,50.0
YHR007C-A,1.0
YHR008C,66.0
YHR009C,31.0
YHR010W,77.0
YHR011W,66.0
YHR012W,130.0
YHR013C,109.0
YHR014W,32.0
YHR015W,15.0
YHR016C,18.0
YHR017W,22.0
YHR018C,10.0
YHR019C,78.0
YHR020W,34.0
YHR021C,118.0
YHR021WA,
YHR021W-A,2.0
YHR022C,6.0
YHR022C-A,
YHR023W,52.0
YHR024C,9.0
YHR025W,77.0
YHR026W,34.0
YHR027C,93.0
YHR028C,28.0
YHR028W-A,
YHR029C,22.0
YHR030C,312.0
YHR031C,101.0
YHR032C-A,
YHR032W,11.0
YHR032W-A,
YHR033W,31.0
YHR034C,79.0
