ID,Physical interaction
YBR040W,6.0
YBR041W,68.0
YBR042C,27.0
YBR043C,10.0
YBR044C,32.0
YBR045C,14.0
YBR046C,14.0
YBR047W,10.0
YBR048W,73.0
YBR049C,37.0
YBR050C,13.0
YBR051W,
YBR052C,16.0
YBR053C,11.0
YBR054W,17.0
YBR055C,40.0
YBR056C-B,
YBR056W,40.0
YBR056W-A,
YBR057C,96.0
YBR058C,77.0
YBR058C-A,48.0
YBR059C,54.0
YBR060C,40.0
YBR061C,35.0
YBR062C,6.0
YBR063C,4.0
YBR064W,
YBR065C,42.0
YBR066C,24.0
YBR067C,12.0
YBR068C,34.0
YBR069C,40.0
YBR070C,13.0
YBR071W,11.0
YBR072C-A,
YBR072W,48.0
YBR073W,53.0
YBR074W,7.0
YBR075W,
YBR076C-A,
YBR076W,37.0
YBR077C,23.0
YBR078W,123.0
YBR079C,72.0
YBR080C,67.0
YBR081C,74.0
YBR082C,211.0
YBR083W,49.0
YBR084C-A,33.0
YBR084W,80.0
YBR085C-A,5.0
YBR085W,24.0
YBR086C,49.0
YBR087W,67.0
YBR088C,191.0
YBR089CA,
YBR089C-A,46.0
YBR089W,
YBR090C,13.0
YBR090C-A,
YBR091C,16.0
YBR092C,13.0
YBR093C,16.0
YBR094W,45.0
YBR095C,248.0
YBR096W,7.0
YBR097W,26.0
YBR098W,89.0
YBR099C,
YBR100W,
YBR101C,8.0
YBR102C,41.0
YBR103C-A,
YBR103W,182.0
YBR104W,26.0
YBR105C,37.0
YBR106W,169.0
YBR107C,56.0
YBR108W,111.0
YBR109C,72.0
YBR109W-A,
YBR110W,41.0
YBR111C,55.0
YBR111W-A,113.0
YBR112C,70.0
YBR113W,
YBR114W,39.0
YBR115C,10.0
YBR116C,
YBR117C,6.0
YBR118W,155.0
YBR119W,57.0
YBR120C,12.0
YBR121C,32.0
YBR121C-A,
YBR122C,27.0
YBR123C,10.0
YBR124W,
YBR125C,64.0
YBR126C,199.0
YBR126W-A,
YBR126W-B,
YBR127C,109.0
YBR128C,44.0
YBR129C,40.0
YBR130C,52.0
YBR131C-A,
YBR131W,107.0
YBR132C,20.0
YBR133C,21.0
YBR134W,
YBR135W,112.0
