ID,Protein half life
YBR063C,
YBR064W,
YBR065C,847.2
YBR066C,
YBR067C,
YBR068C,51.4
YBR069C,281.4
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,180.3
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,485.5
YBR078W,124.8
YBR079C,652.7
YBR080C,723.6
YBR081C,612.1
YBR082C,761.5
YBR083W,
YBR084C-A,633.9
YBR084W,529.7
YBR085C-A,147.3
YBR085W,
YBR086C,828.7
YBR087W,600.4
YBR088C,681.4
YBR089CA,
YBR089C-A,461.1
YBR089W,
YBR090C,
YBR090C-A,
YBR091C,256.4
YBR092C,398.1
YBR093C,398.1
YBR094W,614.7
YBR095C,521.4
YBR096W,730.8
YBR097W,361.4
YBR098W,
YBR099C,
YBR100W,
YBR101C,577.1
YBR102C,468.5
YBR103C-A,
YBR103W,341.0
YBR104W,
YBR105C,
YBR106W,389.8
YBR107C,
YBR108W,731.2
YBR109C,646.7
YBR109W-A,
YBR110W,592.3
YBR111C,489.0
YBR111W-A,
YBR112C,627.8
YBR113W,
YBR114W,
YBR115C,
YBR116C,
YBR117C,
YBR118W,598.9
YBR119W,651.8
YBR120C,398.8
YBR121C,617.4
YBR121C-A,
YBR122C,
YBR123C,500.0
YBR124W,
YBR125C,582.8
YBR126C,541.6
YBR126W-A,144.8
YBR126W-B,
YBR127C,577.1
YBR128C,
YBR129C,
YBR130C,551.3
YBR131C-A,
YBR131W,
YBR132C,
YBR133C,296.8
YBR134W,
YBR135W,
YBR136W,449.6
YBR137W,581.3
YBR138C,
YBR139W,489.7
YBR140C,387.5
YBR141C,369.1
YBR141W-A,
YBR142W,356.1
YBR143C,543.3
YBR144C,
YBR145W,1200.2
YBR146W,281.3
YBR147W,
YBR148W,
YBR149W,540.7
YBR150C,
YBR151W,583.5
YBR152W,424.9
YBR153W,
YBR154C,599.6
YBR155W,563.0
YBR156C,
YBR157C,
YBR158W,23.1
YBR159W,
YBR160W,622.4
YBR161W,
YBR162C,236.2
YBR162WA,
YBR162W-A,601.5
YBR163W,
YBR164C,648.7
YBR165W,
YBR166C,599.3
YBR167C,
YBR168W,
YBR169C,770.0
YBR170C,546.0
YBR171W,629.3
YBR172C,405.1
YBR173C,24.6
YBR174C,
YBR175W,
YBR176W,589.1
YBR177C,460.7
YBR178W,
YBR179C,178.7
YBR180W,
YBR181C,513.6
YBR182C,
YBR182C-A,
YBR183W,
YBR184W,
YBR185C,383.5
YBR186W,
YBR187W,184.2
YBR188C,271.0
YBR189W,646.5
YBR190W,
YBR191W,867.6
YBR191W-A,
YBR192W,488.7
YBR193C,489.4
YBR194W,399.5
YBR195C,1026.4
YBR196C,793.0
YBR196C-A,
YBR196C-B,
YBR197C,292.5
YBR198C,623.5
YBR199W,134.1
YBR200W,468.5
YBR200W-A,
YBR201C-A,
YBR201W,562.9
YBR202W,100.4
YBR203W,
YBR204C,863.3
YBR205W,426.4
YBR206W,
YBR207W,
YBR208C,628.4
YBR209W,
YBR210W,
YBR211C,601.1
YBR212W,
YBR213W,936.1
YBR214W,480.4
YBR215W,456.0
YBR216C,606.0
YBR217W,
YBR218C,805.8
YBR219C,
YBR220C,313.1
YBR221C,564.5
YBR221W-A,
YBR222C,752.5
YBR223C,412.6
YBR223W-A,
YBR224W,
YBR225W,2159.7
YBR226C,
YBR227C,459.4
YBR228W,
YBR229C,264.0
YBR230C,419.5
YBR230W-A,
YBR231C,264.8
YBR232C,
YBR233W,338.7
YBR233W-A,
YBR234C,698.0
YBR235W,593.1
YBR236C,521.9
YBR237W,
YBR238C,100.1
YBR239C,819.2
YBR240C,
YBR241C,
YBR242W,192.1
YBR243C,
YBR244W,281.9
YBR245C,542.3
YBR246W,498.0
YBR247C,514.8
YBR248C,903.8
YBR249C,833.4
YBR250W,
YBR251W,466.3
YBR252W,667.9
YBR253W,
YBR254C,872.8
YBR255C-A,
YBR255W,723.3
YBR256C,1199.3
YBR257W,1267.5
YBR258C,385.0
YBR259W,
YBR260C,14.6
YBR261C,630.7
YBR262C,321.8
YBR263W,547.9
YBR264C,508.8
YBR265W,262.4
YBR266C,
YBR267W,289.4
YBR268W,322.1
YBR269C,169.8
YBR270C,
YBR271W,
YBR272C,1100.8
YBR273C,463.8
YBR274W,357.7
YBR275C,387.7
YBR276C,
YBR277C,
YBR278W,670.6
YBR279W,513.2
YBR280C,304.5
YBR281C,659.0
YBR282W,924.1
YBR283C,
YBR284W,
YBR285W,
YBR286W,486.0
YBR287W,
YBR288C,701.1
YBR289W,
YBR290W,
YBR291C,406.8
YBR292C,
YBR293W,
YBR294W,
YBR295W,
YBR296C,
YBR296C-A,
YBR297W,
YBR298C,
YBR298C-A,
YBR299W,
YBR300C,
YBR301W,
YBR302C,
YCL001W,449.8
YCL001W-A,
YCL001W-B,
YCL002C,
YCL003W,
YCL004W,962.9
YCL005W,
YCL005W-A,
YCL006C,
YCL007C,
YCL008C,
YCL009C,667.6
YCL010C,387.3
YCL011C,532.4
YCL012C,217.7
YCL012W,
YCL013W,
YCL014W,450.7
YCL016C,705.7
YCL017C,385.9
YCL018W,
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,
YCL022C,
YCL023C,
YCL024W,443.9
YCL025C,
YCL026C,
YCL026CA,
YCL026C-A,
YCL026C-B,
YCL027W,
YCL028W,1009.9
YCL029C,693.2
YCL030C,7649.4
YCL031C,514.0
YCL032W,374.9
