,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
RSC2,0.4,-0.15380,5.000e-08,-0.075075,3.367e-08,6.083e-14,9.251e-19,10.425,1.196e-03,0.11756,1.000e-07
YLH47,0.4, 0.13611,0.000e+00, 0.044198,2.887e-08,1.289e-13,1.155e-18,10.100,7.067e-04,0.07035,9.574e-08
YPT7,0.6, 0.09777,4.082e-08, 0.043086,3.830e-08,1.802e-13,6.293e-18, 9.954,8.950e-04,0.05519,0.000e+00
SAE2,0.8,-0.15546,5.175e-08,-0.031062,2.532e-08,1.897e-13,4.690e-18, 9.932,8.183e-04,0.08581,9.161e-08
DUN1,1.0,-0.12289,3.342e-02,-0.023736,1.965e-02,2.560e-13,2.203e-13,11.277,2.192e+00,0.57567,4.123e-01
IRC3,0.5,-0.13681,1.834e-06,-0.046209,8.330e-07,2.919e-13,1.888e-16, 9.744,7.522e-04,0.20153,4.416e-06
YLR278C,0.1, 0.13712,       NA, 0.028225,       NA,2.986e-13,       NA, 9.735,       NA,0.09286,       NA
PUF4,0.3, 0.11312,5.774e-08, 0.028289,1.528e-08,9.569e-13,1.442e-17, 9.229,4.071e-04,0.06903,5.774e-08
SNF12,0.6,-0.10170,2.000e-07,-0.079608,6.126e-07,9.813e-13,1.998e-16, 9.218,6.015e-04,0.13105,1.088e-06
BUR2,0.6,-0.14778,5.164e-08,-0.066682,2.875e-08,1.137e-12,1.862e-17, 9.154,5.781e-04,0.16020,1.033e-07
RTF1,0.7,-0.18256,8.165e-08,-0.067318,5.490e-08,1.589e-12,4.231e-17, 9.008,8.480e-04,0.07450,7.559e-08
GEP3,0.5,-0.13437,1.622e-06,-0.058407,1.049e-06,3.175e-12,2.150e-15, 8.708,9.247e-04,0.19008,3.199e-06
YTA7,0.4,-0.13029,5.774e-08,-0.064594,2.630e-08,3.716e-12,3.862e-17, 8.640,1.002e-03,0.12849,5.000e-08
RTR1,0.7, 0.09737,5.345e-08, 0.009735,5.345e-09,5.118e-12,4.761e-17, 8.500,6.325e-04,0.90045,8.997e-08
SPP1,0.7, 0.13021,2.268e-07, 0.029534,2.962e-07,5.985e-12,3.774e-16, 8.433,8.145e-04,0.09076,2.602e-06
NUP60,0.4,-0.15622,9.574e-08,-0.037360,2.944e-08,7.112e-12,1.688e-16, 8.357,8.112e-04,0.12050,1.291e-07
SPT21,0.4,-0.15653,5.774e-08,-0.054093,5.774e-09,8.749e-12,7.550e-17, 8.267,4.041e-04,0.12948,1.155e-07
PTP3,0.5,-0.10028,0.000e+00,-0.033957,2.000e-08,9.215e-12,9.445e-17, 8.245,7.025e-04,0.08015,8.944e-08
SWI6,1.0,-0.12267,2.998e-02,-0.043724,2.495e-02,1.160e-11,1.498e-11,12.469,4.064e+00,0.43422,3.241e-01
UBC8,0.4, 0.14027,5.000e-08, 0.027464,2.217e-08,1.187e-11,2.517e-16, 8.135,1.199e-03,0.09820,1.000e-07
LSM6,0.3,-0.16660,5.774e-08,-0.042839,2.646e-08,1.711e-11,3.786e-16, 7.976,1.400e-03,0.12529,5.774e-08
