Gene	HL_IB	HL_MS	PP
YDL010W	2.0	145.1	0.4391
YDL011C	NA	NA	0.5727
YDL012C	320.0	NA	0.5204
YDL013W	17.0	NA	2.956
YDL014W	NA	580.1	NA
YDL015C	59.0	659.0	NA
YDL016C	NA	NA	NA
YDL017W	35.0	328.1	NA
YDL018C	NA	592.2	0.7407
YDL019C	15.0	424.2	0.4533
YDL020C	3.0	NA	0.5895
YDL021W	47.0	NA	0.8607
YDL022C-A	NA	NA	NA
YDL022W	250.0	1469.0	0.5416
YDL023C	NA	NA	0.6641
YDL024C	NA	NA	0.4675
YDL025C	32.0	345.7	0.6657
YDL025W-A	NA	NA	NA
YDL026W	NA	NA	0.09795
YDL027C	22.0	521.4	0.3716
YDL028C	3.0	NA	NA
YDL029W	NA	675.0	NA
YDL030W	21.0	696.3	NA
YDL031W	NA	458.1	NA
YDL032W	NA	NA	0.6168
YDL033C	44.0	NA	0.8107
YDL034W	NA	NA	0.7486
YDL035C	31.0	NA	1.306
YDL036C	129.0	NA	0.4958
YDL037C	NA	NA	0.3006
YDL039C	NA	NA	0.7515
YDL040C	65.0	699.3	0.7388
YDL041W	NA	NA	0.6672
YDL042C	21.0	382.6	0.9717
YDL043C	108.0	312.6	NA
YDL044C	NA	369.4	0.4902
YDL045C	1197.0	537.3	NA
YDL045W-A	NA	221.5	0.5475
YDL046W	6.0	424.7	0.5266
YDL047W	34.0	603.5	1.358
YDL048C	2.0	NA	0.6431
YDL049C	NA	NA	0.845
YDL050C	NA	NA	0.3851
YDL051W	NA	661.1	0.6072
YDL052C	138.0	496.3	0.3806
YDL053C	44.0	292.6	0.6207
YDL054C	NA	NA	0.5543
YDL055C	NA	603.4	NA
YDL056W	20.0	466.4	0.7302
YDL057W	NA	NA	0.8195
YDL058W	66.0	614.9	NA
YDL059C	23.0	NA	1.089
YDL060W	27.0	504.4	NA
YDL061C	NA	764.9	0.7584
YDL062W	NA	NA	0.2909
YDL063C	35.0	430.4	0.4224
YDL064W	86.0	573.3	NA
YDL065C	56.0	480.2	0.4843
YDL066W	NA	551.9	0.762
YDL067C	NA	153.1	0.9283
YDL068W	NA	NA	0.836
YDL069C	120.0	NA	0.9161
YDL070W	9.0	42.8	0.5118
YDL071C	NA	NA	0.9881
YDL072C	NA	463.4	0.6856
YDL073W	NA	184.8	0.7966
YDL074C	61.0	484.4	0.7615
YDL075W	NA	NA	0.3876
YDL076C	NA	436.4	0.7045
YDL077C	NA	1000.1	0.5629
YDL078C	64.0	526.7	0.6009
YDL079C	NA	NA	0.702
YDL080C	33.0	NA	1.166
YDL081C	NA	635.3	1.423
YDL082W	30.0	5921.1	0.7778
YDL083C	NA	NA	0.9091
YDL084W	17.0	620.7	NA
YDL085C-A	73.0	1069.1	NA
YDL085W	48.0	NA	0.4868
YDL086C-A	NA	NA	NA
YDL086W	NA	540.7	0.4409
YDL087C	NA	448.6	NA
YDL088C	32.0	618.5	0.4969
YDL089W	27.0	460.8	0.5193
YDL090C	65.0	420.5	0.7252
YDL091C	7.0	336.5	0.6965
YDL092W	NA	578.5	NA
YDL093W	NA	NA	0.5145
YDL094C	NA	NA	0.3127
YDL095W	171.0	640.4	0.613
YDL096C	NA	NA	0.3877
YDL097C	51.0	714.4	NA
YDL098C	35.0	424.8	NA
YDL099W	63.0	628.9	0.6635
YDL100C	19.0	783.8	0.7651
YDL101C	102.0	401.7	0.9524
YDL102W	NA	313.7	NA
YDL103C	60.0	685.9	NA
YDL104C	130.0	412.1	0.3842
YDL105W	25.0	389.6	NA
YDL106C	48.0	336.4	0.4118
YDL107W	NA	339.2	0.8188
YDL108W	336.0	2563.6	NA
YDL109C	15.0	NA	0.4072
YDL110C	19.0	217.0	0.8349
YDL111C	NA	620.2	NA
YDL112W	18.0	655.4	0.6264
YDL113C	55.0	606.3	0.9433
YDL114W	NA	NA	0.8323
YDL114W-A	NA	NA	NA
YDL115C	40.0	459.2	3.102
YDL116W	230.0	681.5	3.125
YDL117W	41.0	746.7	0.8086
YDL118W	NA	NA	0.8732
YDL119C	429.0	NA	0.7066
YDL120W	NA	296.2	NA
YDL121C	NA	392.3	0.3554
YDL122W	38.0	535.9	0.8269
YDL123W	63.0	NA	0.4005
YDL124W	55.0	1005.4	0.5573
YDL125C	267.0	616.4	0.6351
YDL126C	34.0	563.7	NA
YDL127W	NA	NA	0.6572
YDL128W	35.0	391.4	0.6028
YDL129W	NA	484.5	0.868
YDL130W	395.0	675.2	0.484
YDL130W-A	NA	NA	0.7865
YDL131W	450.0	711.2	0.5458
YDL132W	NA	563.5	NA
YDL133C-A	NA	NA	0.3973
YDL133W	NA	332.9	1.984
YDL134C	45.0	NA	0.8023
YDL135C	NA	662.7	1.221
YDL136W	142.0	NA	0.9458
YDL137W	113.0	NA	0.3037
YDL138W	3.0	NA	0.3273
YDL139C	28.0	261.9	NA
YDL140C	22.0	365.8	NA
YDL141W	23.0	638.5	NA
YDL142C	NA	NA	0.5867
YDL143W	125.0	618.8	NA
YDL144C	145.0	620.1	0.5183
YDL145C	92.0	654.4	NA
YDL146W	3.0	NA	0.6123
YDL147W	87.0	640.2	NA
YDL148C	NA	488.2	NA
YDL149W	2.0	NA	0.6291
YDL150W	31.0	467.8	NA
YDL151C	NA	NA	1.191
YDL152W	NA	NA	NA
YDL153C	NA	433.7	NA
YDL154W	NA	NA	0.5269
YDL155W	20.0	NA	0.5744
YDL156W	113.0	382.2	0.8043
YDL157C	37.0	123.7	0.2393
YDL158C	NA	NA	NA
YDL159C-B	NA	NA	NA
YDL159W	14.0	451.2	0.8492
YDL159W-A	NA	NA	NA
YDL160C	176.0	493.2	1.041
YDL160C-A	NA	417.6	NA
YDL161W	39.0	526.7	0.6811
YDL162C	NA	NA	0.5291
YDL163W	NA	NA	NA
YDL164C	NA	466.1	NA
YDL165W	NA	1050.5	NA
YDL166C	16513.0	539.4	NA
YDL167C	20.0	412.4	0.5287
YDL168W	48.0	709.0	0.4474
YDL169C	NA	NA	0.4215
YDL170W	22.0	NA	0.673
YDL171C	61.0	512.1	0.3096
YDL172C	NA	NA	0.4501
YDL173W	72.0	512.9	0.2221
YDL174C	61.0	393.8	0.7061
YDL175C	30.0	240.1	0.3694
YDL176W	3.0	256.5	0.8558
YDL177C	110.0	NA	0.2828
YDL178W	38.0	542.4	0.5843
YDL179W	NA	NA	0.7207
YDL180W	NA	NA	0.4914
YDL181W	44.0	596.2	0.8411
YDL182W	186.0	791.5	1.298
YDL183C	NA	1397.4	0.555
YDL184C	34.0	NA	0.5369
YDL185C-A	NA	NA	NA
YDL185W	109.0	526.2	0.8489
YDL186W	NA	NA	0.2179
YDL187C	NA	NA	0.5807
YDL188C	61.0	507.0	0.2972
YDL189W	25.0	401.6	0.5832
YDL190C	NA	651.3	0.382
YDL191W	NA	NA	2.214
YDL192W	NA	NA	0.6875
YDL193W	NA	378.3	NA
YDL194W	NA	NA	0.5457
YDL195W	26.0	691.6	NA
YDL196W	NA	NA	NA
YDL197C	24.0	257.7	0.7746
YDL198C	NA	790.5	0.8399
YDL199C	NA	NA	0.4636
YDL200C	NA	NA	0.4884
YDL201W	9287.0	594.8	0.3374
YDL202W	NA	343.1	0.4012
YDL203C	24.0	447.3	0.5197
YDL204W	193.0	87.3	0.3597
YDL205C	NA	860.5	NA
YDL206W	NA	NA	0.59
YDL207W	31.0	494.4	NA
YDL208W	NA	603.9	NA
YDL209C	75.0	483.3	NA
YDL210W	NA	NA	0.5714
YDL211C	NA	NA	0.6227
YDL212W	95.0	539.2	NA
YDL213C	NA	470.5	0.5643
YDL214C	NA	NA	0.8086
YDL215C	NA	799.4	0.3887
YDL216C	24.0	NA	0.5694
YDL217C	NA	786.0	NA
YDL218W	NA	NA	0.8301
YDL219W	466.0	680.5	0.5763
YDL220C	42.0	421.2	NA
YDL221W	NA	NA	NA
YDL222C	74.0	NA	0.6234
YDL223C	NA	NA	0.4501
YDL224C	NA	189.2	0.4699
YDL225W	76.0	604.0	1.75
YDL226C	109.0	620.3	0.3403
YDL227C	2.0	NA	0.6494
YDL228C	NA	NA	NA
YDL229W	149.0	578.6	0.7115
YDL230W	11.0	720.9	0.413
YDL231C	NA	NA	0.5701
YDL232W	NA	NA	0.9592
YDL233W	45.0	NA	0.4738
YDL234C	77.0	488.5	0.2813
YDL235C	107.0	579.4	NA
YDL236W	NA	563.9	0.4321
YDL237W	NA	459.6	0.4876
YDL238C	172.0	NA	0.4382
YDL239C	NA	NA	0.5435
YDL240C-A	NA	NA	NA
YDL240W	62.0	382.5	0.3131
YDL241W	13.0	NA	0.6334
YDL242W	NA	NA	0.4568
YDL243C	NA	NA	0.712
YDL244W	NA	NA	NA
YDL245C	NA	NA	NA
YDL246C	NA	NA	NA
YDL247W	NA	NA	NA
YDL247W-A	NA	NA	NA
YDL248W	NA	NA	NA
YDR001C	30.0	566.2	0.5891
YDR002W	NA	621.7	NA
YDR003W	78.0	154.7	0.715
YDR003W-A	NA	NA	NA
YDR004W	34.0	NA	1.554
YDR005C	31.0	407.2	0.6
YDR006C	NA	NA	0.6297
YDR007W	52.0	822.2	0.3348
YDR008C	NA	NA	0.5666
YDR009W	18.0	NA	0.8226
YDR010C	NA	NA	0.4978
YDR011W	NA	NA	0.4791
YDR012W	NA	531.5	NA
YDR013W	67.0	537.2	NA
YDR014W	15.0	NA	0.7685
YDR014W-A	NA	NA	NA
YDR015C	NA	NA	0.6259
YDR016C	80.0	303.9	NA
YDR017C	19.0	351.0	0.9266
YDR018C	NA	NA	0.785
YDR019C	95.0	580.5	0.5641
YDR020C	27.0	529.4	1.041
YDR021W	46.0	563.7	NA
YDR022C	165.0	333.8	0.5247
YDR023W	NA	627.0	NA
YDR024W	NA	NA	1.053
YDR025W	26.0	NA	0.7882
YDR026C	NA	NA	0.4423
YDR027C	29.0	747.2	0.3769
YDR028C	NA	444.3	0.8017
YDR029W	NA	NA	0.7053
YDR030C	NA	NA	0.6877
YDR031W	NA	552.2	0.8384
YDR032C	40.0	543.2	0.669
YDR033W	208.0	614.3	0.3338
YDR034C	48.0	NA	0.6233
YDR034C-A	NA	NA	NA
YDR034W-B	NA	NA	NA
YDR035W	61.0	924.8	0.7524
YDR036C	67.0	448.3	0.663
YDR037W	NA	728.9	NA
YDR038C	43.0	NA	NA
YDR039C	288.0	228.0	NA
YDR040C	NA	170.2	NA
YDR041W	NA	356.5	NA
YDR042C	NA	NA	0.3889
YDR043C	10.0	NA	0.5634
YDR044W	NA	724.5	NA
YDR045C	NA	298.0	NA
YDR046C	27.0	NA	0.484
YDR047W	845.0	2578.9	NA
YDR048C	NA	NA	0.7028
YDR049W	37.0	567.2	0.8797
YDR050C	96.0	672.2	0.4251
YDR051C	46.0	539.4	0.5347
YDR052C	12.0	375.3	NA
YDR053W	NA	NA	NA
YDR054C	NA	195.5	NA
YDR055W	20.0	112.2	0.5386
YDR056C	127.0	446.6	0.2551
YDR057W	NA	NA	0.4214
YDR058C	NA	NA	0.605
YDR059C	77.0	NA	0.4074
YDR060W	103.0	489.0	NA
YDR061W	37.0	836.5	0.5617
YDR062W	29.0	516.2	NA
YDR063W	NA	1016.7	0.484
YDR064W	NA	635.1	NA
YDR065W	31.0	NA	0.8457
YDR066C	113.0	NA	0.2717
YDR067C	126.0	878.1	0.4281
YDR068W	100.0	544.7	-0.004578
YDR069C	69.0	NA	1.115
YDR070C	43.0	NA	0.5764
YDR071C	47.0	638.9	0.3278
YDR072C	23.0	NA	0.2583
YDR073W	30.0	NA	0.3267
YDR074W	NA	582.7	0.4532
YDR075W	61.0	NA	0.7172
YDR076W	14.0	NA	1.173
YDR077W	NA	13.1	0.4055
YDR078C	NA	NA	0.4969
YDR079C-A	NA	375.5	NA
YDR079W	15.0	NA	0.6007
YDR080W	124.0	333.7	0.5146
YDR081C	85.0	529.5	NA
YDR082W	NA	NA	NA
YDR083W	81.0	450.4	0.801
YDR084C	NA	479.9	0.308
YDR085C	NA	NA	0.7665
YDR086C	NA	40.4	NA
YDR087C	51.0	499.5	NA
YDR088C	79.0	503.6	NA
YDR089W	3.0	512.3	0.3283
YDR090C	87.0	NA	0.6225
YDR091C	38.0	570.8	NA
YDR092W	NA	NA	0.775
YDR093W	19.0	680.4	0.5425
YDR094W	NA	NA	0.6642
YDR095C	NA	NA	0.4629
YDR096W	28.0	511.6	0.3541
YDR097C	31.0	464.1	0.7435
YDR098C	226.0	816.7	0.63
YDR099W	NA	645.2	0.4825
YDR100W	76.0	NA	0.5665
YDR101C	96.0	546.6	0.4722
YDR102C	NA	NA	0.4492
YDR103W	5.0	181.3	0.7339
YDR104C	NA	NA	0.4697
YDR105C	NA	NA	0.4293
YDR106W	NA	NA	NA
YDR107C	NA	380.1	0.2397
YDR108W	42.0	601.4	0.2406
YDR109C	3.0	489.0	0.4961
YDR110W	12.0	464.4	0.3936
YDR111C	35.0	317.4	0.7774
YDR112W	NA	NA	0.3698
YDR113C	NA	NA	NA
YDR114C	NA	NA	0.2308
YDR115W	93.0	NA	0.5232
YDR116C	47.0	495.7	0.8501
YDR117C	NA	559.7	1.286
YDR118W	100.0	NA	NA
YDR118W-A	NA	NA	NA
YDR119W	9.0	422.9	0.6184
YDR119W-A	NA	NA	NA
YDR120C	29.0	483.1	0.5515
YDR121W	137.0	637.6	0.6608
YDR122W	487.0	651.2	0.211
YDR123C	13.0	NA	1.036
YDR124W	65.0	NA	0.6773
YDR125C	33.0	NA	0.9087
YDR126W	NA	NA	0.329
YDR127W	60.0	722.8	0.7557
YDR128W	3.0	374.4	0.7818
YDR129C	96.0	560.8	0.5779
YDR130C	NA	NA	0.491
YDR131C	NA	NA	0.3312
YDR132C	11.0	NA	0.3463
YDR133C	NA	NA	0.3249
YDR135C	56.0	NA	0.3524
YDR136C	NA	NA	0.5711
YDR137W	32.0	387.7	0.2602
YDR138W	27.0	493.8	3.145
YDR139C	NA	1435.0	0.4823
YDR140W	239.0	473.8	0.5686
YDR141C	23.0	653.8	NA
YDR142C	174.0	NA	0.7449
YDR143C	7.0	199.2	0.3447
YDR144C	31.0	NA	0.663
YDR145W	48.0	511.5	NA
YDR146C	NA	26.8	0.6392
YDR147W	37.0	347.3	0.555
YDR148C	51.0	530.6	0.5558
YDR149C	NA	NA	1.19
YDR150W	NA	304.8	0.6911
YDR151C	NA	NA	0.3253
YDR152W	39.0	685.3	0.5007
YDR153C	21.0	418.6	0.4882
YDR154C	NA	NA	0.5333
YDR155C	NA	650.5	0.5277
YDR156W	NA	550.0	0.6514
YDR157W	NA	NA	0.4603
YDR158W	105.0	1037.9	0.5836
YDR159W	35.0	941.2	3.472
YDR160W	NA	NA	NA
YDR161W	107.0	649.4	0.643
YDR162C	NA	633.1	0.4709
YDR163W	NA	154.6	0.6976
YDR164C	2.0	637.6	NA
YDR165W	26.0	566.8	0.4931
YDR166C	28.0	360.5	NA
YDR167W	NA	591.8	NA
YDR168W	454.0	704.1	NA
YDR169C	39.0	297.4	0.7626
YDR169C-A	NA	NA	NA
YDR170C	65.0	533.1	NA
YDR171W	72.0	1283.8	0.3948
YDR172W	NA	578.7	NA
YDR173C	367.0	453.0	2.144
YDR174W	NA	696.4	1.01
YDR175C	30.0	322.0	0.3672
YDR176W	28.0	583.7	1.453
YDR177W	45.0	467.7	NA
YDR178W	481.0	349.8	0.5252
YDR179C	40.0	455.9	0.5152
YDR179W-A	24.0	NA	0.8431
YDR180W	21.0	366.0	NA
YDR181C	21.0	617.4	0.2974
YDR182W	6.0	283.8	NA
YDR182W-A	NA	NA	NA
YDR183C-A	NA	NA	NA
YDR183W	20.0	460.4	0.3611
YDR184C	2.0	20.6	0.6374
YDR185C	25.0	58.3	0.4524
YDR186C	NA	121.9	0.7748
YDR187C	NA	NA	NA
YDR188W	NA	600.0	NA
YDR189W	32.0	595.6	NA
YDR190C	NA	549.9	NA
YDR191W	33.0	698.5	0.5342
YDR192C	NA	520.0	0.341
YDR193W	NA	NA	0.6098
YDR194C	162.0	416.3	0.6364
YDR194W-A	NA	NA	NA
YDR195W	NA	384.5	1.732
YDR196C	NA	820.0	NA
YDR197W	73.0	NA	0.3063
YDR198C	28.0	477.3	0.8426
YDR199W	NA	NA	0.5016
YDR200C	29.0	NA	3.135
YDR201W	NA	480.5	NA
YDR202C	1058.0	470.4	0.3573
YDR203W	NA	NA	0.3377
YDR204W	NA	503.0	1.108
YDR205W	NA	NA	0.462
YDR206W	NA	483.5	0.509
YDR207C	NA	612.7	0.3545
YDR208W	NA	213.3	NA
YDR209C	NA	NA	0.5872
YDR210W	NA	772.2	0.5504
YDR211W	NA	663.8	NA
YDR212W	NA	596.6	NA
YDR213W	33.0	NA	0.4803
YDR214W	34.0	1062.6	0.1556
YDR215C	NA	NA	0.35
YDR216W	58.0	152.8	0.4733
YDR217C	NA	104.6	0.3553
YDR218C	NA	NA	0.2514
YDR219C	53.0	102.5	0.8164
YDR220C	NA	NA	0.5617
YDR221W	26.0	346.9	0.3682
YDR222W	76.0	117.6	0.454
YDR223W	NA	NA	0.4304
YDR224C	NA	NA	NA
YDR225W	NA	NA	1.22
YDR226W	217.0	730.2	1.011
YDR227W	NA	266.6	0.4344
YDR228C	34.0	443.0	NA
YDR229W	36.0	284.3	0.5507
YDR230W	3.0	NA	0.5441
YDR231C	NA	556.2	0.871
YDR232W	NA	520.7	NA
YDR233C	NA	579.8	0.4322
YDR234W	40.0	630.8	0.8429
YDR235W	90.0	860.3	NA
YDR236C	NA	96.9	NA
YDR237W	NA	433.1	0.2089
YDR238C	NA	686.8	NA
YDR239C	NA	NA	0.9432
YDR240C	268.0	NA	NA
YDR241W	NA	NA	1.203
YDR242W	NA	NA	0.5018
YDR243C	31.0	353.7	NA
YDR244W	23.0	148.2	0.7514
YDR245W	84.0	535.4	3.619
YDR246W	NA	542.7	NA
YDR246W-A	NA	NA	NA
YDR247W	28.0	113.2	0.6073
YDR248C	44.0	634.3	0.7303
YDR249C	NA	NA	0.4425
YDR250C	NA	NA	0.4181
YDR251W	112.0	489.9	0.9619
YDR252W	262.0	NA	1.111
YDR253C	NA	NA	0.9355
YDR254W	35.0	NA	0.9871
YDR255C	NA	603.8	0.5148
YDR256C	31.0	NA	0.4459
YDR257C	NA	544.3	0.4247
YDR258C	57.0	2685.4	0.564
YDR259C	21.0	NA	0.8887
YDR260C	NA	NA	0.9706
YDR261C	11.0	280.0	0.6377
YDR262W	83.0	59.5	0.4319
YDR263C	NA	NA	0.559
YDR264C	90.0	602.6	2.325
YDR265W	NA	619.8	0.5076
YDR266C	22.0	467.4	0.5759
YDR267C	97.0	577.9	NA
YDR268W	NA	586.4	0.5247
YDR269C	NA	NA	0.4202
YDR270W	NA	NA	0.6153
YDR271C	NA	NA	0.491
YDR272W	298.0	429.7	0.682
YDR273W	NA	NA	0.4677
YDR274C	NA	NA	0.6332
YDR275W	73.0	NA	0.9096
YDR276C	77.0	NA	1.272
YDR277C	28.0	NA	0.7012
YDR278C	NA	NA	0.4772
YDR279W	31.0	585.6	0.5651
YDR280W	NA	545.2	NA
YDR281C	NA	NA	0.4773
YDR282C	NA	NA	0.3052
YDR283C	29.0	666.8	0.4027
YDR284C	NA	1724.5	0.3796
YDR285W	NA	NA	0.6124
YDR286C	NA	NA	0.5339
YDR287W	NA	487.9	0.8441
YDR288W	22.0	430.0	NA
YDR289C	86.0	504.8	0.7719
YDR290W	NA	NA	0.6515
YDR291W	16.0	804.4	0.8524
YDR292C	49.0	594.1	NA
YDR293C	18.0	678.4	0.5994
YDR294C	32.0	511.3	0.1552
YDR295C	41.0	562.9	0.4324
YDR296W	1417.0	417.3	0.6186
YDR297W	NA	390.6	0.7549
YDR298C	NA	434.9	0.7448
YDR299W	20.0	502.0	NA
YDR300C	NA	652.6	1.806
YDR301W	NA	731.8	NA
YDR302W	305.0	NA	NA
YDR303C	25.0	551.3	NA
YDR304C	NA	642.9	0.6065
YDR305C	126.0	561.2	0.395
YDR306C	NA	NA	0.7351
YDR307W	29.0	NA	0.4141
YDR308C	NA	316.7	NA
YDR309C	13.0	30.1	0.412
YDR310C	12.0	545.9	0.86
YDR311W	35.0	489.1	NA
YDR312W	50.0	589.3	0.4408
YDR313C	NA	119.1	0.2989
YDR314C	11.0	NA	0.3105
YDR315C	NA	NA	0.7346
YDR316W	24.0	462.5	0.9808
YDR317W	NA	NA	0.4533
YDR318W	104.0	275.3	0.8699
YDR319C	44.0	NA	0.5136
YDR320C	22.0	574.7	2.689
YDR320C-A	NA	NA	NA
YDR320W-B	NA	NA	NA
YDR321W	NA	650.9	0.4035
YDR322C-A	NA	407.7	NA
YDR322W	1206.0	552.4	0.2698
YDR323C	3.0	522.6	0.8187
YDR324C	46.0	632.7	NA
YDR325W	23.0	300.7	NA
YDR326C	NA	152.8	0.4893
YDR327W	NA	NA	NA
YDR328C	NA	635.5	NA
YDR329C	2.0	508.8	0.466
YDR330W	41.0	400.8	0.4106
YDR331W	21.0	NA	NA
YDR332W	46.0	800.7	0.8586
YDR333C	19.0	578.1	0.281
YDR334W	NA	461.2	2.312
YDR335W	NA	NA	0.9214
YDR336W	NA	NA	0.3374
YDR337W	50.0	429.5	0.6001
YDR338C	18.0	NA	0.5142
YDR339C	NA	608.5	NA
YDR340W	NA	NA	0.359
YDR341C	NA	625.5	NA
YDR342C	81.0	NA	NA
YDR343C	NA	NA	NA
YDR344C	NA	NA	0.6879
YDR345C	NA	378.7	0.3794
YDR346C	55.0	571.5	0.5618
YDR347W	44.0	510.2	0.4087
YDR348C	31.0	505.6	0.9756
YDR349C	NA	NA	0.7096
YDR350C	NA	NA	0.6462
YDR351W	NA	148.1	0.2618
YDR352W	NA	NA	0.5385
YDR353W	NA	464.1	NA
YDR354C-A	NA	NA	NA
YDR354W	24.0	858.6	0.7413
YDR355C	NA	NA	NA
YDR356W	36.0	390.0	NA
YDR357C	22.0	NA	0.4441
YDR358W	NA	558.6	0.3942
YDR359C	NA	424.0	0.3441
YDR360W	NA	NA	0.9215
YDR361C	169.0	633.3	NA
YDR362C	11.0	550.2	NA
YDR363W	NA	739.4	1.224
YDR363W-A	37.0	475.8	0.9383
YDR364C	38.0	NA	1.466
YDR365C	2.0	564.2	NA
YDR366C	NA	NA	NA
YDR367W	173.0	862.4	NA
YDR368W	74.0	806.2	0.8457
YDR369C	NA	31.0	3.206
YDR370C	54.0	174.4	0.4927
YDR371C-A	NA	NA	NA
YDR371W	62.0	391.3	0.7811
YDR372C	127.0	571.4	0.3627
YDR373W	34.0	264.4	NA
YDR374C	NA	NA	0.5758
YDR374W-A	NA	NA	NA
YDR375C	NA	337.9	1.074
YDR376W	78.0	549.7	NA
YDR377W	50.0	374.0	0.624
YDR378C	NA	NA	1.145
YDR379C-A	11.0	NA	NA
YDR379W	NA	413.6	0.4409
YDR380W	30.0	NA	0.9672
YDR381C-A	NA	309.7	NA
YDR381W	NA	618.2	NA
YDR382W	NA	574.5	0.8456
YDR383C	NA	NA	0.7299
YDR384C	36.0	56.3	0.7815
YDR385W	NA	NA	0.7548
YDR386W	20.0	NA	0.3948
YDR387C	NA	NA	0.5086
YDR388W	41.0	592.0	0.8493
YDR389W	16.0	328.9	0.4317
YDR390C	47.0	547.2	NA
YDR391C	40.0	437.4	0.556
YDR392W	329.0	503.8	1.131
YDR393W	NA	NA	0.5859
YDR394W	NA	541.9	NA
YDR395W	196.0	639.9	0.5945
YDR396W	NA	NA	NA
YDR397C	99.0	412.6	NA
YDR398W	NA	521.0	NA
YDR399W	NA	738.3	0.5918
YDR400W	106.0	682.8	0.2543
YDR401W	NA	NA	0.6952
YDR402C	NA	NA	0.3813
YDR403W	NA	NA	0.6672
YDR404C	35.0	696.0	NA
YDR405W	5525.0	NA	0.7838
YDR406W	NA	485.2	0.4792
YDR406W-A	NA	NA	NA
YDR407C	NA	592.8	NA
YDR408C	346.0	515.5	0.507
YDR409W	7.0	447.6	0.668
YDR410C	249.0	NA	0.7014
YDR411C	82.0	339.1	0.6676
YDR412W	82.0	421.2	NA
YDR413C	NA	NA	NA
YDR414C	NA	NA	1.858
YDR415C	NA	290.2	0.827
YDR416W	26.0	477.6	NA
YDR417C	NA	NA	0.8078
YDR418W	4849.0	NA	0.4927
YDR419W	61.0	NA	0.4883
YDR420W	NA	NA	0.3874
YDR421W	4.0	NA	0.7415
YDR422C	23.0	328.8	0.4227
YDR423C	26.0	NA	0.4881
YDR424C	10.0	492.3	0.309
YDR425W	54.0	493.1	0.4961
YDR426C	NA	NA	0.7654
YDR427W	116.0	732.9	NA
YDR428C	NA	263.0	0.2332
YDR429C	NA	688.8	NA
YDR430C	NA	636.7	0.6811
YDR431W	NA	NA	0.5547
YDR432W	NA	595.1	1.183
YDR433W	NA	NA	1.773
YDR434W	83.0	680.8	NA
YDR435C	NA	778.2	0.143
YDR436W	43.0	359.2	0.6637
YDR437W	NA	NA	NA
YDR438W	NA	NA	0.4618
YDR439W	38.0	482.6	0.5777
YDR440W	63.0	369.9	0.4862
YDR441C	28.0	NA	0.4593
YDR442W	NA	NA	1.982
YDR443C	NA	449.8	1.056
YDR444W	4.0	NA	0.6358
YDR445C	NA	NA	0.3133
YDR446W	NA	NA	0.6239
YDR447C	140.0	NA	0.09737
YDR448W	59.0	NA	0.8306
YDR449C	34.0	513.2	NA
YDR450W	63.0	NA	0.3957
YDR451C	3.0	1293.4	0.4563
YDR452W	9.0	323.9	0.568
YDR453C	149.0	281.6	0.4771
YDR454C	NA	640.2	NA
YDR455C	NA	NA	1.069
YDR456W	147.0	NA	0.6582
YDR457W	46.0	472.8	0.4865
YDR458C	28.0	494.3	0.3713
YDR459C	NA	NA	1.074
YDR460W	82.0	583.8	NA
YDR461C-A	NA	97.1	NA
YDR461W	93.0	NA	0.9791
YDR462W	8.0	NA	1.817
YDR463W	23.0	NA	0.5484
YDR464C-A	NA	NA	NA
YDR464W	NA	209.2	NA
YDR465C	69.0	424.5	0.6554
YDR466W	NA	469.7	0.4663
YDR467C	NA	NA	0.8278
YDR468C	NA	448.4	NA
YDR469W	179.0	531.7	0.7334
YDR470C	NA	NA	0.5001
YDR471W	NA	NA	0.5754
YDR472W	NA	636.7	NA
YDR473C	NA	879.6	NA
YDR475C	NA	NA	NA
YDR476C	50.0	684.5	0.7498
YDR477W	34.0	550.9	0.7366
YDR478W	75.0	756.9	NA
YDR479C	52.0	NA	0.6898
YDR480W	40.0	531.4	0.7482
YDR481C	3.0	530.7	0.3068
YDR482C	2.0	NA	0.4898
YDR483W	2.0	226.5	NA
YDR484W	29.0	669.8	0.7232
YDR485C	1855.0	1622.3	1.006
YDR486C	191.0	NA	0.1705
YDR487C	20.0	NA	NA
YDR488C	55.0	NA	0.8795
YDR489W	NA	566.3	NA
YDR490C	13.0	597.4	0.2979
YDR491C	NA	NA	0.8875
YDR492W	49.0	144.1	0.4447
YDR493W	210.0	533.8	1.03
YDR494W	NA	271.0	0.5838
YDR495C	54.0	601.7	0.319
YDR496C	NA	608.9	0.6193
YDR497C	59.0	22.1	0.416
YDR498C	39.0	647.5	NA
YDR499W	14.0	470.4	NA
YDR500C	53.0	564.1	0.5834
YDR501W	NA	NA	0.8881
YDR502C	NA	607.0	0.7642
YDR503C	NA	444.9	1.036
YDR504C	NA	NA	0.4304
YDR505C	21.0	297.7	2.02
YDR506C	10.0	NA	0.6277
YDR507C	NA	159.4	0.8798
YDR508C	NA	170.2	0.7352
YDR509W	NA	NA	0.3171
YDR510C-A	NA	NA	NA
YDR510W	7.0	577.7	NA
YDR511W	27.0	336.2	0.4868
YDR512C	NA	NA	0.9904
YDR513W	NA	454.7	0.472
YDR514C	35.0	NA	0.5102
YDR515W	24.0	629.7	0.4242
YDR516C	31.0	630.9	0.406
YDR517W	61.0	749.3	0.5003
YDR518W	NA	1184.3	0.2743
YDR519W	NA	301.4	0.4974
