Gene	HL_IB	HL_MS	PP
YBL037W	47.0	506.6	0.8735
YBL038W	276.0	1825.0	0.6089
YBL039C	389.0	571.8	0.7749
YBL039C-A	NA	NA	NA
YBL039W-B	NA	NA	NA
YBL040C	96.0	NA	NA
YBL041W	NA	635.3	NA
YBL042C	NA	101.8	0.5594
YBL043W	NA	NA	0.4961
YBL044W	NA	NA	0.4666
YBL045C	291.0	534.5	0.7219
YBL046W	65.0	412.4	0.5456
YBL047C	74.0	688.6	0.8215
YBL048W	NA	NA	0.5964
YBL049W	NA	NA	0.7322
YBL050W	NA	690.9	NA
YBL051C	20.0	446.8	0.4202
YBL052C	7.0	NA	0.3529
YBL053W	NA	NA	0.8442
YBL054W	18.0	197.7	0.5576
YBL055C	58.0	474.5	0.4528
YBL056W	54.0	556.0	0.625
YBL057C	34.0	634.0	0.3739
YBL058W	62.0	559.7	3.672
YBL059C-A	58.0	120.4	NA
YBL059W	71.0	NA	0.5342
YBL060W	22.0	NA	0.6237
YBL061C	10.0	325.3	0.7029
YBL062W	NA	NA	0.9071
YBL063W	NA	NA	0.3068
YBL064C	117.0	611.0	0.6036
YBL065W	NA	NA	0.5386
YBL066C	NA	589.0	0.8411
YBL067C	32.0	580.7	0.4231
YBL068W	116.0	603.7	0.6855
YBL068W-A	NA	NA	NA
YBL069W	6.0	NA	0.6175
YBL070C	NA	NA	0.1967
YBL071C	NA	NA	0.7903
YBL071C-B	NA	NA	NA
YBL071W-A	NA	NA	NA
YBL072C	NA	NA	0.4681
YBL073W	NA	NA	NA
YBL074C	250.0	534.4	NA
YBL075C	59.0	662.9	0.4249
YBL076C	88.0	647.6	NA
YBL077W	NA	NA	NA
YBL078C	289.0	321.2	0.7269
YBL079W	20.0	629.6	0.5667
YBL080C	NA	416.3	0.5322
YBL081W	NA	151.6	0.3956
YBL082C	30.0	484.4	0.6865
YBL083C	NA	NA	0.6652
YBL084C	3.0	NA	NA
YBL085W	3.0	338.6	0.1024
YBL086C	32.0	260.9	0.7589
YBL087C	NA	NA	0.887
YBL088C	NA	NA	1.23
YBL089W	NA	NA	1.157
YBL090W	66.0	276.2	0.7095
YBL091C	36.0	587.4	0.649
YBL091C-A	15.0	405.2	0.6556
YBL092W	NA	595.0	NA
YBL093C	123.0	221.7	0.5137
YBL094C	NA	NA	4.125
