"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"STP1"," 0.5006883"," 0.13007420"," 0.00000e+00","350.00000","0.911402","109"
"PEP7"," 0.5629982"," 0.10412195"," 0.00000e+00","350.00000","0.876056"," 62"
"INO2"," 0.5899886"," 0.15258567"," 0.00000e+00","350.00000","0.884220"," 80"
"INO4"," 0.6505141"," 0.20106990"," 0.00000e+00","350.00000","0.883277"," 74"
"CST6"," 0.5566882"," 0.17607256"," 0.00000e+00","350.00000","0.862525"," 85"
"RIM1"," 0.4669773"," 0.10300283","2.37152e-322","318.83751","0.876924","126"
"HSC82"," 0.4667592"," 0.04770768","5.33591e-322","318.48533","0.923373"," 81"
"UBP16","-0.4657899","-0.04304557","1.68773e-320","316.98524","0.935049"," 77"
"CTF4"," 0.4656535"," 0.07588721","2.74503e-320","316.77399","0.838119","104"
"MDM30"," 0.4648841"," 0.05694408","4.24274e-319","315.58489","0.922849"," 75"
"HUR1"," 0.4642308"," 0.07469214","4.31566e-318","314.57749","0.856089"," 87"
"CSM1"," 0.4641970"," 0.04740525","5.49498e-318","314.47257","0.927156"," 60"
"RIM11","-0.4635096","-0.04890060","6.26962e-317","313.41530","0.933471"," 80"
"SSN2"," 0.4601567"," 0.09381226","7.38229e-312","308.34435","0.873837"," 52"
"PRE9"," 0.4596933"," 0.09250309","3.73182e-311","307.64062","0.850670","118"
"ERG2"," 0.4593263"," 0.05921631","1.51281e-310","307.03275","0.890331"," 46"
"ZAP1"," 0.4562076"," 0.07101154","6.75673e-306","302.38280","0.899956","101"
"RMI1"," 0.4555660"," 0.04903234","6.17917e-305","301.42161","0.918007"," 62"
"PFK27"," 0.4493955"," 0.08737810","8.51439e-296","292.28239","0.852515"," 97"
"RAD54"," 0.4490575"," 0.05263093","2.66309e-295","291.78715","0.898151","122"
"SAS4"," 0.4461067"," 0.05213009","5.30486e-291","287.48787","0.936480"," 59"
"RSC2"," 0.4460212"," 0.10641415","7.05639e-291","287.36396","0.854561","122"
"ARX1"," 0.4454355"," 0.05067787","5.55564e-290","286.46781","0.928008"," 83"
"MED2"," 0.4447810"," 0.09737112","4.38967e-289","285.57011","0.846195"," 74"
"FAB1"," 0.4434766"," 0.04774135","3.70438e-287","283.64382","0.931979"," 66"
"GLN3"," 0.4429166"," 0.07410468","2.11432e-286","282.88737","0.912053"," 80"
"PUF6"," 0.4424259"," 0.05352291","1.19070e-285","282.13674","0.902081"," 88"
"BCY1","-0.4400336","-0.14014860","2.75779e-282","278.77198","0.832663"," 91"
"NUP60"," 0.4350269"," 0.06467589","3.11493e-275","271.71909","0.853977","152"
"SSF1"," 0.4340537"," 0.04674121","7.08877e-274","270.36197","0.891197","119"
"SLX8"," 0.4322949"," 0.10501111","1.95923e-271","267.92045","0.913879","140"
"RPB9"," 0.4318554"," 0.12423227","7.94173e-271","267.31262","0.830374","121"
"NTH2","-0.4302135","-0.04905593","1.61141e-268","265.00533","0.935170"," 41"
"DIG1","-0.4294703","-0.08139707","1.52353e-267","264.02969","0.896722"," 59"
"SWM1"," 0.4279185"," 0.03798280","2.23151e-265","261.86394","0.899066"," 63"
"DCC1"," 0.4266496"," 0.05117329","1.07509e-263","260.18109","0.860476"," 99"
"JJJ1"," 0.4260623"," 0.04729379","6.73211e-263","259.38439","0.824692","155"
"GCN4","-0.4247050","-0.04632832","5.08906e-261","257.50590","0.939221"," 56"
"RSC1"," 0.4244339"," 0.06949748","1.06883e-260","257.18363","0.832515","139"
"DHH1"," 0.4241327"," 0.09531855","2.72041e-260","256.77790","0.896013","126"
