"","cor","beta","pval_beta","adjp_beta","ratio"
"NAM7"," 0.1030812"," 0.01382197"," 2.60096e-10","  6.86886","0.7970167"
"SFL1"," 0.1099147"," 0.01451830"," 2.79870e-10","  6.83704","0.9350186"
"BUD22","-0.0938944","-0.01881447"," 3.07774e-10","  6.79576","0.9408460"
"SSN2","-0.1077294","-0.02236623"," 3.25599e-10","  6.77131","0.9090418"
"SOH1"," 0.0992236"," 0.01802782"," 4.65093e-10","  6.61646","0.9203642"
"MAC1"," 0.1053961"," 0.00732793"," 5.12911e-10","  6.57395","0.9089701"
"OCA2","-0.1170666","-0.00896306"," 1.15727e-09","  6.22056","0.8596155"
"ARP6","-0.1166622","-0.01092708"," 1.28943e-09","  6.17360","0.8678103"
"LSM12"," 0.0990455"," 0.00960293"," 1.83819e-09","  6.01961","0.9293319"
"OCA5","-0.1033517","-0.00857990"," 2.90317e-09","  5.82112","0.9172699"
"DIG1"," 0.1033530"," 0.01887370"," 3.11045e-09","  5.79117","0.9156153"
"UBA4"," 0.1053007"," 0.01598057"," 3.47558e-09","  5.74297","0.9013947"
"CHD1"," 0.1051530"," 0.01207135"," 3.65517e-09","  5.72109","0.8901080"
"YHR003C"," 0.0965147"," 0.01570735"," 3.84915e-09","  5.69863","0.8738821"
"SRB5"," 0.0939240"," 0.02001011"," 5.84043e-09","  5.51755","0.9314087"
"RRG9","-0.1040926","-0.02456319"," 8.27514e-09","  5.36622","0.9121170"
"TRM10"," 0.0933807"," 0.01353438"," 9.52140e-09","  5.30530","0.8960587"
"MFT1","-0.0937856","-0.00943671"," 1.50700e-08","  5.10588","0.9211440"
"PAP2"," 0.1065428"," 0.01192686"," 1.99048e-08","  4.98504","0.8624578"
"GRR1","-0.1066856","-0.02891800"," 3.55544e-08","  4.73310","0.8533883"
"CDH1","-0.0997556","-0.00868655"," 4.17840e-08","  4.66299","0.9135609"
"GPR1","-0.0944124","-0.01565601"," 4.35715e-08","  4.64479","0.9338918"
"ECM30"," 0.0955891"," 0.00646368"," 5.34184e-08","  4.55631","0.9237102"
"RRP8","-0.0889151","-0.00968287"," 6.92321e-08","  4.44369","0.9495174"
"NUT1","-0.0965575","-0.01042377"," 7.65932e-08","  4.39981","0.9485919"
"NTH2"," 0.0957075"," 0.00974296"," 8.98185e-08","  4.33063","0.9139843"
"KAP122","-0.0871976","-0.01145219"," 1.25972e-07","  4.18372","0.9475200"
"OCA1","-0.1000999","-0.00923383"," 1.76763e-07","  4.03661","0.9154168"
"YLH47"," 0.0924887"," 0.00657968"," 1.90824e-07","  4.00336","0.9202703"
"RGT2"," 0.0954940"," 0.00639257"," 2.06305e-07","  3.96949","0.9202778"
"APC9","-0.0882745","-0.00601456"," 2.80862e-07","  3.83550","0.9191362"
"ULS1"," 0.0904003"," 0.00717201"," 8.23074e-07","  3.36856","0.9490920"
"SIW14","-0.0941678","-0.00863472"," 8.42512e-07","  3.35842","0.8767802"
"DOC1","-0.0843799","-0.01529899"," 1.35661e-06","  3.15154","0.8964174"
"RPN13","-0.0906447","-0.01286509"," 1.44945e-06","  3.12279","0.7430301"
