,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
RAI1, 1.57252e-01, 5.10144e-02,1.99073e-10,-0.088865082,-1.69000e-02, 5.48092e-07, 0.109168981, 5.70534e-02,1.23851e-01,-7.72236e-02,-1.58329e-02,6.20708e-06,6.98498e+00,  3.5451434,0.00000e+00, 2.4911091,0.10864579,0.89135421
RAM1,-1.53484e-01,-6.07057e-02,3.38264e-18, 0.121251463, 8.24305e-02, 1.13995e-06,-0.148297708,-6.31208e-02,2.93833e-18, 1.19847e-01, 1.13914e-01,9.09573e-02,1.47547e+01,  3.2271093,1.48159e+01, 0.0000000,0.89709521,0.10290479
RAD57, 9.33618e-03, 1.35765e-03,4.88980e-01, 0.116856392, 4.80063e-02, 6.13885e-25, 0.017643937, 2.11198e-03,2.99199e-01, 2.53014e-01, 5.39610e-02,1.60251e-03,0.00000e+00, 21.4959095,0.00000e+00, 0.0791958,0.92624213,0.07375787
RAD54, 4.34735e-04,-3.55937e-04,8.67319e-01, 0.146667974, 3.74785e-02, 1.52988e-15, 0.002084176, 2.69951e-04,9.02211e-01, 1.76590e-01, 3.58809e-02,3.75682e-02,0.00000e+00, 12.0993379,0.00000e+00, 0.0000000,0.93286030,0.06713970
RAD50,-6.19055e-03,-5.85160e-04,8.52010e-01, 0.116689694, 6.30933e-02, 5.18474e-17,-0.003045371,-5.81802e-04,8.58005e-01, 1.73605e-01, 6.31036e-02,2.66751e-02,0.00000e+00, 13.5692698,0.00000e+00, 0.0000000,0.92146811,0.07853189
RAD55,-5.33920e-02,-3.60168e-03,3.34154e-03, 0.130519687, 2.04518e-02, 1.93586e-13,-0.050555649,-3.76183e-03,3.08133e-03, 1.65453e-01, 2.65003e-02,2.18226e-02,0.00000e+00,  9.9971229,0.00000e+00, 0.0000000,0.89887566,0.10112434
RAD52,-1.48294e-02,-1.70970e-03,5.46702e-01, 0.117492035, 5.83359e-02, 6.86505e-18,-0.010606259,-1.81708e-03,5.36720e-01, 1.85904e-01, 6.86455e-02,5.46038e-03,0.00000e+00, 14.4473533,0.00000e+00, 0.0000000,0.89288809,0.10711191
RAD27, 1.79126e-01, 6.37790e-02,5.54049e-19,-0.031093139,-5.42411e-03, 3.81584e-02, 0.179814863, 8.09769e-02,2.42296e-02,-2.89411e-02,-4.60875e-03,8.87354e-02,1.55404e+01,  0.0000000,0.00000e+00, 0.0000000,0.07938766,0.92061234
RAD1, 1.42645e-01, 1.58982e-02,1.51957e-16,-0.089988489,-2.54855e-02, 7.90954e-06, 0.133342388, 1.56353e-02,2.84774e-15,-1.28402e-01,-5.06712e-02,1.33386e-01,1.31023e+01,  2.3858455,1.18295e+01, 0.0000000,0.92995709,0.07004291
PUS7,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04558799,0.95441201
PUF4,-2.50441e-02,-2.43103e-03,7.17802e-02,-0.256847094,-7.26464e-02, 2.93207e-39,-0.029442177,-2.42382e-03,8.24593e-02,-2.80307e-01,-1.11934e-01,9.07880e-04,0.00000e+00, 35.8168221,0.00000e+00, 0.3259681,0.93133910,0.06866090
PUS1,-1.11553e-01,-2.62342e-02,3.64970e-04, 0.137663633, 1.77124e-02, 9.39001e-17,-0.057761691,-2.60566e-02,4.61160e-01, 1.25787e-01, 1.63499e-02,1.19555e-13,7.21740e-01, 13.3113305,0.00000e+00,10.2064274,0.07383315,0.92616685
PUF6, 5.25472e-02, 1.48732e-02,1.80016e-02,-0.042608532,-5.26416e-03, 2.07329e-02, 0.060674544, 2.35794e-02,4.51796e-01,-4.20154e-02,-5.80344e-03,1.34369e-02,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.07635322,0.92364678
PUS9,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.02246249,0.97753751
PUF3, 9.28913e-03, 7.19142e-04,5.13325e-01,-0.121749948,-2.30324e-02, 6.79489e-07, 0.009033178, 5.99020e-04,6.02635e-01,-6.85454e-02,-1.84710e-02,2.42134e-01,0.00000e+00,  3.4518140,0.00000e+00, 0.0000000,0.88950913,0.11049087
PTK2,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.96463353,0.03536647
PTP3,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.02934338,0.97065662
PSY2,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.96247356,0.03752644
PTC1,-7.69124e-02,-3.59024e-02,5.17121e-06,-0.053664113,-1.07001e-02, 4.88599e-03,-0.139040238,-5.89623e-02,2.46781e-02,-5.08851e-02,-1.16065e-02,3.19180e-03,2.57040e+00,  0.0000000,0.00000e+00, 0.0000000,0.12960242,0.87039758
PPH3, 4.40703e-02, 1.74312e-03,6.54800e-01,-0.009412556,-9.31333e-04, 5.99210e-01,-0.031602303,-7.93786e-03,6.32030e-01,-1.28975e-02,-1.39052e-03,4.53170e-01,0.00000e+00,  0.0000000,0.00000e+00, 0.0000000,0.14358016,0.85641984
POL32,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.04511005,0.95488995
POG1, 8.53345e-02, 7.31957e-03,3.90286e-07, 0.012718264, 6.56184e-03, 1.30200e-01, 0.077958991, 6.83352e-03,4.35515e-06, 3.70791e-02, 1.08555e-02,6.49081e-01,3.69261e+00,  0.0000000,2.64499e+00, 0.0000000,0.92167213,0.07832787
PMS1, 8.04010e-02, 4.44218e-03,2.21415e-06, 0.098382095, 1.78217e-02, 2.38332e-07, 0.083144795, 4.76174e-03,7.93580e-07, 7.59999e-02, 1.93623e-02,4.50024e-01,2.93879e+00,  3.9068141,3.38441e+00, 0.0000000,0.94762953,0.05237047
PLC1,-7.10394e-02,-1.45672e-02,2.31308e-05,-0.010232996,-1.07892e-02, 2.77460e-01,-0.068589156,-1.42402e-02,6.45390e-05,-9.13086e-03,-5.44742e-03,8.90697e-01,1.91981e+00,  0.0000000,1.47417e+00, 0.0000000,0.89614472,0.10385528
PML39,          NA,          NA,         NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,         NA,        NA,0.03608221,0.96391779
PIH1,-9.82456e-02,-3.41655e-02,1.60194e-10,-0.059033343,-7.85355e-03, 7.49616e-05,-0.128980560,-4.92942e-02,7.53577e-02,-6.80372e-02,-8.15545e-03,6.73324e-05,7.07935e+00,  1.4091581,0.00000e+00, 1.4557723,0.10480139,0.89519861
