ID,Noise SD
YBR067C,14.1105663865
YBR068C,
YBR069C,2.9507509185
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,-0.1424127952
YBR078W,
YBR079C,-0.0261867832
YBR080C,1.5345920135
YBR081C,
YBR082C,2.3866407125
YBR083W,
YBR084C-A,-1.6070370088
YBR084W,0.6961637572
YBR085C-A,7.9549010177
YBR085W,
YBR086C,-0.1044521272
YBR087W,
YBR088C,
YBR089CA,
YBR089C-A,0.4392120117
YBR089W,
YBR090C,-0.8916252867
YBR090C-A,
YBR091C,
YBR092C,
YBR093C,
YBR094W,0.0149094042
YBR095C,
YBR096W,
YBR097W,
YBR098W,
YBR099C,
YBR100W,
YBR101C,-0.1026192865
YBR102C,-0.693011393
YBR103C-A,
YBR103W,
YBR104W,
YBR105C,2.2773371619
YBR106W,0.0355541146
YBR107C,
YBR108W,
YBR109C,
YBR109W-A,
YBR110W,-0.841973018
YBR111C,-0.3367639352
YBR111W-A,
YBR112C,-0.1087447418
YBR113W,
YBR114W,
YBR115C,2.5739022228
YBR116C,
YBR117C,
YBR118W,-2.8990446044
YBR119W,
YBR120C,0.3600272489
YBR121C,-0.4408843062
YBR121C-A,
YBR122C,-0.7781500553
YBR123C,
YBR124W,
YBR125C,
YBR126C,3.8798459692
YBR126W-A,
YBR126W-B,
YBR127C,-0.8086967268
YBR128C,
YBR129C,
YBR130C,-1.5480378048
YBR131C-A,
YBR131W,
YBR132C,1.1752829618
YBR133C,
YBR134W,
YBR135W,-0.4918313534
YBR136W,
YBR137W,-0.735
YBR138C,
YBR139W,
YBR140C,0.1173517924
YBR141C,
YBR141W-A,
YBR142W,-0.0048574545
YBR143C,-2.5922130743
YBR144C,
YBR145W,
YBR146W,
YBR147W,
YBR148W,
YBR149W,17.5019276245
YBR150C,
YBR151W,-1.0097126034
YBR152W,-1.3374872809
YBR153W,
YBR154C,
YBR155W,-0.3843348163
YBR156C,
YBR157C,
YBR158W,
YBR159W,-1.182219823
YBR160W,-0.8892510764
YBR161W,
YBR162C,-0.3288478114
YBR162WA,
YBR162W-A,-0.1274872809
YBR163W,
YBR164C,0.2673356363
YBR165W,
YBR166C,-0.8261795524
YBR167C,-0.177369426
YBR168W,
YBR169C,2.5431205678
YBR170C,-0.0352770659
YBR171W,0.0097821885
YBR172C,
YBR173C,
YBR174C,
YBR175W,
YBR176W,
YBR177C,-0.6616251763
YBR178W,
YBR179C,1.1673544484
YBR180W,
YBR181C,9.6081078229
YBR182C,
YBR182C-A,
YBR183W,
YBR184W,
YBR185C,2.5670873827
YBR186W,
YBR187W,
