,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
SOK2,-1.48262e-01,-5.09688e-02,6.83826e-13,-1.13655e-03,-2.98520e-04,8.24382e-01,-0.121208604,-7.15744e-02,8.11437e-03,-4.94299e-04,-4.51366e-05,9.74535e-01, 9.3588747, 0.0000000,0.0000000,0.00000000,0.1489086,0.8510914
RTG3,-2.22560e-02,-1.02597e-02,3.75652e-01, 2.58060e-02, 2.17387e-03,1.06332e-01,-0.010737431,-1.02082e-02,8.39782e-01, 2.12466e-02, 1.96670e-03,1.64016e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1032176,0.8967824
SFL1,-2.36209e-03,-7.28401e-03,2.53793e-01, 2.34459e-02, 2.07338e-03,2.21934e-01,-0.043919416,-2.50044e-02,4.40986e-01, 1.35507e-02, 1.58148e-03,3.72187e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1216884,0.8783116
RPH1,-1.16556e-01,-2.26451e-02,9.02410e-08,-3.34445e-02,-2.82423e-03,2.27205e-02,-0.076265813,-2.62574e-02,9.86556e-02,-3.65508e-02,-3.08118e-03,1.81319e-02, 4.2384159, 0.0000000,0.0000000,0.00000000,0.1729672,0.8270328
SNT1,-1.01080e-02,-4.47370e-03,5.09510e-01, 3.78759e-02, 4.66592e-03,1.87157e-02,-0.037759280,-2.60533e-02,5.93674e-01, 3.40081e-02, 4.65522e-03,2.33369e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.0934036,0.9065964
RSC30,-4.99417e-03,-4.91199e-04,9.42641e-01,-7.87248e-03,-4.95694e-04,7.91035e-01,-0.006612511,-4.33213e-03,8.93035e-01,-2.63788e-03,-3.34129e-04,8.63773e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.1619594,0.8380406
RTG1, 4.58279e-02, 2.74525e-03,4.00081e-03, 8.58794e-02, 3.59929e-02,8.20449e-05, 0.046605824, 3.05535e-03,2.03386e-03, 5.65668e-02, 4.10110e-02,3.55390e-01, 0.0000000, 1.2797685,0.0000000,0.00000000,0.9235530,0.0764470
SKO1, 1.22243e-02, 7.37651e-04,5.72323e-01,-8.48417e-02,-2.56160e-02,1.45109e-05, 0.009900638, 8.91702e-04,5.15279e-01,-9.40642e-02,-5.02889e-02,8.89721e-02, 0.0000000, 2.0321254,0.0000000,0.00000000,0.8798165,0.1201835
SPT2, 3.86791e-02, 1.42729e-02,2.70312e-02, 2.78315e-02, 2.45646e-03,5.46096e-02, 0.042246129, 2.42304e-02,5.59658e-01, 2.65891e-02, 2.34079e-03,7.59433e-02, 0.0000000, 0.0000000,0.0000000,0.00000000,0.0694183,0.9305817
SFP1,-2.26220e-02,-4.86503e-03,2.21832e-01,-2.27139e-02,-1.19070e-02,2.88719e-01,-0.017376026,-4.51431e-03,2.73647e-01,-1.74943e-02,-1.81993e-02,6.49313e-01, 0.0000000, 0.0000000,0.0000000,0.00000000,0.7294004,0.2705996
