,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
UBP13,-4.09854e-02, 1.16256e-03,9.00630e-01, 0.002604440, 2.38320e-04,7.80904e-01, 0.005728034, 4.38282e-03,9.34875e-01, 4.47176e-03, 2.62029e-04,7.65713e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.0572057,0.9427943
UBP10,-3.20299e-02,-6.54026e-03,7.69114e-03,-0.150274000,-6.62089e-02,1.44746e-14,-0.033562610,-5.52932e-03,3.06122e-02,-1.68664e-01,-1.40021e-01,1.53476e-04, 0.0000000,11.03321399,0.0000000,1.0077801,0.8064688,0.1935312
UBC8, 1.02854e-01, 1.73499e-02,2.45995e-04,-0.013238428,-1.03753e-03,4.55412e-01, 0.044454236, 1.95220e-02,4.80600e-01,-9.11157e-03,-8.73197e-04,5.45917e-01, 0.8028936, 0.00000000,0.0000000,0.0000000,0.1110698,0.8889302
UBP14, 2.41765e-02, 2.67957e-03,6.18951e-01,-0.050965312,-3.53907e-03,1.22093e-03, 0.008198441, 3.99593e-03,9.06895e-01,-4.76352e-02,-3.61096e-03,1.49284e-03, 0.0000000, 0.10712768,0.0000000,0.0198076,0.0769734,0.9230266
UBP15, 2.29573e-02, 2.47256e-03,1.00772e-01,-0.079758877,-2.27919e-02,3.42051e-02, 0.025429447, 2.63035e-03,9.16818e-02,-2.30325e-02,-2.06739e-02,7.17601e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.9240446,0.0759554
UBP3,-2.09054e-02,-5.27721e-03,1.65891e-01,-0.056158991,-3.26031e-02,4.44238e-03,-0.011073916,-2.91691e-03,4.61148e-01,-1.24329e-01,-1.44939e-01,6.69130e-02, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8903113,0.1096887
UBP16, 2.92460e-02, 3.72296e-03,4.91798e-01, 0.008123385, 9.67499e-04,4.13046e-01,-0.007306845,-3.63786e-03,9.02600e-01, 9.83330e-03, 7.99617e-04,5.15969e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1040176,0.8959824
UBP6,-1.87651e-02,-1.50063e-03,2.14159e-01,-0.036632597,-2.20918e-02,1.10813e-03,-0.017708676,-1.48241e-03,2.36993e-01,-8.84945e-02,-5.63941e-02,2.27180e-01, 0.0000000, 0.14922837,0.0000000,0.0000000,0.9321636,0.0678364
UFD2,-3.32104e-02,-3.45713e-03,2.13909e-02,-0.110957712,-3.65058e-02,5.86677e-08,-0.032209903,-3.34157e-03,3.17027e-02,-1.10578e-01,-6.27320e-02,1.18117e-01, 0.0000000, 4.42542092,0.0000000,0.0000000,0.9252733,0.0747267
UBR2, 1.59479e-02, 1.71025e-03,3.16454e-01, 0.000421451, 2.62341e-03,5.88888e-01, 0.016459717, 1.83705e-03,2.97389e-01, 2.09183e-02, 9.28635e-03,5.97635e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.7469988,0.2530012
UBX3, 7.89563e-02, 1.38604e-02,1.34448e-03,-0.014767937,-8.28365e-04,4.13188e-01, 0.047998541, 1.78999e-02,3.92132e-01,-1.18127e-02,-8.18172e-04,4.37147e-01, 0.0652646, 0.00000000,0.0000000,0.0000000,0.1136721,0.8863279
UBR1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,         NA,       NA,       NA,0.9536181,0.0463819
UBX2,-5.12327e-02,-6.07718e-03,9.84100e-04,-0.203656058,-8.31527e-02,1.05355e-19,-0.053276983,-6.73965e-03,5.11462e-04,-1.21089e-01,-8.45191e-02,1.55174e-02, 0.2007806,16.17116417,0.4850064,0.0000000,0.8734348,0.1265652
UFD4,-2.04425e-03, 4.94560e-05,9.66368e-01,-0.052326587,-2.38521e-02,1.66537e-03,-0.005057154,-4.07693e-04,7.37123e-01,-5.19879e-02,-3.28023e-02,4.21734e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.9232183,0.0767817
URE2, 1.02193e-02, 7.36140e-04,6.53857e-01,-0.158332936,-6.88958e-02,1.66534e-12, 0.008690790, 9.88467e-04,5.66616e-01,-1.14425e-01,-9.30309e-02,4.80635e-02, 0.0000000, 8.97231710,0.0000000,0.0000000,0.9009151,0.0990849
URM1, 5.82868e-02, 2.43839e-02,2.63123e-02, 0.021414164, 3.76176e-03,1.78653e-01, 0.011415207, 1.22499e-02,8.56339e-01, 2.60231e-02, 5.03176e-03,8.45280e-02, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1043110,0.8956890
VAM6,-1.27881e-01,-4.60748e-02,4.30983e-13,-0.037163735,-3.40059e-03,6.56033e-03,-0.130643972,-7.29034e-02,5.57923e-02,-4.04048e-02,-3.49440e-03,7.12753e-03, 9.5593604, 0.00000000,0.0000000,0.0000000,0.0775003,0.9224997
VPS16,-8.90191e-02,-4.71225e-02,1.48889e-05,-0.031579468,-7.12133e-03,2.22441e-02,-0.072460051,-7.15671e-02,1.23147e-01,-3.44336e-02,-7.23577e-03,2.57329e-02, 2.0209565, 0.00000000,0.0000000,0.0000000,0.1737981,0.8262019
VPS24,-4.18086e-02,-1.17959e-02,8.56947e-02,-0.024261754,-1.97806e-03,9.13396e-02,-0.027727886,-1.70963e-02,5.94465e-01,-2.48561e-02,-1.99143e-03,1.04051e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.1206484,0.8793516
VID28, 1.54919e-02, 1.03326e-03,4.11145e-01, 0.046647027, 6.60607e-03,3.49623e-01, 0.014980118, 1.29739e-03,3.26736e-01, 1.41829e-02, 8.15816e-03,7.88272e-01, 0.0000000, 0.00000000,0.0000000,0.0000000,0.8837459,0.1162541
VPS8,-1.00851e-01,-1.62320e-02,7.39778e-11,-0.141954363,-6.39883e-02,2.73706e-12,-0.093404435,-1.58607e-02,1.40735e-09,-1.07334e-01,-8.85893e-02,2.08889e-02, 7.3247185, 8.75653637,6.0454187,0.0000000,0.8252709,0.1747291
VPS27,-6.25391e-03,-1.56261e-04,9.84411e-01,-0.030688736,-3.55569e-03,4.00681e-02, 0.021715466, 1.66609e-02,7.43778e-01,-2.97960e-02,-3.55645e-03,4.76127e-02, 0.0000000, 0.00000000,0.0000000,0.0000000,0.0868299,0.9131701
VPS36,-4.90574e-02,-5.62394e-03,6.85482e-04,-0.095955203,-6.02347e-02,6.97966e-07,-0.045415982,-5.18808e-03,3.11472e-03,-8.72916e-02,-8.89687e-02,7.60403e-02, 0.3578240, 3.34998562,0.0000000,0.0000000,0.8742441,0.1257559
