,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
FKS1,0.5,-0.10763,1.643e-07,-0.037954,2.408e-08,5.009e-08,6.585e-12, 4.510,6.366e-04,0.14122,2.311e-06
STB5,0.3,-0.11432,5.774e-07,-0.043759,3.205e-07,5.250e-08,4.071e-12, 4.490,7.057e-04,0.13856,3.118e-06
SER2,0.5,-0.11954,4.382e-07,-0.023457,9.072e-08,5.788e-08,0.000e+00, 4.447,7.723e-04,0.08156,9.338e-07
GCN5,0.4,-0.07299,5.000e-08,-0.053874,1.258e-08,5.867e-08,5.774e-14, 4.441,6.754e-04,0.12427,9.574e-08
SWM1,0.4,-0.11222,5.774e-08,-0.025947,5.500e-08,5.910e-08,3.840e-12, 4.438,8.401e-04,0.09771,1.328e-06
YPT6,0.3,-0.10104,1.328e-06,-0.049679,1.031e-06,5.960e-08,2.665e-11, 4.434,6.207e-04,0.19003,3.955e-06
RAD50,0.6,-0.10418,0.000e+00,-0.039640,8.165e-09,6.467e-08,1.941e-13, 4.399,5.893e-04,0.11427,1.049e-07
YAF9,0.5,-0.10228,1.516e-06,-0.028504,7.113e-07,6.636e-08,3.080e-11, 4.388,4.267e-04,0.15272,3.798e-06
HFM1,0.5,-0.10443,2.828e-07,-0.030155,1.958e-07,6.688e-08,3.493e-12, 4.384,6.231e-04,0.11387,1.601e-06
ADA2,0.6,-0.09114,2.066e-07,-0.052367,6.482e-07,7.137e-08,1.092e-11, 4.356,7.227e-04,0.15600,2.957e-06
LEO1,0.8,-0.09296,7.382e-07,-0.030361,6.698e-07,7.938e-08,3.547e-11, 4.310,7.524e-04,0.09439,1.754e-06
NPL3,0.4,-0.10894,1.050e-06,-0.061547,1.051e-06,8.079e-08,2.481e-11, 4.302,3.327e-04,0.15862,3.486e-06
YGR122W,0.4,-0.08250,2.000e-07,-0.044623,2.804e-07,8.749e-08,8.573e-12, 4.268,6.546e-04,0.05271,3.202e-07
