,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
PSY2,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.03739236,0.96260764
PTC1,-3.29969e-02,-2.29022e-02, 7.69330e-03,-0.057493695,-1.10113e-02, 3.03572e-03,-0.133104291,-6.37204e-02,3.19164e-02,-0.052309912,-1.17013e-02,2.43130e-03,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.12996640,0.87003360
PPH3,-6.80496e-03,-5.30372e-04, 7.61468e-01, 0.036512017, 4.35039e-04, 9.16395e-01,-0.008772256,-9.28198e-04,6.10071e-01,-0.038908455,-1.10062e-02,5.52847e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.85637639,0.14362361
POL32,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.04573197,0.95426803
POG1, 8.70335e-02, 7.49381e-03, 1.71099e-07, 0.070058528, 1.95583e-02, 1.53936e-05, 0.086969648, 7.55611e-03,2.97457e-07, 0.073049199, 2.30120e-02,3.66366e-01,  4.0474220,2.09333e+00, 3.8072451, 0.0000000,0.92149185,0.07850815
PMS1, 1.32874e-01, 2.49137e-02, 7.08746e-13, 0.097850083, 5.41600e-03, 7.53954e-09, 0.118355765, 3.00363e-02,2.36108e-01, 0.099994400, 5.72364e-03,2.82946e-09,  9.4301779,5.40332e+00, 0.0000000, 5.8289646,0.05246160,0.94753840
PLC1,-4.44788e-02,-9.40245e-03, 5.89650e-03, 0.027056675, 7.48210e-03, 4.71816e-01,-0.040372525,-8.33523e-03,1.87366e-02,-0.006060426,-3.82659e-03,9.27647e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.89596544,0.10403456
PML39,          NA,          NA,          NA,          NA,          NA,          NA,          NA,          NA,         NA,          NA,          NA,         NA,         NA,         NA,        NA,        NA,0.96397109,0.03602891
PIH1,-4.18899e-02,-6.02715e-03, 2.18309e-03,-0.099136667,-3.65106e-02, 5.43835e-11,-0.048364782,-5.75326e-03,4.63882e-03,-0.154508831,-6.29879e-02,3.23690e-02,  0.0000000,7.54520e+00, 0.0000000, 0.0000000,0.89442867,0.10557133
PIN4, 5.41496e-02, 1.02695e-02, 5.01014e-02,-0.002003454,-3.62533e-04, 8.21975e-01, 0.039206579, 1.49736e-02,5.68404e-01,-0.007338310,-7.20425e-04,6.68702e-01,  0.0000000,0.00000e+00, 0.0000000, 0.0000000,0.11033830,0.88966170
