,int,beta,beta_pval,sigma,adj_pval
UBC4,0.0137239231316597,-0.00551293255935125,0.0585376621111037,0.227668714429614,1
SWI5,0.0009324173945795,-0.00313447054735633,0.0588291785738333,0.129594406634942,1
DLS1,-0.0031426811669756,-0.00324325334556221,0.0602347369041955,0.134834126665039,1
CAC2,0.012082198982299,-0.00630106414218829,0.0615990730362624,0.263346681279394,1
BUR2,0.00813589638028195,-0.00962363179974423,0.0628121486824965,0.404080968725007,1
SWD1,0.0058455516182818,-0.00509254483313846,0.0656193377164085,0.216093778240835,1
CTF19,0.00750015115795682,-0.00248809200612973,0.066961399367551,0.106101665863298,1
URC2,-0.00376115166004568,-0.00344289755299617,0.0675259799591772,0.147121517362828,1
RAD57,0.0224995260123063,-0.00378231492886785,0.0675391775572677,0.161633241630558,1
SKN7,-0.00142256014576945,0.00372727440373046,0.067771600270103,0.159416055668955,1
SNT1,-0.0105304057370994,-0.00421413765219039,0.0680115052300605,0.18039653118892,1
BCS1,-0.00332381090056983,-0.00293444770287888,0.0683469178459144,0.125769147168057,1
DMA1,0.00156299918787146,-0.00387144477459856,0.0685990327719671,0.166079838128823,1
CHO2,0.0727796029548885,-0.0112089925153162,0.0688891982108772,0.481354764184015,1
ETP1,-0.00405303412102915,-0.00281232091892577,0.0700309922332606,0.121267053670165,1
IES1,-8.56873054319653e-05,-0.00276789405468661,0.0700857706760131,0.119374716783334,1
RIM1,0.0336539373780358,-0.00719626454871297,0.07226479372449,0.312765454131826,1
VPS15,0.0622562523218213,-0.00972230268972256,0.0734094125155465,0.424245241547296,1
MCM21,0.00863553663154968,-0.0023676331966644,0.0735705544027798,0.103372604290804,1
BRE2,0.00382900893274113,-0.00485755273325917,0.0736580458642319,0.212148750225725,1
ELA1,0.00831253897360397,-0.00292623772736169,0.0741446993823451,0.128016136553279,1
SSM4,-0.00117905350595819,-0.00266425378789871,0.0751717173605986,0.116967990799793,1
UBP16,-0.00667930906309301,0.00302694272252397,0.0780904018808836,0.134214340486411,1
DBR1,0.00764460221177208,-0.00329119890327257,0.0787932670324278,0.146275563576867,1
SWD3,0.0109450026192432,-0.00546590865020441,0.0801410417351588,0.244021219251271,1
SLX8,0.020878977098843,-0.00703556959387299,0.0802116032745622,0.314170898298523,1
FAB1,0.0113478908432489,-0.00385315982842835,0.0806744185526704,0.172324898921226,1
YDR306C,0.00344008796062388,-0.00266328832621727,0.0824533391250013,0.119807355486801,1
IXR1,0.000632633821377926,-0.00442877018071813,0.0848912234236479,0.200804701041333,1
INO2,0.0423378518856152,-0.00861062429314345,0.0857945274409207,0.391544510400841,1
RAM1,0.0779320275016605,-0.013596983906074,0.0865150091743475,0.619705903818241,1
SRV2,0.0824162663033818,-0.0112342897128461,0.0875700349063502,0.513736012835961,1
SDS3,0.0161350917327058,-0.00704802298293498,0.0887057171636941,0.323454853181327,1
UBC8,-0.00136597058585899,0.00292024851619475,0.0887188153679879,0.134024442696074,1
KAP123,-0.0099465551543566,0.00398481986201486,0.0892414904207783,0.183182326616854,1
PFK27,0.0292957393358175,-0.00666228795793272,0.089393608779365,0.306411245098646,1
RAD54,0.0157220005140132,-0.00362815318000303,0.0894848754990026,0.166913196099707,1
UBP15,0.00465971870546962,-0.00433315683172867,0.0898325062179508,0.199563104491906,1
YPK1,0.0335566668271437,-0.00703336875147419,0.0902843875306553,0.324376789333049,1
KAR3,0.0186930913137231,-0.00549630877934237,0.093357920044416,0.255898938880386,1
MSH1,0.00362218712120289,-0.00369552924874877,0.0934039065845015,0.172081814311363,1
WSS1,0.0104517029978928,-0.00334933793769476,0.0936952588159302,0.156100115875581,1
SIS2,0.0324372386746156,-0.00701087235355806,0.094113443942825,0.327166751301565,1
VPS3,0.0194981841060821,-0.00590348323061055,0.0947661632207247,0.27603605447583,1
SAC1,0.00350544463342657,-0.00357373734698273,0.0950881019410798,0.167264333915665,1
NFI1,0.00804382627883741,-0.00302640597740274,0.0987909084502569,0.143226739355066,1
SLA1,0.015672981652373,-0.00430254252404069,0.0989017535848232,0.203687716229361,1
IRE1,0.000422408387223523,0.00390845376436136,0.0993233497647481,0.185262213731653,1
CHK1,-0.00457364931057967,0.00362670176646124,0.0996755922166834,0.172086116517291,1
UBP6,-0.00219665773480563,0.00273731410229616,0.0997012382194577,0.129894723959158,1
URE2,0.00801059528184806,-0.00441398066213867,0.100236204898574,0.20978881673281,1
GLN3,0.0254647524093974,-0.00538751444885172,0.100311885048709,0.256116239136665,1
PHO13,0.00486708788533372,0.00254035461681918,0.100456773155415,0.120817030668887,1
GRR1,0.086454715130426,-0.0122420783344116,0.101512611006902,0.584028634290647,1
PIF1,0.00658686347369184,-0.0028402794698575,0.102104518532678,0.135734770727789,1
HCR1,-0.00106580832948354,-0.00435528968585526,0.102737109023262,0.208519831796155,1
PUF4,0.00536951223167153,0.0022960034423128,0.103079284892376,0.110035979734234,1
ELF1,-0.00343184403916047,0.00480865813054445,0.103250900302148,0.230569793294712,1
YAP1,-0.00292603472378551,0.00241221816806184,0.103535585768952,0.115758677679579,1
TSL1,0.0152539734942855,-0.00641433656479133,0.105362964571606,0.309441233042895,1
FPK1,-0.00275096112854233,-0.00250795112173492,0.105723034521438,0.121113991384323,1
MKK2,-0.00457566869934865,0.00240155230581043,0.107355674652545,0.116517989800092,1
CAF130,0.00541949701776497,-0.00296077553092821,0.108078430107524,0.143945592690243,1
PSR1,-0.00638340186945507,0.00291431390646405,0.108415968491317,0.141822384723906,1
MMS1,0.00506047236939809,-0.00321708029940693,0.113167245592428,0.158655540472962,1
UBA3,0.00676871786631027,-0.00258897220770779,0.114195336183058,0.128043382471982,1
PFK1,0.00383830694218238,-0.00438951641573127,0.117096899412231,0.218830551905053,1
SIR4,-0.0146213526138549,0.00563176474501849,0.117158620129311,0.280807676896283,1
PTK2,0.00267410714557705,-0.00232662510334735,0.118997140675221,0.116590458590636,1
NCE102,-0.00914657747030214,0.00291894781200001,0.120475477652293,0.146858234763315,1
SWM2,-0.00634261631777292,0.00278660466298596,0.124488538368395,0.141713020518796,1
SBP1,0.000996778995046329,-0.0032948576872774,0.124656753970966,0.16763511434564,1
IES3,0.0145796506313984,-0.00403205166881083,0.127318828574754,0.206589448168136,1
SWA2,0.0605663704548347,-0.00856075714330178,0.128404705820047,0.439877440505488,1
MOT3,0.0187513516953841,-0.00360879429531341,0.130302406511933,0.186351650369514,1
YLR352W,0.00924992293731317,-0.0025398142053248,0.130669884576307,0.131276841030827,1
PSY2,-0.000452803686270024,-0.00274440184212698,0.130937156892205,0.141950009821529,1
STP1,0.0263564719743378,-0.00677746649574615,0.130967616672758,0.350581870519591,1
SNX4,0.0123693378679096,-0.00228925689038142,0.13201914751538,0.118740891053746,1
SIF2,-0.00342416055983562,-0.00332724313528773,0.135098572986184,0.173953661877015,1
LOC1,-0.0215526672353699,0.00503257385694442,0.135381307682973,0.263301685902766,1
VID28,-0.0136016514435045,0.00325243876709426,0.136927732983327,0.170839211992466,1
SLX5,0.0569366046705339,-0.00790635588357256,0.137546708366827,0.415947882361109,1
SIW14,0.00182024920339345,0.00286557704199079,0.138574456243387,0.151149848902414,1
NOP6,0.00447535511067317,-0.00254912161952265,0.140732588578163,0.13519296510557,1
RPL16A,0.00846107345912296,0.00318976774880723,0.142674062493325,0.169996488119016,1
LSM7,0.00369710257640411,0.00397173865216535,0.142711957424572,0.211691177976676,1
RME1,0.00117312543180547,0.00210421193246029,0.144071574344702,0.112534880922882,1
CHL1,0.00315123494069865,-0.00188690472598679,0.145793415524066,0.10134637852948,1
NCS6,0.00806563533397806,-0.0037631331270638,0.145998639093438,0.202222283450316,1
DCS1,-0.00241196484801455,-0.00271693355960419,0.14636577829434,0.146134847923679,1
YIL014C-A,0.000603604412491239,0.00192407969434987,0.146485053388504,0.103520457569264,1
CYC8,0.208635002956349,-0.0158549833588447,0.147595330925287,0.855385115251343,1
PDE2,-0.0103203506665935,-0.00407368633693304,0.148565418587188,0.220304168635912,1
MET18,0.00473988671755559,-0.00344639293521542,0.149858738785451,0.186974006489258,1
DOA1,-0.00909276047003455,0.00328749301319787,0.151089978787286,0.178892412792587,1
KIN3,0.0108233309344356,-0.00313749856720014,0.153830637059074,0.17187515477288,1
HNT3,-0.00335667898564303,0.00218412595277625,0.154431554927845,0.119823211289245,1
MIG1,0.00918803769597756,0.00264157815359933,0.15443432116428,0.144920443502368,1
RLF2,0.022356189720788,-0.00356836783692781,0.154765664101215,0.195922728985435,1
RIC1,0.0283986936809452,-0.00407597267973835,0.155988186112091,0.224456258890509,1
TEL1,0.000727616357811369,-0.00189689087732176,0.156239221262601,0.104521646391448,1
ARG80,-0.00702352782099328,0.00233117696902157,0.156309042743592,0.128473152315578,1
DDR48,-0.00424598971562109,0.00312712913843481,0.157051603835321,0.172647831709705,1
PPG1,0.000506440762592434,0.00199968019728863,0.164256478167411,0.112319723686445,1
CAR2,0.00195041386451193,-0.00285922406959754,0.16435626465769,0.160637305362313,1
SKY1,-0.00122062311802456,-0.00316075615825927,0.165724502227299,0.178154031097354,1
CLB1,-0.00699127714297366,0.00250388252295901,0.169173283415083,0.142280473998664,1
SAC3,0.00760257462702504,-0.00492380608928607,0.171746946486989,0.281479995729206,1
ASK10,0.00236248001000523,-0.00297470866134508,0.17273607630545,0.170448230898714,1
MSN5,0.00620652265404011,-0.00454505679890759,0.173547223669623,0.260919873378296,1
ERF2,0.00763633461814949,-0.00209042870364784,0.175800677077545,0.120635127697216,1
CKA2,0.0118097806747521,-0.0040914026742917,0.17608464452028,0.236263195794145,1
LEO1,-0.0107444122624081,0.003131031244486,0.176579115083393,0.181012214512141,1
MSI1,0.0130454543072979,-0.00356051760245485,0.177320552002002,0.206194660903995,1
MSN2,-0.0052959748851947,0.00248931113878719,0.177819103191035,0.144325480734525,1
STE12,-0.00973923404871934,0.00295476362565601,0.180282090568416,0.172285090166649,1
CAF40,0.0151473507785548,-0.00291464099744988,0.180630908215463,0.170081732630266,1
CSE2,0.0233133264235665,-0.00499540343560059,0.181360931848073,0.291991386981267,1
RPB9,-0.00909381499377352,-0.00709703736356643,0.181587927645077,0.41505187938205,1
HEL2,0.00761284087509772,-0.00231691361140644,0.182405985127237,0.135752611488785,1
RAD18,0.018416105193704,-0.00347077537134109,0.183171770435746,0.203715884133428,1
GPA2,0.0185976071598048,-0.00332959107804391,0.184705303572239,0.196113833848896,1
EST3,0.0296096343873975,0.00520040155677419,0.185206839130992,0.3066550332009,1
RRM3,-0.000934964878640574,-0.00230173468064679,0.186372524600457,0.13608786152593,1
YCK3,0.00356153087754838,-0.002314545579108,0.186401694357112,0.136854359548532,1
SRO9,0.011995618860766,-0.00369064524372907,0.188247488701601,0.21913557086189,1
REG1,0.0723106868709042,-0.00861900768487756,0.190370773295515,0.514223518513497,1
HSC82,-0.000590268419343709,-0.00242885455705679,0.191800716087868,0.14537699762298,1
HSE1,0.0236176288993444,-0.00521086494656416,0.191826417595074,0.311909878019791,1
PTP3,-0.00744225310856887,-0.00220020495493126,0.193181788169976,0.132100969218957,1
STE7,-0.00285521753309268,-0.00327061744725311,0.193532522804843,0.196523576641812,1
STP2,-0.00619814705819861,0.00207517138069507,0.194426044558547,0.124942279426432,1
TFB5,0.0113718389885276,-0.00390550745340845,0.197104940134355,0.236557026053667,1
RIM11,-0.0047023449995877,0.00231815236872208,0.198145841169071,0.140737209801611,1
RMI1,0.0217510339500435,-0.0030501883812115,0.198373893469269,0.185273960717371,1
ESC2,0.0246381681596221,-0.00381370452410847,0.19994098564761,0.232460842527701,1
CGI121,-0.00085064084773358,0.0032415417196634,0.200576913843841,0.197864652089028,1
ATG23,-0.00510991965755826,0.00241608697409138,0.203478438606011,0.148430427065361,1
INO4,0.0448266115898451,-0.00708933530475297,0.203960659016229,0.435992601658966,1
DEF1,0.0164728788894887,-0.00640129648063936,0.206668252098846,0.396038068168066,1
GTR1,0.00613669282021224,-0.00299711485463124,0.209477456695883,0.18657586091395,1
ABF2,-0.00491097465087064,-0.00180523589931454,0.209783226088654,0.112454668612128,1
HIR1,0.00401620316832389,-0.00192906444226528,0.212030952207618,0.120761750258699,1
OPI1,0.0418303219963705,-0.00590101774157312,0.212516360765062,0.369803285068462,1
PBP1,-0.00309118865753019,0.00213315825443012,0.214462081771084,0.134249545786769,1
IKI3,-0.00698695554212251,0.00286036721134891,0.214816503896007,0.180155414988692,1
IRA2,-0.0388374115853054,0.00578540124687634,0.215248760408476,0.364727362293748,1
CMK2,0.00538640418692024,-0.00181813825743713,0.217812516534688,0.115261787203248,1
NEW1,0.00488389690952663,-0.00261327182662712,0.219171273336082,0.166159295755644,1
RPS0B,-9.24711913093189e-05,0.0034653640351202,0.219426405724669,0.220459770697317,1
MET13,-0.000781303051598167,0.00161780906743956,0.219499237253839,0.10293815386408,1
OCA2,0.00259988527901521,0.00218512498055671,0.220192019857178,0.139244439828357,1
STM1,0.00162486586923252,-0.0024232748781578,0.220792933321946,0.154621473651479,1
BRE1,0.00618168552991157,-0.00460882821070596,0.221144620212365,0.294298783395311,1
YPL199C,-0.00822054531104801,-0.00269051280290283,0.22252403367993,0.172317492879521,1
UBC6,-0.000241043684333062,-0.00181643382752576,0.223028276371251,0.116462818026609,1
HTL1,-0.011670073543422,0.00401732487310292,0.223045049128296,0.257584905506974,1
HAP5,-0.0101194193726267,-0.0019830487209719,0.223665039661777,0.127320567769022,1
UBP3,-0.0093068386562797,0.00540121209690767,0.223983889286407,0.347020745813575,1
PCL8,-0.0164647034279117,0.00243661380461621,0.225065812938572,0.156915133324336,1
CIN8,0.012032253546365,-0.00267419204547766,0.225981913507908,0.172555326975026,1
SGS1,0.0188853468149402,-0.00291856603957596,0.226921329530781,0.188705240199721,1
EXO1,0.00272038158488768,-0.00236767480691793,0.227042137206895,0.153126171159167,1
