,lambda_1,int_1,beta_1,sigma_1,lambda_2,int_2,beta_2,sigma_2
ERG2,0.878751210437513,0,0.00025895315352096,0.119507458645375,0.121248789562487,0,-0.0266687209017609,0.64736798423856
EST1,0.914458447818013,0,0.000705346639384583,0.0709158754296923,0.0855415521819875,0,0.0137260575368577,0.364571068918796
EXO1,0.0624427518350609,0,-0.0398089406574426,0.536278135584677,0.937557248164939,0,0.000174006265637469,0.0758773174960539
FAB1,0.928792214011742,0,-0.00155968240434533,0.102597218437091,0.0712077859882586,0,-0.0369996966745583,0.529534306086338
FKS1,0.85601341043402,0,-0.000144260586157322,0.138552206510566,0.14398658956598,0,-0.0524433563788269,0.579621910411479
GEP3,0.205987826076734,0,-0.0656861649156116,0.679535714164377,0.794012173923266,0,0.0041577171195349,0.18368388999789
FIN1,0.961152679247025,0,-0.000432529782870633,0.0693149516283521,0.0388473207529753,0,0.00282837861959671,0.461921246616777
FRA2,0.0443633542398337,0,-0.0286046337404093,0.483038751471265,0.955636645760166,0,0.00220928736627137,0.0460964567278342
GAL80,0.0173993779997768,0,-0.0121877822000225,0.726845051682417,0.982600622000223,0,0.000568094177662011,0.065232510845557
FUS3,0.920003929475282,0,-0.00229595698874501,0.129722047806572,0.079996070524718,0,0.0173103220413853,0.634283568796873
GCR2,0.142426847882585,0,-0.0205047231585619,0.534791156581624,0.857573152117415,0,-0.00509822216174661,0.144385831604042
GPA2,0.883202528329693,0,0.000480306657312645,0.0989059175917201,0.116797471670306,0,-0.0331463619080841,0.507203722673882
GPR1,0.853319087596709,0,0.00322003838953629,0.137950571675075,0.146680912403291,0,-0.039272700061953,0.61351863073003
GPG1,0.0485361035277333,0,0.0391565299313814,0.387316960533671,0.951463896472267,0,-0.00185827549797408,0.105417771166728
GPH1,0.120480019069909,0,0.00463467678410966,0.378178606738837,0.879519980930091,0,0.00159796006605913,0.0826844163471481
GIS4,0.0677018452979707,0,-0.0120258569108594,0.484583918795038,0.932298154702029,0,-0.000213286104007124,0.084292442613477
GTR1,0.103970504881631,0,-0.0118548375177631,0.514389365180224,0.896029495118369,0,-0.00206061079903593,0.0904092411326376
GSY2,0.0562431887796611,0,0.00428925597143796,0.372096747502792,0.943756811220339,0,-0.00147510618106467,0.0853629663697413
GSY1,0.0309510359157324,0,0.0153494246714114,0.392362114165275,0.969048964084268,0,-0.00317535972953619,0.079672434453532
HAP4,0.947187530842731,0,-0.000573706132306434,0.103610898141841,0.0528124691572688,0,-0.0311429721529338,0.419054259543989
HCR1,0.1026175015317,0,0.000164034599964032,0.5018064268394,0.8973824984683,0,-0.0048510690190705,0.140173087082802
HFM1,0.883983504082919,0,-0.000658996603106994,0.110030863353808,0.116016495917081,0,-0.0363258153192568,0.446277177979304
HHT1,0.914818184393347,0,-0.00503156919291742,0.064179693655,0.0851818156066526,0,-0.0194816321046029,0.244867002060282
HNT3,0.104618268658421,0,0.00652594356664477,0.302355587610827,0.895381731341579,0,0.00170653563392379,0.0732204999438701
HOG1,0.0892295190398625,0,0.0250969496938517,0.422326997822176,0.910770480960138,0,-0.000777761379980347,0.0739028197694477
HHF1,0.0751418704036698,0,-0.0203642515730236,0.278534414538687,0.92485812959633,0,-0.00460179350629771,0.0766039850959238
HOS3,0.935097229444593,0,-0.00077502644552074,0.0728557600390669,0.0649027705554071,0,-0.0110200530228249,0.371319429744818
HOM2,0.0937991365471412,0,-0.00640773665932712,0.62531854245652,0.906200863452859,0,-0.000544534476015289,0.109722469385666
HUR1,0.861752236268345,0,0.00333374131686977,0.150003876403297,0.138247763731655,0,-0.0493434639351419,0.606167579118765
KKQ8,0.117399827476772,0,0.006308758157669,0.282522736512711,0.882600172523228,0,-0.000104812398244642,0.0677886333204392
INP52,0.0987219728591605,0,0.0314673735082368,0.4953587969513,0.90127802714084,0,-0.00233812864950129,0.116698372880928
IRC3,0.779129850496234,0,0.00159562298423591,0.14149647316013,0.220870149503766,0,-0.0501200689659827,0.498850189818578
IRE1,0.874720592766174,0,-0.00164823738905487,0.134957580491015,0.125279407233826,0,0.044028969964351,0.38075160613761
IRA2,0.75967815252238,0,0.00146479779101937,0.242818218442214,0.24032184747762,0,0.0195134358141108,0.610812581931279
IPK1,0.837549140533141,0,-0.00602944997603153,0.175330417560861,0.162450859466859,0,-0.0349166764595072,0.809315332677379
IRA1,0.137384082170869,0,0.0162886189695476,0.601343953934246,0.862615917829131,0,-0.00262239912123391,0.13111626179449
JJJ1,0.205314164495278,0,-0.0178556965491249,0.322560224749264,0.794685835504722,0,0.0013857609673799,0.0974950107131742
IST3,0.193359087332868,0,-0.0055480030958073,0.345755258899158,0.806640912667132,0,0.00437755787999009,0.113919718903327
IRS4,0.0877596054843379,0,-0.00684199187465199,0.406526857682152,0.912240394515662,0,-0.00068463723870752,0.0778709668174428
JNM1,0.901163205418106,0,-0.00191289531676482,0.0935279328310038,0.0988367945818944,0,-0.036378738839492,0.363025947170907
KAR3,0.077456355218243,0,-0.0307889839168477,0.791448313949135,0.922543644781757,0,-0.00338748904184899,0.136748580266753
RRD1,0.870238321523234,0,-0.00322927098811644,0.0802138402206664,0.129761678476766,0,0.0213221498183822,0.276083290327474
RRP8,0.919336319326536,0,0.0017304375964911,0.0987109234223942,0.080663680673464,0,-0.026512461541485,0.388274829666232
RSA1,0.11779681338301,0,0.0212566064164887,0.684054377269859,0.88220318661699,0,-0.00505894503978523,0.200471294532228
RRP6,0.0967044342245641,0,0.0290600971995544,0.73627781109786,0.903295565775436,0,-0.00214055999880019,0.179568561664553
RRM3,0.9204605057627,0,-0.00398918248324197,0.089861876352697,0.0795394942372996,0,0.0182921744527259,0.372728381069368
RPB9,0.205608892121841,0,-0.0301321575088512,0.761260228510467,0.794391107878159,0,-0.00143499980745354,0.25839106545878
RNY1,0.852600247514408,0,-0.00114866028618114,0.163151385395806,0.147399752485592,0,-0.0445828666498886,0.661785602319543
RPA49,0.0740260816333357,0,-0.0197569139267431,0.478499982537801,0.925973918366664,0,0.00320405782053384,0.138646515110309
RPA14,0.100859175547727,0,0.00176480595297488,0.353427730913922,0.899140824452273,0,-0.00149535917851751,0.0863038887364689
RPA12,0.138284233896594,0,-0.00532440366726141,0.354136753786603,0.861715766103406,0,-0.000654657632186197,0.106473691153061
RNR4,0.865159954022616,0,-0.0127995805027435,0.18909412950807,0.134840045977384,0,-0.0699809400040963,0.692731182777697
RMI1,0.925527027827489,0,-0.000345559299044571,0.101572560694772,0.0744729721725113,0,-0.0390338150557437,0.581101695259295
RIM1,0.86241938361319,0,0.00424807141901685,0.200000629699104,0.13758061638681,0,-0.0818617180966183,0.679840569676689
RGP1,0.18103118757044,0,-0.0596144668994557,0.749282007985003,0.81896881242956,0,0.000104755020533141,0.185338728484636
RGT2,0.926444384072156,0,0.00111207841976337,0.0738081243963655,0.0735556159278441,0,-0.0229271302950606,0.331811681215169
RIC1,0.124920249409263,0,-0.0405738481811064,0.553594860077082,0.875079750590737,0,0.000847225924368739,0.120541942643564
RIF1,0.0522904842892428,0,-0.00124233618945975,0.282444926874111,0.947709515710757,0,-0.000439670613739213,0.0492347506556992
REG1,0.850610563065137,0,0.00554057852803727,0.253120404463591,0.149389436934863,0,-0.0943979947338237,1.19658574108117
REV3,0.943908863439672,0,-0.000844396925950911,0.0567862603698749,0.0560911365603285,0,0.0124446253837377,0.273305407640582
RCE1,0.942835896326778,0,5.95421210947737e-05,0.101004984038943,0.0571641036732222,0,0.020766937752925,0.333292919626557
RAS2,0.0806442792974093,0,-0.0129573710401772,0.400210608687708,0.919355720702591,0,-0.000863871353204292,0.076566420366246
RAI1,0.849100373908747,0,-0.000336805028006921,0.175022695134918,0.150899626091253,0,-0.0226722092199448,0.616446121820416
RAM1,0.157314591019762,0,-0.0980507706891243,1.34374892790046,0.842685408980238,0,0.00154753842605951,0.35250225848393
RAD57,0.129271746561033,0,-0.0134854058763681,0.382328543923858,0.870728253438967,0,-0.00240839634951206,0.0941456390857606
RAD54,0.0937989368117528,0,-0.0179759393988742,0.426744643867034,0.906201063188247,0,-0.0022272850884459,0.11017886401374
RAD50,0.119053848715528,0,-0.0543949000111763,0.6754121095966,0.880946151284472,0,-0.00155544170686507,0.161503562326542
RAD55,0.909461182820626,0,-0.00202874522793215,0.0707840523784478,0.090538817179374,0,-0.0142017050278643,0.290063847780491
RAD52,0.848608079061615,0,-0.000991479919173947,0.142959885986771,0.151391920938385,0,-0.0384743430213993,0.5333453326193
RAD27,0.880881990151868,0,-0.00382149743330406,0.141890536943088,0.119118009848132,0,-0.0407912694226782,0.553423264620499
RAD1,0.096767302344045,0,0.0263357329663678,0.438312735226542,0.903232697655955,0,-0.00333108182653101,0.103792072986416
PUS7,0.0690288344205619,0,0.0136585597573916,0.379737227159224,0.930971165579438,0,0.00418009044541225,0.0894694141360429
PUF4,0.068876594606939,0,0.0234695739428869,0.306355479029491,0.931123405393061,0,0.000789508217651215,0.0778180150850955
PUS1,0.102030887039592,0,0.0197732380799085,0.526405515127254,0.897969112960408,0,-0.00222510431168601,0.108067949765692
PUF6,0.876479023940601,0,0.0023199464688037,0.108876605313543,0.123520976059399,0,-0.0332004331147277,0.426267111732318
PUS9,0.0241361120955375,0,0.058649069788281,0.354868243169431,0.975863887904463,0,0.000763284095774315,0.0607233424793295
PUF3,0.899613421160394,0,-0.00231125581026062,0.0636229470053624,0.100386578839606,0,0.0258801202969707,0.352479826961852
PTK2,0.0712479767362559,0,0.00551740281154963,0.337853189737349,0.928752023263744,0,-0.00291969402264189,0.0766808938151167
PTP3,0.0770937305004153,0,-0.0305937891775753,0.382443788706485,0.922906269499585,0,2.17133500355573e-05,0.0817254616991401
PSY2,0.0685349909525368,0,0.00142685273713378,0.410885150918056,0.931465009047463,0,-0.00303892870733896,0.09594726273299
PTC1,0.156504630201164,0,-0.0643676680264996,0.805417251320522,0.843495369798836,0,-0.00218506337426927,0.21008377678183
PPH3,0.122588838529314,0,0.0150895467393499,0.372154602321836,0.877411161470686,0,-0.00434585642835171,0.100987034190773
POL32,0.0896982570945446,0,-0.00847118326336651,0.301706374349047,0.910301742905455,0,-0.00396247994325863,0.0825339696888916
POG1,0.0565391985131047,0,-0.0261119995464834,0.589462905901834,0.943460801486895,0,-0.000787325778305752,0.0844131201072142
PMS1,0.954516324284138,0,-0.000566729789376442,0.0563433931905555,0.045483675715862,0,-0.0179380439456374,0.371379176954065
PLC1,0.877275957974516,0,-0.00958881610462217,0.189930346001586,0.122724042025484,0,-0.0504216553066187,0.908470875971078
PML39,0.0684148348346937,0,0.00401345917441444,0.316222724184985,0.931585165165306,0,0.00112763106009976,0.064373916192114
PIH1,0.134271210632858,0,-0.0205706525813004,0.360565780065281,0.865728789367142,0,0.00347461816966902,0.10458748562216
PIN4,0.10990692888783,0,-0.0339009440791705,0.359413699745308,0.89009307111217,0,-0.000341999367706936,0.0907241649358333
PIF1,0.142543636334392,0,0.00643986758980107,0.289196340486177,0.857456363665608,0,-0.00430021492262096,0.0872616446666498
PIB2,0.934683470665747,0,0.00126782076190199,0.0798311215954988,0.0653165293342533,0,-0.00697733847212567,0.383121844636498
PHO80,0.960757671956661,0,0.0016609608204456,0.0735312368784376,0.0392423280433387,0,-0.0179860670183504,0.464586424574159
PFK2,0.84608126105818,0,0.000575135454846498,0.229903793501947,0.15391873894182,0,-0.0667381324680409,0.845367356980465
PFK1,0.106074316492839,0,-0.0128219668439735,0.536222500979451,0.893925683507161,0,-0.00339616571751839,0.139456996755199
PHO85,0.0858689976552352,0,-0.0684758886913422,0.888517180483219,0.914131002344765,0,-0.0040001581968211,0.197887217648861
PFK27,0.156454085749384,0,-0.0378542615133068,0.654772300024851,0.843545914250616,0,-0.00129601460297013,0.180514348568917
PHO13,0.962739352984167,0,0.000819673346952088,0.0595781514160599,0.0372606470158335,0,0.0456721859616389,0.546455880141009
PET112,0.0936977828770384,0,0.0276242010014364,0.285289160991,0.906302217122962,0,-0.00162656701221687,0.0584024170886948
PDE2,0.894465859183686,0,-0.00298908466608972,0.114030854762609,0.105534140816314,0,-0.0138922056380756,0.592041237509345
PCL8,0.100085743690319,0,0.025583671583081,0.441243824738809,0.899914256309681,0,0.000101244114891872,0.0770971250469419
PCL6,0.970399119522187,0,-0.000434847037509896,0.0942844410158947,0.0296008804778125,0,-0.0675751237566114,0.717743627552475
PBS2,0.901485915977411,0,0.000207118135115753,0.0797021152409584,0.0985140840225894,0,0.00540465661781417,0.451279413966874
PBP1,0.0473869130885404,0,0.0386995117005943,0.411700032929315,0.95261308691146,0,0.000344878128598147,0.102109250656581
PAT1,0.0625164430523938,0,-0.107073184497842,0.764082782155947,0.937483556947606,0,0.0057552526791427,0.219237849318121
PAP2,0.820101236496469,0,-0.000737633070995217,0.118216293086858,0.179898763503531,0,0.00323163993163775,0.472297432227038
OPI1,0.135637615816599,0,-0.0666731716121476,0.867745649206683,0.864362384183401,0,0.0032504456537438,0.203493875777592
OCA6,0.926962488318985,0,0.00113179844009766,0.088397331417331,0.0730375116810152,0,0.0131925272061594,0.407432128413459
OCA4,0.912123381127937,0,0.00282277320239545,0.0841352965782266,0.0878766188720633,0,-0.00851244855079874,0.372294673149153
OCA5,0.900910889006157,0,0.00138852957780418,0.0824981873146274,0.0990891109938428,0,0.00236691398624279,0.334637722264477
OCA2,0.0774450373676419,0,0.000980995261285897,0.390312908438299,0.922554962632358,0,0.00228221276530028,0.0907286346933183
OCA1,0.937445826263164,0,0.000853065800504438,0.107993556027865,0.0625541737368356,0,0.0130492179629861,0.435452660201596
NUP60,0.129539579301839,0,-0.0446856723802076,0.450760595238774,0.870460420698161,0,-0.000794895319933657,0.142549842011032
NUP170,0.0957681588855975,0,0.0150147175065745,0.643713426830198,0.904231841114402,0,-0.000689553407325028,0.138091323189818
NUP188,0.959316477858663,0,-0.000329911403630684,0.0746393038568881,0.0406835221413366,0,-0.013139506025081,0.465018008187782
NUP120,0.899982145422013,0,0.0011833795596219,0.136198012019432,0.100017854577987,0,-0.026338899260049,0.490819655632724
NTH2,0.0680007092590929,0,0.0218904016505045,0.621865928460871,0.931999290740907,0,0.000854116209926217,0.105846347665093
NPR2,0.938817229957812,0,0.00101430486966577,0.0648133445747838,0.0611827700421884,0,-0.0443276957530555,0.351789462938356
NRP1,0.899682716380435,0,-0.000935841079721606,0.0636740950193345,0.100317283619565,0,0.00147536306429561,0.276679402961742
NOP6,0.0607769312761748,0,0.00401369465448381,0.431313983032402,0.939223068723825,0,-0.00296087265684621,0.0862382341978618
NPT1,0.924841150243077,0,-0.00531933211281865,0.0744386098518545,0.0751588497569234,0,-0.0484519735022672,0.636182650922496
NMD2,0.783539962839287,0,-0.00391637003189751,0.163404047320395,0.216460037160713,0,-0.0305280056972917,0.771636684470216
NPL3,0.83614145800508,0,-0.00187821723998194,0.284189945469701,0.16385854199492,0,-0.068203929728278,0.926187292766807
NOP12,0.909866959359096,0,0.000276396727481169,0.107580205568652,0.090133040640904,0,-0.00883856508818328,0.4383113140042
NKP2,0.167117775904041,0,0.00268341586697468,0.316099772012777,0.832882224095959,0,-0.00319966269386299,0.115525921517178
NEW1,0.0743014955987456,0,-0.00169983559089558,0.472939109202353,0.925698504401254,0,-0.00268908034818231,0.109053655011019
NBP2,0.0941968936684549,0,-0.0555105828402437,0.567037306957126,0.905803106331545,0,-0.00119795632990399,0.135168939405786
NAM7,0.217179036776743,0,-0.0294899858504377,0.767730628303818,0.782820963223257,0,-0.00444458932305435,0.160406652232653
MUD2,0.127567760474868,0,0.00967792953933357,0.295822004426267,0.872432239525132,0,-0.00185700420568524,0.0802341419131433
NCE102,0.0636461238918155,0,0.0226186735530528,0.524291577580136,0.936353876108185,0,0.00157161046843469,0.066379350853941
MUM2,0.0593685693562435,0,-0.0118839649328666,0.530969981767292,0.940631430643756,0,0.00164824184982694,0.0756455176137736
MUS81,0.0411669399793784,0,-0.014426260081298,0.379981353234487,0.958833060020622,0,-5.2382827593899e-05,0.0633524439926108
MSG5,0.0465398033893428,0,-0.0438790681395783,0.39950584512977,0.953460196610657,0,0.000188072787402013,0.112793236120502
MSN5,0.874170142720049,0,-0.0040426008192642,0.136680568540462,0.125829857279951,0,-0.00804412335651535,0.641451262605072
MSH2,0.930237977741588,0,-0.00625354599761641,0.109238007134939,0.0697620222584118,0,0.00776275391307466,0.628639085313813
MSH1,0.81890805588868,0,-0.00488104643369349,0.102008034889396,0.18109194411132,0,0.00186466700158984,0.341283413401894
MRT4,0.108533592327059,0,-0.00719639563500908,0.455754052106177,0.891466407672941,0,0.0017077421054535,0.109656698605937
MSC1,0.0914440674701541,0,-0.00967192533661957,0.37825274645368,0.908555932529846,0,-0.000556488374163415,0.0974832427620572
MRN1,0.116254588570926,0,-0.00802928028906544,0.523870386836157,0.883745411429074,0,0.000104852688374581,0.104754315455404
MRC1,0.892106075989557,0,-0.0204746631425118,0.0879262887835357,0.107893924010443,0,-0.0125362926841246,0.372324146722721
MMS4,0.956910348681179,0,-0.00163279277420337,0.0564596697037202,0.0430896513188213,0,-0.0246954209152123,0.284168832977271
MRE11,0.864044182221629,0,-0.00241068309926497,0.113223400172228,0.135955817778371,0,-0.0253599582251028,0.41806441359149
MMS22,0.830174422064459,0,-0.00319951732303804,0.170834933450767,0.169825577935541,0,-0.0402968010233995,0.601278224081585
MMS1,0.899333711329529,0,-0.00354415917656072,0.109280942351507,0.100666288670471,0,-0.000330103399365487,0.378897525944654
MKS1,0.0690457429922587,0,-0.0177045544856261,0.625685873036866,0.930954257007741,0,0.00163002064114469,0.103824836868993
MET18,0.201250396733048,0,-0.0200423678125666,0.363775750357963,0.798749603266952,0,0.000667394757069935,0.101788306112412
MFT1,0.911659477067783,0,-0.000344312729220966,0.100942309676921,0.0883405229322174,0,-0.0207166673086322,0.455499628677191
MET13,0.979538386962856,0,0.000957536730056898,0.0718434200063092,0.0204616130371445,0,0.0308240937077113,0.519396874776912
MGA2,0.852955693353464,0,0.00345375624703473,0.177391051538081,0.147044306646536,0,-0.0522282498290213,0.675359256514122
MEI5,0.105199839561158,0,0.0230921547296978,0.396807881456169,0.894800160438842,0,-0.00224303507166492,0.0783410055083556
SRB8,0.883013959773692,0,-0.000171537218561324,0.195026790585025,0.116986040226308,0,-0.0960711104535245,1.07581442102298
SSN2,0.118855883462068,0,-0.1077127754559,1.04075960253529,0.881144116537932,0,-0.000844320264036862,0.186906855571168
MDS3,0.139070882625743,0,0.0124717179160149,0.603388451601949,0.860929117374257,0,-0.00200999995429351,0.133988921118642
MCM21,0.957340691163352,0,-0.00145518269739619,0.0721334887884759,0.0426593088366485,0,-0.0232144350082111,0.367404933671499
MAK31,0.948250909148548,0,0.00104140251042852,0.0620293526544224,0.0517490908514518,0,0.0128026432042859,0.358302130370184
MCK1,0.888689436957447,0,-0.00307340889055997,0.162817012306089,0.111310563042553,0,0.0144476735219504,0.559666356562701
LTV1,0.13535115580362,0,0.00599350368574343,0.485948335165211,0.86464884419638,0,-0.000423615120434205,0.151142785790004
LOC1,0.954370743752702,0,0.000414643037843817,0.10551271720526,0.0456292562472976,0,0.114500903189823,1.13374242016031
LSM7,0.0822412740360158,0,2.36802152654846e-05,0.465833378199645,0.917758725963984,0,0.00432026859183131,0.171431189834541
LSM6,0.891381452532349,0,0.00401829973489869,0.210372722178518,0.108618547467651,0,-0.0594839394301467,0.51494131434943
LOS1,0.938547989127013,0,-0.00040269197121618,0.0638777145184289,0.0614520108729869,0,0.0116300018007039,0.347406303675871
LSM1,0.924557993303485,0,0.00463361255864373,0.184575048957212,0.0754420066965147,0,-0.0480651935769213,0.570647226940273
