,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
SNF2,-3.89231e-03,7.69010e-01,-6.01530e-04,7.69010e-01,-1.01312e-01,3.98349e-02,-1.14387e-01,3.98349e-02, 0.00000000, 0.0000000,-1.56705e-03,-1.99165e-02,0.9017143,0.0982857
SNF11, 2.15115e-02,9.93028e-02, 1.79266e-03,9.93028e-02,-8.35944e-02,2.01644e-01,-4.09663e-02,2.01644e-01, 0.00000000, 0.0000000, 1.53533e-03,-3.84726e-03,0.9354576,0.0645424
SNF12,-1.11339e-01,9.95833e-03,-1.21379e-01,9.95833e-03,-1.78574e-02,1.82600e-01,-2.85464e-03,1.82600e-01, 0.00000000, 0.0000000,-6.69044e-02,-2.94619e-03,0.1311763,0.8688237
SNF5,-9.40236e-02,5.16455e-02,-9.32891e-02,5.16455e-02,-3.41486e-02,1.00716e-02,-6.40586e-03,1.00716e-02, 0.00000000, 0.0000000,-4.19752e-02,-6.58152e-03,0.1176348,0.8823652
SIR3, 6.30619e-02,2.60678e-01, 7.15638e-02,2.60678e-01,-4.03502e-02,2.13974e-03,-4.26596e-03,2.13974e-03, 0.00000000, 0.0000000, 6.39010e-02,-3.84174e-03,0.0667924,0.9332076
SNF6,-7.40940e-03,5.85848e-01,-1.03365e-03,5.85848e-01,-6.63982e-02,7.98167e-02,-5.54619e-02,7.98167e-02, 0.00000000, 0.0000000,-1.72178e-03,-3.91802e-02,0.8298571,0.1701429
SIR1, 1.50195e-01,2.56189e-01, 1.33174e-01,2.56189e-01,-4.47998e-03,7.27590e-01,-3.30316e-04,7.27590e-01, 0.00000000, 0.0000000, 9.01851e-02,-4.34171e-04,0.0152272,0.9847728
SIF2,-2.45847e-01,1.04347e-04,-1.40657e-01,1.04347e-04, 1.48170e-02,2.56643e-01, 1.95117e-03,2.56643e-01, 1.13704306, 0.0000000,-5.81291e-02, 2.04888e-03,0.0903911,0.9096089
SIN3,-2.31647e-02,8.48450e-02,-4.63518e-03,8.48450e-02,-6.84874e-02,1.01773e-01,-6.88669e-02,1.01773e-01, 0.00000000, 0.0000000,-4.82391e-03,-4.35960e-02,0.8325830,0.1674170
SGF29,-1.41044e-02,7.78542e-01,-8.68764e-03,7.78542e-01,-3.04620e-02,2.13763e-02,-4.14587e-03,2.13763e-02, 0.00000000, 0.0000000,-2.63343e-02,-4.48078e-03,0.1214306,0.8785694
SGF73,-2.84835e-02,3.20331e-02,-4.93151e-03,3.20331e-02, 1.61851e-02,7.34651e-01, 1.34954e-02,7.34651e-01, 0.00000000, 0.0000000,-4.42809e-03,-1.04428e-03,0.8623227,0.1376773
SET3, 4.17644e-02,1.42196e-03, 5.02793e-03,1.42196e-03,-1.51283e-01,1.20121e-02,-7.10929e-02,1.20121e-02, 0.00263506, 0.0000000, 4.95964e-03,-2.60792e-02,0.8928958,0.1071042
SET2, 5.82522e-02,1.72509e-01, 3.21689e-02,1.72509e-01,-2.81696e-02,3.57416e-02,-3.80524e-03,3.57416e-02, 0.00000000, 0.0000000, 1.12798e-02,-3.15773e-03,0.1569880,0.8430120
SAS4,-1.58095e-01,4.71439e-03,-1.15961e-01,4.71439e-03,-1.06199e-02,4.19165e-01,-1.13680e-03,4.19165e-01, 0.00000000, 0.0000000,-8.08289e-02,-8.58153e-04,0.0816713,0.9183287
SDS3,-3.55595e-02,3.80632e-01,-3.13289e-02,3.80632e-01,-1.88169e-02,1.63039e-01,-3.45695e-03,1.63039e-01, 0.00000000, 0.0000000,-2.35417e-02,-3.73712e-03,0.1766880,0.8233120
SAS5, 1.39983e-02,2.79071e-01, 1.05668e-03,2.79071e-01,-2.25815e-01,1.10082e-02,-1.46898e-01,1.10082e-02, 0.00000000, 0.0000000, 1.23077e-03,-1.27512e-01,0.9697629,0.0302371
SAS2,-1.35888e-02,2.98107e-01,-1.13005e-03,2.98107e-01,-1.97143e-01,2.06139e-03,-1.80279e-01,2.06139e-03, 0.00000000, 0.0000000,-1.25146e-03,-1.07253e-01,0.9467020,0.0532980
RTT106,-2.81950e-02,3.28391e-02,-3.59011e-03,3.28391e-02,-5.33227e-03,9.17702e-01,-2.72595e-03,9.17702e-01, 0.00000000, 0.0000000,-4.14442e-03,-3.58990e-02,0.8850374,0.1149626
RXT3, 7.60019e-02,1.63910e-01, 3.34397e-02,1.63910e-01,-3.33350e-02,1.13318e-02,-4.41080e-03,1.13318e-02, 0.00000000, 0.0000000, 7.23925e-03,-4.24147e-03,0.1408789,0.8591211
RTT109,-8.25289e-02,1.53057e-02,-6.88660e-02,1.53057e-02,-8.79683e-02,1.75800e-10,-1.47738e-02,1.75800e-10, 0.00000000, 6.9105033,-6.35134e-02,-1.53034e-02,0.2148696,0.7851304
SAP30,-5.98859e-04,9.64609e-01,-1.01258e-04,9.64609e-01,-5.43838e-02,1.78004e-01,-4.33325e-02,1.78004e-01, 0.00000000, 0.0000000, 3.13360e-04,-2.74351e-02,0.8210579,0.1789421
RXT2,-2.63659e-02,5.17795e-01,-1.84578e-02,5.17795e-01, 1.97173e-02,1.43608e-01, 3.04991e-03,1.43608e-01, 0.00000000, 0.0000000,-1.07182e-02, 2.77990e-03,0.1777849,0.8222151
RTG2, 1.66396e-02,7.73357e-01, 1.31775e-02,7.73357e-01, 1.99683e-02,1.28205e-01, 1.76312e-03,1.28205e-01, 0.00000000, 0.0000000, 1.29950e-02, 1.48706e-03,0.0714638,0.9285362
RTF1, 2.73045e-02,3.56901e-02, 6.58953e-03,3.56901e-02,-1.88753e-01,9.29152e-03,-2.14350e-01,9.29152e-03, 0.00000000, 0.0000000, 5.72585e-03,-8.79464e-02,0.9242477,0.0757523
RCO1,-7.57662e-03,5.68750e-01,-7.62242e-04,5.68750e-01, 2.11415e-02,6.55756e-01, 9.58438e-03,6.55756e-01, 0.00000000, 0.0000000,-5.52224e-04, 2.99608e-04,0.8723440,0.1276560
RSC2,-1.95368e-03,8.82631e-01,-4.55446e-04,8.82631e-01,-7.34408e-02,1.45644e-01,-7.37584e-02,1.45644e-01, 0.00000000, 0.0000000, 1.88893e-04,-9.04491e-02,0.8778741,0.1221259
RSC1,-4.05810e-02,3.49299e-01,-2.84248e-02,3.49299e-01, 3.76324e-03,7.78807e-01, 5.82499e-04,7.78807e-01, 0.00000000, 0.0000000,-1.90181e-02, 1.35058e-03,0.1683297,0.8316703
RPD3,-8.47554e-02,4.34728e-02,-9.13856e-02,4.34728e-02,-2.58606e-02,5.42862e-02,-5.57392e-03,5.42862e-02, 0.00000000, 0.0000000,-6.33219e-02,-4.89370e-03,0.1598247,0.8401753
RFM1,-3.77750e-02,4.06539e-03,-3.47481e-03,4.06539e-03, 1.82529e-02,7.43434e-01, 1.73448e-02,7.43434e-01, 0.00000000, 0.0000000,-3.29907e-03,-7.41119e-02,0.9342533,0.0657467
NOT3,-8.84328e-02,1.13239e-01,-4.04734e-02,1.13239e-01, 2.35524e-02,7.32552e-02, 3.11071e-03,7.32552e-02, 0.00000000, 0.0000000,-2.22877e-02, 2.85800e-03,0.1185089,0.8814911
MSI1,-3.00732e-02,2.30452e-02,-3.44344e-03,2.30452e-02, 9.29542e-02,6.46140e-02, 6.19563e-02,6.46140e-02, 0.00000000, 0.0000000,-3.34316e-03,-5.56097e-03,0.8936658,0.1063342
PHO23, 2.78842e-02,3.83169e-02, 4.38605e-03,3.83169e-02,-4.15041e-02,3.15035e-01,-3.06051e-02,3.15035e-01, 0.00000000, 0.0000000, 4.17898e-03,-1.55391e-02,0.8277136,0.1722864
RAD6, 1.40651e-02,2.85133e-01, 3.96700e-03,2.85133e-01,-2.43623e-02,6.59250e-01,-2.64979e-02,6.59250e-01, 0.00000000, 0.0000000, 3.40189e-03,-1.89468e-02,0.8560160,0.1439840
NGG1,-8.08875e-02,8.61923e-02,-8.87794e-02,8.61923e-02,-8.43741e-03,5.25808e-01,-1.78727e-03,5.25808e-01, 0.00000000, 0.0000000,-4.31271e-02,-3.51733e-03,0.1336026,0.8663974
PAF1,-1.02228e-01,4.88127e-02,-1.37721e-01,4.88127e-02, 3.01384e-02,2.24660e-02, 1.01094e-02,2.24660e-02, 0.00000000, 0.0000000,-3.74437e-02, 1.03135e-02,0.1639895,0.8360105
NPL6,-9.14583e-02,1.11676e-02,-8.13999e-02,1.11676e-02, 4.66913e-02,6.43918e-04, 9.56721e-03,6.43918e-04, 0.00000000, 0.3466925,-4.86461e-02, 8.92807e-03,0.2205570,0.7794430
SOH1, 4.65996e-02,3.91435e-04, 7.53986e-03,3.91435e-04,-4.89143e-02,3.82403e-01,-3.50578e-02,3.82403e-01, 0.56286348, 0.0000000, 7.85928e-03,-1.28054e-03,0.8943683,0.1056317
NUT1,-4.46585e-03,7.34559e-01,-4.89199e-04,7.34559e-01, 7.07422e-03,8.96595e-01, 4.38259e-03,8.96595e-01, 0.00000000, 0.0000000,-7.21971e-04,-1.93485e-02,0.9082550,0.0917450
CSE2, 2.41295e-02,6.97648e-02, 3.81043e-03,6.97648e-02,-7.62618e-02,1.03104e-01,-6.66478e-02,1.03104e-01, 0.00000000, 0.0000000, 3.16073e-03,-6.79524e-02,0.8785795,0.1214205
PGD1,-2.90013e-02,3.21512e-02,-4.51252e-03,3.21512e-02, 8.28381e-03,8.33175e-01, 6.80788e-03,8.33175e-01, 0.00000000, 0.0000000,-4.73399e-03, 1.28722e-02,0.8291898,0.1708102
SRB5, 3.75858e-03,9.43345e-01, 3.11788e-03,9.43345e-01, 2.87121e-02,2.95095e-02, 5.34127e-03,2.95095e-02, 0.00000000, 0.0000000, 1.52499e-02, 6.77377e-03,0.1161334,0.8838666
MED2,-1.66964e-02,2.14245e-01,-3.37007e-03,2.14245e-01, 7.49685e-03,8.58009e-01, 7.42534e-03,8.58009e-01, 0.00000000, 0.0000000,-4.42893e-03, 1.53212e-02,0.8394023,0.1605977
SRB2, 5.10093e-02,1.06316e-04, 1.10602e-02,1.06316e-04,-5.53620e-02,3.09469e-01,-5.15267e-02,3.09469e-01, 1.12892397, 0.0000000, 1.11286e-02, 2.18315e-02,0.8911475,0.1088525
GAL11,-1.28362e-02,3.41251e-01,-3.19239e-03,3.41251e-01, 3.13800e-02,4.39903e-01, 3.66255e-02,4.39903e-01, 0.00000000, 0.0000000,-3.85819e-03, 8.89330e-03,0.8208943,0.1791057
SIN4,-4.18545e-02,1.72338e-03,-6.82222e-03,1.72338e-03,-2.50398e-02,5.75674e-01,-2.32018e-02,5.75674e-01, 0.00000000, 0.0000000,-7.19792e-03,-2.15535e-02,0.8663970,0.1336030
MED1, 1.53201e-02,2.48993e-01, 2.13230e-03,2.48993e-01,-3.40847e-02,4.74250e-01,-3.00375e-02,4.74250e-01, 0.00000000, 0.0000000, 2.03689e-03,-4.28144e-02,0.8855428,0.1144572
LGE1,-9.24726e-02,1.76725e-01,-8.83575e-02,1.76725e-01, 5.70710e-03,6.61398e-01, 1.17052e-03,6.61398e-01, 0.00000000, 0.0000000,-3.66563e-02, 1.04602e-03,0.0861067,0.9138933
JHD2,-3.48836e-03,9.44414e-01,-1.26902e-03,9.44414e-01, 7.99477e-03,5.46021e-01, 5.99420e-04,5.46021e-01, 0.00000000, 0.0000000,-1.18910e-04, 4.05102e-04,0.1200058,0.8799942
LEO1, 6.57816e-02,5.09321e-07, 8.25694e-03,5.09321e-07,-2.00225e-01,6.45276e-04,-1.21380e-01,6.45276e-04, 3.44853133, 0.3457772, 7.35269e-03,-3.81790e-02,0.9068622,0.0931378
LDB7, 2.91821e-02,2.77320e-02, 3.40591e-03,2.77320e-02,-3.47837e-02,4.78176e-01,-1.65672e-02,4.78176e-01, 0.00000000, 0.0000000, 2.87309e-03, 1.77238e-02,0.8722422,0.1277578
ITC1,-4.76229e-02,3.15083e-01,-3.05062e-02,3.15083e-01, 2.00656e-02,1.31194e-01, 1.86984e-03,1.31194e-01, 0.00000000, 0.0000000,-1.80679e-02, 1.39974e-03,0.1110335,0.8889665
HST1,-5.70089e-02,1.29636e-05,-6.27622e-03,1.29636e-05, 3.61050e-02,5.59943e-01, 3.57241e-02,5.59943e-01, 2.04279859, 0.0000000,-6.05343e-03,-6.12984e-02,0.9430854,0.0569146
IOC4, 1.62632e-02,2.11968e-01, 1.41715e-03,2.11968e-01,-7.36000e-03,9.14558e-01,-4.02742e-03,9.14558e-01, 0.00000000, 0.0000000, 1.48716e-03,-5.09143e-03,0.9397870,0.0602130
ISW1,-4.10776e-02,3.68686e-01,-2.09190e-02,3.68686e-01,-1.76041e-02,1.86756e-01,-1.72492e-03,1.86756e-01, 0.00000000, 0.0000000,-3.12463e-02,-1.75299e-03,0.1196859,0.8803141
HTZ1,-5.72840e-02,2.30463e-01,-3.61487e-02,2.30463e-01, 1.46737e-02,2.69400e-01, 1.99219e-03,2.69400e-01, 0.00000000, 0.0000000,-8.14846e-03, 2.27229e-03,0.1329139,0.8670861
IOC2,-6.31996e-02,3.28570e-01,-3.15750e-02,3.28570e-01,-2.67412e-03,8.37754e-01,-2.63756e-04,8.37754e-01, 0.00000000, 0.0000000,-2.39213e-02, 1.75835e-05,0.0757639,0.9242361
HTL1,-8.38227e-03,8.30197e-01,-5.79729e-03,8.30197e-01, 3.05390e-02,2.41631e-02, 4.38686e-03,2.41631e-02, 0.00000000, 0.0000000, 3.56117e-03, 4.11757e-03,0.1867482,0.8132518
IES5,-1.73213e-02,1.92987e-01,-1.45371e-03,1.92987e-01,-3.50299e-02,4.55044e-01,-1.48920e-02,4.55044e-01, 0.00000000, 0.0000000,-1.49303e-03,-2.12959e-02,0.8706113,0.1293887
HOS4,-1.80419e-01,3.98687e-03,-6.65298e-02,3.98687e-03,-7.14086e-02,4.51592e-08,-5.53467e-03,4.51592e-08, 0.00000000, 4.5007766,-2.08798e-02,-5.55569e-03,0.0789955,0.9210045
IES3,-7.53351e-03,5.69322e-01,-9.15555e-04,5.69322e-01,-4.31931e-02,3.89527e-01,-2.65359e-02,3.89527e-01, 0.00000000, 0.0000000,-5.46111e-04,-3.14357e-02,0.8884259,0.1115741
IOC3, 1.18437e-01,7.42922e-02, 6.39033e-02,7.42922e-02,-3.92467e-02,2.61468e-03,-3.26069e-03,2.61468e-03, 0.00000000, 0.0000000, 1.84303e-02,-3.18667e-03,0.0594350,0.9405650
IES2, 6.15468e-03,6.41801e-01, 1.02520e-03,6.41801e-01,-6.02142e-02,2.34262e-01,-4.65559e-02,2.34262e-01, 0.00000000, 0.0000000, 8.59020e-04,-3.77175e-02,0.8844877,0.1155123
HOS2,-1.42722e-01,5.39359e-02,-6.02845e-02,5.39359e-02, 2.68121e-02,3.90558e-02, 2.92054e-03,3.90558e-02, 0.00000000, 0.0000000,-1.97158e-02, 3.19496e-03,0.0786520,0.9213480
IES6, 1.40221e-02,2.93383e-01, 3.63121e-03,2.93383e-01,-5.36645e-02,2.35727e-01,-5.90857e-02,2.35727e-01, 0.00000000, 0.0000000, 4.25900e-03,-3.57070e-02,0.8344213,0.1655787
IES1,-1.49620e-02,2.55198e-01,-1.15676e-03,2.55198e-01,-6.77275e-02,2.25515e-01,-2.77604e-02,2.25515e-01, 0.00000000, 0.0000000,-1.20053e-03,-1.78028e-02,0.9036124,0.0963876
HPC2,-2.94494e-02,2.23039e-02,-3.40312e-03,2.23039e-02,-9.88270e-02,3.65311e-01,-4.87947e-02,3.65311e-01, 0.00000000, 0.0000000,-3.35291e-03,-2.97937e-02,0.9601492,0.0398508
HIR1,-2.68072e-02,4.09045e-02,-2.28407e-03,4.09045e-02, 2.60858e-02,6.58212e-01, 1.06959e-02,6.58212e-01, 0.00000000, 0.0000000,-1.99905e-03,-1.26108e-03,0.9021627,0.0978373
HIR2,-4.05455e-02,1.90666e-03,-2.86370e-03,1.90666e-03,-8.03042e-02,2.08497e-01,-2.61959e-02,2.08497e-01, 0.00000000, 0.0000000,-2.71674e-03,-2.66718e-02,0.9198466,0.0801534
HDA2,-2.40709e-03,9.62501e-01,-1.07895e-03,9.62501e-01, 3.10608e-02,1.87827e-02, 3.01614e-03,1.87827e-02, 0.00000000, 0.0000000,-1.91665e-02, 2.89452e-03,0.1037667,0.8962333
HDA1,-1.98948e-02,6.94930e-01,-9.40140e-03,6.94930e-01, 3.07278e-02,2.01688e-02, 2.81240e-03,2.01688e-02, 0.00000000, 0.0000000,-1.16757e-02, 2.80564e-03,0.0985966,0.9014034
HDA3, 2.54697e-02,5.37251e-02, 2.56607e-03,5.37251e-02,-4.57710e-02,3.79996e-01,-2.13252e-02,3.79996e-01, 0.00000000, 0.0000000, 2.43901e-03,-2.55164e-02,0.9009728,0.0990272
ESC8,-4.21274e-03,7.44935e-01,-3.25160e-04,7.44935e-01, 4.47191e-02,5.98508e-01, 2.17115e-02,5.98508e-01, 0.00000000, 0.0000000,-1.49275e-04, 1.44797e-02,0.9557710,0.0442290
GCN5,-8.88339e-02,8.29211e-02,-9.50637e-02,8.29211e-02,-2.48451e-02,6.01415e-02,-5.56314e-03,6.01415e-02, 0.00000000, 0.0000000,-4.02977e-02,-6.39155e-03,0.1218202,0.8781798
DPB4,-4.84536e-02,2.45210e-04,-4.08043e-03,2.45210e-04,-1.79843e-03,9.72015e-01,-8.30104e-04,9.72015e-01, 0.76598519, 0.0000000,-4.13397e-03,-8.93007e-03,0.8948835,0.1051165
CHD1,-5.12721e-02,1.22918e-04,-5.56988e-03,1.22918e-04, 6.28405e-02,1.59770e-01, 2.78001e-02,1.59770e-01, 1.06590704, 0.0000000,-5.80523e-03, 4.66753e-03,0.8271411,0.1728589
BUR2, 5.95313e-03,6.53089e-01, 1.78067e-03,6.53089e-01,-1.42680e-01,4.05753e-03,-1.52143e-01,4.05753e-03, 0.00000000, 0.0000000, 2.81859e-03,-7.15112e-02,0.8332001,0.1667999
CDC73, 3.70283e-02,5.31061e-03, 8.51584e-03,5.31061e-03,-6.82180e-02,1.52666e-01,-6.75707e-02,1.52666e-01, 0.00000000, 0.0000000, 9.85419e-03,-2.42860e-02,0.8529957,0.1470043
EAF6, 2.99828e-02,2.06059e-02, 3.04317e-03,2.06059e-02,-8.85496e-02,2.89540e-01,-4.86401e-02,2.89540e-01, 0.00000000, 0.0000000, 2.82703e-03,-3.87736e-02,0.9521707,0.0478293
DEP1,-6.33859e-02,1.19062e-01,-5.62282e-02,1.19062e-01,-1.86384e-02,1.66913e-01,-3.34945e-03,1.66913e-01, 0.00000000, 0.0000000,-3.16718e-02,-3.82529e-03,0.1703362,0.8296638
CAF130,-2.85940e-02,6.62092e-01,-1.48149e-02,6.62092e-01,-1.18954e-02,3.62140e-01,-1.18238e-03,3.62140e-01, 0.00000000, 0.0000000,-2.84470e-02,-1.05839e-03,0.0733660,0.9266340
EAF1,-8.82331e-02,2.16763e-02,-6.40448e-02,2.16763e-02, 4.77789e-02,4.28369e-04, 8.71911e-03,4.28369e-04, 0.00000000, 0.5237043,-2.40955e-02, 7.76821e-03,0.2246538,0.7753462
CTR9,-4.21892e-02,4.25487e-01,-5.81811e-02,4.25487e-01, 2.34639e-02,7.52744e-02, 8.18648e-03,7.52744e-02, 0.00000000, 0.0000000,-1.43011e-02, 8.29712e-03,0.1491860,0.8508140
EAF5,-7.23913e-02,2.06659e-01,-4.04514e-02,2.06659e-01,-2.55719e-02,5.14669e-02,-3.09815e-03,5.14669e-02, 0.00000000, 0.0000000,-2.15757e-02,-3.19975e-03,0.1068980,0.8931020
EAF7,-3.60375e-02,6.28106e-03,-4.95426e-03,6.28106e-03,-9.72086e-02,6.61814e-02,-6.79006e-02,6.61814e-02, 0.00000000, 0.0000000,-5.09942e-03,-5.25748e-02,0.8894796,0.1105204
CTI6, 5.36485e-02,2.97539e-01, 3.23889e-02,2.97539e-01, 4.97272e-02,1.66526e-04, 6.83661e-03,1.66526e-04, 0.00000000, 0.9340420, 5.25471e-02, 6.89092e-03,0.1113538,0.8886462
CAC2,-2.94790e-02,2.88886e-02,-3.98764e-03,2.88886e-02,-1.68468e-02,6.77201e-01,-1.23408e-02,6.77201e-01, 0.00000000, 0.0000000,-3.33750e-03,-2.22582e-02,0.8390846,0.1609154
CCR4,-6.24264e-02,3.76556e-02,-5.18960e-02,3.76556e-02, 7.30541e-03,6.05613e-01, 1.56463e-03,6.05613e-01, 0.00000000, 0.0000000,-3.54323e-02,-2.38844e-04,0.3037660,0.6962340
DLS1,-8.87150e-02,1.50592e-01,-4.48680e-02,1.50592e-01,-1.55277e-02,2.35328e-01,-1.43236e-03,2.35328e-01, 0.00000000, 0.0000000,-2.92940e-02,-9.52487e-04,0.0832885,0.9167115
EAF3, 4.76719e-02,3.10270e-01, 2.23031e-02,3.10270e-01, 3.76340e-04,9.77433e-01, 3.43757e-05,9.77433e-01, 0.00000000, 0.0000000, 7.95420e-03, 4.75882e-04,0.1308922,0.8691078
RLF2, 4.26032e-02,3.77616e-01, 2.37051e-02,3.77616e-01,-1.62626e-02,2.20567e-01,-1.75631e-03,2.20567e-01, 0.00000000, 0.0000000,-1.88797e-02,-1.74696e-03,0.1137809,0.8862191
CAF40, 1.02594e-02,8.43034e-01, 5.09618e-03,8.43034e-01,-6.51092e-03,6.22126e-01,-7.35606e-04,6.22126e-01, 0.00000000, 0.0000000,-2.13339e-02,-5.55492e-04,0.1191535,0.8808465
BRE1, 5.84306e-04,9.64477e-01, 1.31146e-04,9.64477e-01,-9.40435e-02,1.06969e-01,-8.25874e-02,1.06969e-01, 0.00000000, 0.0000000, 1.14061e-04,-3.73643e-02,0.8750431,0.1249569
ASF1,-5.00977e-02,3.54252e-01,-2.86297e-02,3.54252e-01,-1.35624e-01,4.57941e-25,-2.34294e-02,4.57941e-25, 0.00000000,21.4947136,-8.07805e-02,-2.33277e-02,0.1162828,0.8837172
ARP6, 1.57749e-02,2.32589e-01, 1.67259e-03,2.32589e-01,-9.95760e-02,5.27513e-02,-4.42082e-02,5.27513e-02, 0.00000000, 0.0000000, 1.08696e-03,-6.29174e-03,0.8784729,0.1215271
NRG1, 1.15442e-01,1.85769e-01, 6.27214e-02,1.85769e-01, 4.71995e-04,9.70905e-01, 5.30164e-05,9.70905e-01, 0.00000000, 0.0000000, 1.96015e-02,-2.31861e-04,0.0609029,0.9390971
YLR278C, 1.34462e-01,1.55977e-02, 5.30570e-02,1.55977e-02,-1.49516e-02,2.55569e-01,-1.13502e-03,2.55569e-01, 0.00000000, 0.0000000, 3.00810e-02,-1.15258e-03,0.0930521,0.9069479
ZAP1, 6.91677e-03,6.03395e-01, 9.36128e-04,6.03395e-01,-1.19005e-01,1.03807e-02,-7.75422e-02,1.03807e-02, 0.00000000, 0.0000000, 9.87116e-04,-5.66713e-02,0.8718947,0.1281053
ENV11,-6.16828e-02,3.20069e-06,-7.52191e-03,3.20069e-06, 6.17056e-02,2.10235e-01, 3.27567e-02,2.10235e-01, 2.65027923, 0.0000000,-6.87254e-03,-8.45090e-04,0.8613060,0.1386940
YJL206C,-2.14063e-02,7.10549e-01,-1.24501e-02,7.10549e-01, 5.76296e-03,6.60694e-01, 4.31169e-04,6.60694e-01, 0.00000000, 0.0000000,-6.68131e-03, 6.13430e-04,0.0718205,0.9281795
HEL2,-6.08292e-02,5.90335e-02,-1.87307e-02,5.90335e-02, 1.30783e-02,3.48388e-01, 8.74992e-04,3.48388e-01, 0.00000000, 0.0000000,-1.03894e-02, 3.80462e-04,0.2558012,0.7441988
YAP1, 1.12479e-01,5.48707e-02, 5.29968e-02,5.48707e-02,-1.00680e-02,4.42724e-01,-5.64195e-04,4.42724e-01, 0.00000000, 0.0000000, 3.99909e-02,-2.56179e-04,0.0670192,0.9329808
URC2,-1.24218e-02,3.50502e-01,-1.22419e-03,3.50502e-01,-7.73504e-02,9.90059e-02,-3.11223e-02,9.90059e-02, 0.00000000, 0.0000000,-1.31065e-03,-1.53057e-02,0.8484638,0.1515362
TEC1,-8.20810e-03,5.26929e-01,-5.74812e-04,5.26929e-01, 3.86035e-02,6.24668e-01, 2.08075e-02,6.24668e-01, 0.00000000, 0.0000000,-5.68212e-04, 1.89192e-02,0.9556523,0.0443477
SWI5,-7.10296e-04,9.92036e-01,-4.79788e-04,9.92036e-01,-4.73481e-02,2.72317e-04,-3.15194e-03,2.72317e-04, 0.00000000, 0.7204475,-9.14880e-03,-2.85393e-03,0.0471773,0.9528227
SWI4, 7.76870e-03,5.61047e-01, 9.31759e-04,5.61047e-01, 4.71544e-02,2.89746e-01, 2.83559e-02,2.89746e-01, 0.00000000, 0.0000000, 6.24613e-04, 5.60591e-04,0.8612036,0.1387964
SUM1,-5.30873e-02,5.36667e-05,-4.70661e-03,5.36667e-05, 4.54300e-03,9.35077e-01, 5.20339e-03,9.35077e-01, 1.42581792, 0.0000000,-4.84812e-03,-9.07060e-02,0.9343962,0.0656038
STP3,-9.14044e-02,2.06148e-01,-5.21215e-02,2.06148e-01,-1.81688e-02,1.62399e-01,-1.37024e-03,1.62399e-01, 0.00000000, 0.0000000,-5.95884e-02,-1.51552e-03,0.0464897,0.9535103
STP2, 4.48896e-02,3.89248e-01, 1.77394e-02,3.89248e-01,-1.07409e-02,4.15993e-01,-7.44353e-04,4.15993e-01, 0.00000000, 0.0000000, 2.56488e-02,-4.78729e-04,0.0998335,0.9001665
STP1,-1.52419e-01,5.90004e-03,-1.64609e-01,5.90004e-03, 9.81221e-03,4.55685e-01, 2.34239e-03,4.55685e-01, 0.00000000, 0.0000000,-9.81709e-02, 3.14898e-03,0.1043092,0.8956908
STE12, 6.67305e-02,4.41901e-01, 6.07809e-02,4.41901e-01,-4.19522e-04,9.74142e-01,-3.30198e-05,9.74142e-01, 0.00000000, 0.0000000, 9.68266e-02, 3.80553e-05,0.0288277,0.9711723
STB5,-3.96199e-02,3.58590e-01,-2.99705e-02,3.58590e-01,-1.63069e-02,2.23753e-01,-2.85024e-03,2.23753e-01, 0.00000000, 0.0000000,-5.83702e-02,-2.96876e-03,0.1476755,0.8523245
STB4,-2.61414e-03,8.39144e-01,-1.86910e-04,8.39144e-01, 1.82512e-02,8.76492e-01, 9.84920e-03,8.76492e-01, 0.00000000, 0.0000000,-2.88555e-04, 1.06989e-02,0.9775492,0.0224508
RPN4,-4.04981e-03,9.29189e-01,-2.00966e-03,9.29189e-01, 2.97564e-02,2.56592e-02, 2.84493e-03,2.56592e-02, 0.00000000, 0.0000000, 2.72340e-03, 2.62471e-03,0.1318524,0.8681476
SKN7, 5.47992e-02,2.84104e-01, 3.19022e-02,2.84104e-01, 2.84418e-02,3.14289e-02, 2.24959e-03,3.14289e-02, 0.00000000, 0.0000000, 1.86324e-02, 2.20439e-03,0.0942974,0.9057026
SOK2, 1.54069e-03,9.08485e-01, 1.38999e-04,9.08485e-01, 2.23786e-02,6.04510e-01, 1.23489e-02,6.04510e-01, 0.00000000, 0.0000000, 3.60882e-04,-9.94460e-03,0.8682645,0.1317355
RTG3,-3.68293e-03,9.39159e-01,-3.16170e-03,9.39159e-01, 1.73369e-02,1.91605e-01, 1.56915e-03,1.91605e-01, 0.00000000, 0.0000000,-4.96397e-03, 1.71351e-03,0.0952784,0.9047216
SFL1,-1.34941e-02,7.99156e-01,-7.72860e-03,7.99156e-01,-4.96615e-05,9.96996e-01,-5.85163e-06,9.96996e-01, 0.00000000, 0.0000000, 5.78242e-03, 2.89244e-05,0.1124904,0.8875096
RPH1, 4.91205e-04,9.70385e-01, 4.41323e-05,9.70385e-01, 7.70624e-02,1.27721e-01, 2.86292e-02,1.27721e-01, 0.00000000, 0.0000000, 4.30187e-04, 5.54064e-03,0.8774155,0.1225845
