,cor_c1,pval_cor_c1,beta_c1,pval_beta_c1,cor_c2,pval_cor_c2,beta_c2,pval_beta_c2,adjp_c1,adjp_c2,em_beta_1,em_beta_2,ratio_1,ratio_2
PEX10, 1.39482e-01,1.44276e-01, 1.03505e-01,1.44276e-01,-9.94398e-03,4.41383e-01,-1.09106e-03,4.41383e-01, 0.00000000, 0.0000000, 4.37176e-02,-8.78522e-04,0.0359363,0.9640637
PEP5,-1.63644e-02,2.16520e-01,-2.25811e-03,2.16520e-01, 1.89412e-02,7.04969e-01, 1.51604e-02,7.04969e-01, 0.00000000, 0.0000000,-2.82152e-03,-5.26158e-03,0.8889823,0.1110177
PEX12, 4.66697e-03,7.18456e-01, 2.42637e-04,7.18456e-01,-4.27554e-02,6.19838e-01,-2.00117e-02,6.19838e-01, 0.00000000, 0.0000000, 1.31765e-04,-1.08990e-02,0.9679319,0.0320681
PEX2,-1.30626e-02,3.17541e-01,-7.53734e-04,3.17541e-01,-2.18414e-02,7.31107e-01,-1.09846e-02,7.31107e-01, 0.00000000, 0.0000000,-7.56288e-04, 3.37547e-03,0.9409928,0.0590072
PEX22, 1.96412e-02,1.29386e-01, 1.44904e-03,1.29386e-01, 1.00461e-01,2.30893e-01, 5.74863e-02,2.30893e-01, 0.00000000, 0.0000000, 1.17773e-03, 4.17894e-02,0.9594474,0.0405526
PEX4, 1.47720e-01,2.09830e-02, 1.01040e-01,2.09830e-02,-2.33995e-02,7.32027e-02,-2.87918e-03,7.32027e-02, 0.00000000, 0.0000000, 5.13452e-02,-2.26857e-03,0.0758753,0.9241247
PEX5,-5.16956e-02,1.11525e-04,-5.86907e-03,1.11525e-04, 2.44773e-02,5.75757e-01, 1.24306e-02,5.75757e-01, 1.10815110, 0.0000000,-5.72841e-03,-3.01223e-03,0.8455312,0.1544688
RAD23,-1.67812e-02,8.00598e-01,-8.06155e-03,8.00598e-01,-5.32381e-03,6.83213e-01,-3.80442e-04,6.83213e-01, 0.00000000, 0.0000000,-3.94990e-03,-3.27430e-04,0.0583407,0.9416593
POC4, 1.74319e-02,6.80345e-01, 9.50114e-03,6.80345e-01, 2.00271e-02,1.35893e-01, 2.03825e-03,1.35893e-01, 0.00000000, 0.0000000, 4.06474e-03, 2.38340e-03,0.1465433,0.8534567
PTH2,-4.70677e-03,7.17848e-01,-3.43869e-04,7.17848e-01,-8.63608e-02,2.11539e-01,-4.09487e-02,2.11539e-01, 0.00000000, 0.0000000,-3.82602e-04,-1.72122e-02,0.9431089,0.0568911
PRE9, 2.33097e-03,8.62144e-01, 4.28588e-04,8.62144e-01,-2.76473e-02,5.15703e-01,-1.95835e-02,5.15703e-01, 0.00000000, 0.0000000,-5.84403e-04,-1.58407e-02,0.8206071,0.1793929
RAD18,-1.11140e-02,3.98673e-01,-1.43662e-03,3.98673e-01, 8.12761e-02,1.35916e-01, 4.33464e-02,1.35916e-01, 0.00000000, 0.0000000,-1.01536e-03,-2.55890e-02,0.8986183,0.1013817
RPN10, 3.61555e-03,7.82690e-01, 5.33945e-04,7.82690e-01, 2.70247e-02,6.49607e-01, 1.62796e-02,6.49607e-01, 0.00000000, 0.0000000, 1.22894e-03,-1.17346e-02,0.8998475,0.1001525
RAD5, 1.66826e-02,2.04988e-01, 2.08361e-03,2.04988e-01,-1.23030e-01,2.47570e-02,-6.59581e-02,2.47570e-02, 0.00000000, 0.0000000, 1.55258e-03,-2.72871e-02,0.8835507,0.1164493
RCY1, 5.70713e-03,6.67918e-01, 1.22149e-03,6.67918e-01,-2.92520e-02,5.34142e-01,-2.61987e-02,5.34142e-01, 0.00000000, 0.0000000, 1.60559e-03,-8.92623e-02,0.8701622,0.1298378
RAD26,-1.22511e-01,6.24665e-02,-6.62573e-02,6.24665e-02,-8.61060e-03,5.09342e-01,-7.80125e-04,5.09342e-01, 0.00000000, 0.0000000,-4.93695e-02,-7.73155e-04,0.0665495,0.9334505
ULS1,-8.93854e-02,1.79603e-01,-4.70325e-02,1.79603e-01, 4.92924e-03,7.05504e-01, 4.04399e-04,7.05504e-01, 0.00000000, 0.0000000,-1.36881e-02, 6.39484e-04,0.0637527,0.9362473
RPN13,-6.36937e-02,4.86233e-02,-4.27648e-02,4.86233e-02,-1.54360e-03,9.11834e-01,-2.02688e-04,9.11834e-01, 0.00000000, 0.0000000,-3.17396e-02, 3.33975e-04,0.2432214,0.7567786
SLX5,-9.95321e-03,8.44662e-01,-8.50480e-03,8.44662e-01,-4.28845e-03,7.45799e-01,-1.13567e-03,7.45799e-01, 0.00000000, 0.0000000,-6.65026e-02,-4.04888e-04,0.1206423,0.8793577
SAN1, 2.42988e-02,7.35320e-01, 1.26576e-02,7.35320e-01,-7.62730e-03,5.57677e-01,-8.64626e-04,5.57677e-01, 0.00000000, 0.0000000, 4.38613e-03,-5.57271e-04,0.0809482,0.9190518
SLA1,-1.89492e-02,1.53781e-01,-2.24100e-03,1.53781e-01, 4.86514e-02,3.08573e-01, 2.59324e-02,3.08573e-01, 0.00000000, 0.0000000,-1.47980e-03,-2.47799e-02,0.8737606,0.1262394
SEM1,-7.88610e-02,1.21922e-01,-5.83166e-02,1.21922e-01, 3.98087e-03,7.63386e-01, 6.09283e-04,7.63386e-01, 0.00000000, 0.0000000,-3.84080e-02, 9.93922e-04,0.1113252,0.8886748
SLX8, 7.80459e-02,3.08843e-01, 5.72401e-02,3.08843e-01,-1.07876e-02,4.06020e-01,-2.65618e-03,4.06020e-01, 0.00000000, 0.0000000,-8.19517e-02,-2.32288e-03,0.0645766,0.9354234
