"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"MCK1","-0.1514629","-0.02748899"," 3.32155e-29"," 25.69120","0.888115","124"
"YHR003C"," 0.1508141"," 0.02288295"," 5.74825e-29"," 25.45300","0.848351"," 63"
"DUN1"," 0.1506988"," 0.01639018"," 6.33509e-29"," 25.41079","0.864977","105"
"SKY1"," 0.1474064"," 0.02047630"," 9.95547e-28"," 24.21448","0.944455","125"
"BRE2"," 0.1466744"," 0.02431844"," 1.79660e-27"," 23.95809","0.911459","105"
"SRB2","-0.1462233","-0.03509617"," 2.59885e-27"," 23.79776","0.890500","143"
"HHF1"," 0.1460146"," 0.01201407"," 3.08151e-27"," 23.72378","0.908192","145"
"RNY1","-0.1442268","-0.02620626"," 1.31292e-26"," 23.09430","0.813016"," 69"
"MMS1"," 0.1424101"," 0.01722139"," 5.61956e-26"," 22.46284","0.891299","107"
"ISW1"," 0.1410492"," 0.01622249"," 1.66648e-25"," 21.99074","0.875701"," 67"
"SOH1","-0.1409841","-0.02493390"," 1.73634e-25"," 21.97290","0.888328","130"
"HIR1"," 0.1407392"," 0.01262065"," 2.10517e-25"," 21.88925","0.909422"," 93"
"SGF29"," 0.1406497"," 0.02189512"," 2.25837e-25"," 21.85874","0.862723"," 85"
"KAP123","-0.1392582","-0.01967372"," 6.76311e-25"," 21.38239","0.945390","108"
"UBC4"," 0.1387195"," 0.02465357"," 1.01707e-24"," 21.20519","0.931020","157"
"HOS2","-0.1386731","-0.01605947"," 1.05422e-24"," 21.18961","0.934273","197"
"OCA4"," 0.1373828"," 0.01258199"," 2.87533e-24"," 20.75385","0.914898"," 98"
"SWA2","-0.1371580","-0.03739905"," 3.38277e-24"," 20.68327","0.784314"," 90"
"SPT20","-0.1368953","-0.04142804"," 4.13512e-24"," 20.59605","0.814039","114"
"MSC1"," 0.1367711"," 0.01494105"," 4.54639e-24"," 20.55487","0.904499","124"
"CSM3"," 0.1364237"," 0.01087517"," 5.92446e-24"," 20.43989","0.897862","256"
"RAD6"," 0.1352676"," 0.04208829"," 1.42268e-23"," 20.05943","0.856143","445"
"OCA5"," 0.1315371"," 0.01185286"," 2.28209e-22"," 18.85421","0.893934","111"
"AFT1","-0.1292524","-0.01276918"," 1.22167e-21"," 18.12559","0.941660"," 33"
"SRB5","-0.1264491","-0.02594534"," 8.85124e-21"," 17.26554","0.890735","124"
"RAD5"," 0.1250673"," 0.01723289"," 2.33097e-20"," 16.84500","0.863739","208"
"IRA1"," 0.1237545"," 0.01969529"," 5.79066e-20"," 16.44981","0.866064"," 69"
"CLN3"," 0.1225939"," 0.01208319"," 1.28409e-19"," 16.10394","0.773011","172"
"HTZ1"," 0.1214500"," 0.01878397"," 2.79436e-19"," 15.76626","0.874912","122"
"BCY1"," 0.1200670"," 0.04106076"," 7.08382e-19"," 15.36227","0.812493"," 87"
"MCM21"," 0.1198632"," 0.00955403"," 8.11748e-19"," 15.30312","0.936366"," 77"
"SDC1"," 0.1173148"," 0.01859782"," 4.36968e-18"," 14.57209","0.895502","117"
"SIR3"," 0.1160919"," 0.01409731"," 1.00822e-17"," 14.20898","0.944320"," 27"
"MUM2","-0.1160594","-0.01031016"," 1.00857e-17"," 14.20883","0.946979"," 52"
"CAF40","-0.1152623","-0.01399658"," 1.65104e-17"," 13.99478","0.847859","126"
"PEX2","-0.1147701","-0.00744662"," 2.27827e-17"," 13.85493","0.941320"," 43"
"MSH2"," 0.1139146"," 0.01364092"," 3.90206e-17"," 13.62125","0.940364"," 50"
"GCN4","-0.1129721","-0.01427424"," 7.12404e-17"," 13.35981","0.941321"," 98"
"RXT3"," 0.1129592"," 0.01542995"," 7.13533e-17"," 13.35913","0.835014","271"
"MMS4"," 0.1124750"," 0.00662010"," 9.67035e-17"," 13.22710","0.929074"," 91"
"PHO85"," 0.1099119"," 0.02242941"," 4.72913e-16"," 12.53776","0.904924","121"
"SFP1"," 0.1097517"," 0.06764431"," 5.21620e-16"," 12.49519","0.298990","247"
"UBP10"," 0.1091174"," 0.02065852"," 7.67805e-16"," 12.32729","0.858456"," 77"
"DDR48","-0.1089327","-0.00868507"," 8.69457e-16"," 12.27329","0.925009"," 45"
"RLF2"," 0.1078684"," 0.01285211"," 1.63334e-15"," 11.99946","0.880493"," 65"
"EDC1","-0.1077268","-0.01083712"," 1.79942e-15"," 11.95741","0.943303"," 42"
"BUD13","-0.1075667","-0.01539907"," 1.95741e-15"," 11.92086","0.861742","213"
"RIM101","-0.1073601","-0.00950481"," 2.21512e-15"," 11.86714","0.945169"," 24"
"KIN82","-0.1071263","-0.00815483"," 2.54706e-15"," 11.80650","0.901703","123"
"SWR1"," 0.1065036"," 0.01308290"," 3.68948e-15"," 11.64557","0.888681"," 71"
"HPC2"," 0.1060502"," 0.01192009"," 4.82568e-15"," 11.52898","0.919281","288"
"GAT2"," 0.1057428"," 0.00574277"," 5.78519e-15"," 11.45022","0.942452"," 76"
"YKR023W"," 0.1056425"," 0.01301698"," 6.13695e-15"," 11.42459","0.846368"," 79"
"OCA1"," 0.1053780"," 0.01259140"," 7.16933e-15"," 11.35706","0.942204","113"
"POG1","-0.1045849","-0.00965092"," 1.15289e-14"," 11.15075","0.947039"," 33"
"PFK1"," 0.1043215"," 0.01675901"," 1.32893e-14"," 11.08904","0.909634","134"
"MUD2","-0.1038657","-0.00886875"," 1.73106e-14"," 10.97423","0.859715","136"
"PEP7","-0.1033670","-0.01874528"," 2.30864e-14"," 10.84918","0.815446"," 92"
"IRA2"," 0.1028912"," 0.02602660"," 3.03468e-14"," 10.73043","0.745209","197"
"RGT2","-0.1018833","-0.00793743"," 5.39340e-14"," 10.48068","0.932208"," 96"
"EXO1","-0.1010558","-0.00864739"," 8.70247e-14"," 10.27290","0.945409"," 39"
"SET4"," 0.1002324"," 0.01082663"," 1.36684e-13"," 10.07682","0.864825"," 61"
"CKA2","-0.1001762","-0.01397270"," 1.41040e-13"," 10.06320","0.866128"," 71"
"ELG1"," 0.1000227"," 0.00749469"," 1.53651e-13"," 10.02600","0.915329"," 74"
"RAD27"," 0.0997944"," 0.01622285"," 1.74483e-13","  9.97079","0.869832","105"
"BRE1"," 0.0993958"," 0.02420510"," 2.17706e-13","  9.87467","0.890494","240"
"TPS2"," 0.0991692"," 0.01693627"," 2.46795e-13","  9.82020","0.876555"," 79"
"MFB1"," 0.0990703"," 0.00950903"," 2.60665e-13","  9.79646","0.944478","155"
"UFD2"," 0.0983933"," 0.01139346"," 3.80268e-13","  9.63245","0.935825","111"
"PTH2","-0.0981954","-0.00794867"," 4.23811e-13","  9.58537","0.945759"," 75"
"BRR1","-0.0981514","-0.00861591"," 4.32006e-13","  9.57705","0.862711"," 88"
"POL32"," 0.0975253"," 0.00910809"," 6.07894e-13","  9.42871","0.907145","146"
"TRM10"," 0.0971389"," 0.01321498"," 7.53396e-13","  9.33552","0.858218"," 62"
"KIN3"," 0.0968426"," 0.01158766"," 8.80115e-13","  9.26800","0.937881"," 45"
"KDX1","-0.0963260","-0.00759131"," 1.16251e-12","  9.14714","0.908380","154"
"NMD2","-0.0951000","-0.04267848"," 2.23707e-12","  8.86286","0.246891"," 68"
"GPR1","-0.0948105","-0.01512206"," 2.60780e-12","  8.79626","0.846511","120"
"HER2"," 0.0946221"," 0.00515516"," 2.88088e-12","  8.75301","0.875361"," 73"
"STE20"," 0.0935103"," 0.00657536"," 5.21007e-12","  8.49570","0.943206"," 35"
"UBC8","-0.0932882","-0.01000747"," 5.79753e-12","  8.44930","0.917015","139"
"SPP1","-0.0931663","-0.01184037"," 6.17729e-12","  8.42174","0.927060","174"
"UPF3","-0.0925352","-0.04413747"," 8.56722e-12","  8.27970","0.252598"," 64"
"NCE102","-0.0921951","-0.00706170"," 1.03435e-11","  8.19787","0.939356"," 40"
"RTF1"," 0.0916617"," 0.02380985"," 1.34238e-11","  8.08466","0.945006","103"
"UBX3","-0.0913244","-0.00694087"," 1.59485e-11","  8.00982","0.886089"," 75"
"DAT1","-0.0911535","-0.00858245"," 1.73987e-11","  7.97202","0.916461"," 99"
"EST1"," 0.0907121"," 0.00720525"," 2.17703e-11","  7.87468","0.858393"," 91"
"CAR2","-0.0906653","-0.00831801"," 2.24813e-11","  7.86072","0.945477"," 51"
"BUD21"," 0.0901515"," 0.01172483"," 2.90169e-11","  7.74989","0.927250"," 70"
"BIK1"," 0.0889037"," 0.00753489"," 5.39334e-11","  7.48068","0.944051","208"
"SWD3"," 0.0876827"," 0.01662795"," 9.85177e-11","  7.21903","0.891775","107"
"ARG82","-0.0867555","-0.02091604"," 1.54833e-10","  7.02268","0.895044"," 55"
"CDC40","-0.0864057","-0.02059834"," 1.83397e-10","  6.94915","0.862507","180"
"RAD23","-0.0858207","-0.00700949"," 2.44002e-10","  6.82515","0.948479"," 41"
"YJL206C","-0.0851653","-0.00736683"," 3.35050e-10","  6.68743","0.934386"," 51"
"SPT8","-0.0846520","-0.01199322"," 4.24380e-10","  6.58478","0.889170"," 68"
"VPS3","-0.0845529","-0.01457994"," 4.44781e-10","  6.56439","0.847063"," 73"
"HOS3","-0.0844537","-0.00668061"," 4.66129e-10","  6.54403","0.921948"," 76"
"GPA2","-0.0838556","-0.00934098"," 6.17798e-10","  6.42169","0.864372"," 65"
"PTK2"," 0.0825908"," 0.00685798"," 1.11369e-09","  6.16577","0.939404"," 93"
"YBR285W"," 0.0825806"," 0.01092801"," 1.11895e-09","  6.16373","0.880631"," 81"
"YAP1","-0.0825135","-0.00522218"," 1.16232e-09","  6.14721","0.937771"," 49"
"RPH1"," 0.0817967"," 0.00739667"," 1.61075e-09","  6.00551","0.831609","107"
"UBA3"," 0.0812327"," 0.00752148"," 2.07674e-09","  5.89516","0.881130","105"
"EDE1"," 0.0812328"," 0.00824798"," 2.08371e-09","  5.89370","0.866374"," 74"
"POC4","-0.0808305","-0.00938658"," 2.49287e-09","  5.81584","0.852493"," 76"
"SET1"," 0.0807293"," 0.01303150"," 2.60970e-09","  5.79595","0.859197","206"
"EUG1","-0.0801912","-0.00864342"," 3.33755e-09","  5.68911","0.931299"," 83"
"ATG32","-0.0798002","-0.00751330"," 3.99014e-09","  5.61155","0.937983"," 54"
"LEM3","-0.0792058","-0.00799521"," 5.16697e-09","  5.49930","0.928551"," 67"
"HHT1"," 0.0790888"," 0.00540674"," 5.44244e-09","  5.47675","0.902847"," 91"
"YPR153W","-0.0790988","-0.00578383"," 5.45325e-09","  5.47588","0.912238"," 41"
"IRS4","-0.0786827","-0.00727315"," 6.53445e-09","  5.39733","0.914654"," 64"
"KSP1"," 0.0782788"," 0.00805183"," 7.80618e-09","  5.32010","0.919141"," 54"
"SAC1","-0.0766920","-0.00743979"," 1.55171e-08","  5.02173","0.880134"," 71"
"PIH1","-0.0766613","-0.00910762"," 1.57231e-08","  5.01600","0.864477","111"
"LSM12","-0.0762103","-0.00777979"," 1.91975e-08","  4.92929","0.940687"," 42"
"PML39"," 0.0752369"," 0.00545251"," 2.88741e-08","  4.75203","0.942408"," 83"
"IOC3"," 0.0752173"," 0.00680486"," 2.91989e-08","  4.74717","0.941449"," 56"
"VAM6","-0.0747624","-0.00714782"," 3.52686e-08","  4.66515","0.930937"," 73"
"VPS27","-0.0742405","-0.00986476"," 4.38865e-08","  4.57021","0.927802"," 95"
"NRP1","-0.0740384","-0.00513029"," 4.78824e-08","  4.53236","0.905947"," 85"
"UBP6","-0.0738398","-0.00668355"," 5.20046e-08","  4.49650","0.942937"," 69"
"RFM1"," 0.0727171"," 0.00763846"," 8.28415e-08","  4.29429","0.939613"," 22"
"IST3","-0.0726422","-0.00952657"," 8.49553e-08","  4.28335","0.823732","182"
"JHD2"," 0.0724349"," 0.00588983"," 9.24600e-08","  4.24659","0.853747","195"
"PRE9","-0.0724050","-0.01562287"," 9.35941e-08","  4.24129","0.820776","159"
"HMO1"," 0.0715020"," 0.01107172"," 1.34957e-07","  4.08235","0.880112","148"
"NFI1","-0.0713996","-0.00748737"," 1.40634e-07","  4.06445","0.875359","128"
"MFT1"," 0.0713568"," 0.00870707"," 1.43076e-07","  4.05697","0.920955"," 77"
"VPS8","-0.0707726","-0.01418914"," 1.80795e-07","  3.95535","0.820433","138"
"MAK31"," 0.0699412"," 0.00454124"," 2.51447e-07","  3.81209","0.936932"," 52"
"GPH1"," 0.0688710"," 0.00665198"," 3.82377e-07","  3.63005","0.877936"," 58"
"SWI4"," 0.0685505"," 0.00967012"," 4.33003e-07","  3.57605","0.867779","108"
"HUR1","-0.0677088","-0.01029128"," 5.98670e-07","  3.43535","0.810713"," 96"
"LOS1","-0.0675223","-0.00478359"," 6.44426e-07","  3.40337","0.938959"," 53"
"PAP2","-0.0670011","-0.00890863"," 7.83810e-07","  3.31833","0.838490"," 54"
"URE2","-0.0656936","-0.00829997"," 1.28053e-06","  3.10515","0.919158"," 54"
