,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
CTF8,1.0,-0.08494,4.216e-08,-0.007081,1.687e-08,1.144e-10,4.216e-16, 7.150,0.0007597,0.89692,1.726e-06
MDM30,1.0,-0.12896,5.104e-07,-0.033063,2.304e-07,1.177e-10,1.605e-14, 7.138,0.0007733,0.09094,1.238e-06
BCS1,1.0,-0.14883,6.749e-08,-0.025626,3.162e-08,1.187e-10,3.749e-15, 7.134,0.0007578,0.05466,6.749e-08
SWM2,1.0, 0.14997,2.107e-06, 0.024536,5.359e-07,1.332e-10,8.510e-14, 7.084,0.0007666,0.10338,2.345e-06
PIN4,1.0,-0.12638,5.736e-07,-0.028485,3.010e-07,1.370e-10,2.493e-14, 7.072,0.0007542,0.11446,2.042e-06
SAC3,1.0,-0.13509,1.626e-06,-0.049311,1.094e-06,1.552e-10,8.458e-14, 7.018,0.0009506,0.13710,3.689e-06
CTF18,1.0,-0.08670,6.325e-08,-0.009148,1.265e-08,1.583e-10,6.584e-15, 7.009,0.0007614,0.83731,1.771e-06
THP1,1.0,-0.13153,1.362e-06,-0.059315,1.271e-06,2.819e-10,1.561e-13, 6.759,0.0006591,0.16760,4.666e-06
DLS1,1.0,-0.11506,7.761e-07,-0.028481,4.053e-07,4.328e-10,1.105e-13, 6.572,0.0007099,0.08523,1.657e-06
SNF7,1.0,-0.10957,3.028e-07,-0.066648,4.370e-07,4.626e-10,6.231e-14, 6.543,0.0007543,0.08346,6.070e-07
RCY1,1.0,-0.12635,4.216e-07,-0.059276,3.399e-07,5.999e-10,5.614e-14, 6.431,0.0007700,0.13471,1.837e-06
SKY1,1.0,-0.14954,8.433e-08,-0.038189,3.528e-08,7.314e-10,1.582e-14, 6.345,0.0007638,0.07290,8.233e-08
DCC1,1.0,-0.08520,3.561e-07,-0.008492,4.216e-09,9.644e-10,1.318e-13, 6.224,0.0007756,0.85024,2.520e-06
SET3,1.0,-0.13083,3.953e-06,-0.025781,1.351e-06,9.783e-10,1.446e-12, 6.218,0.0009931,0.11409,5.223e-06
LSM1,1.0,-0.14134,3.816e-06,-0.044712,2.023e-06,1.059e-09,1.218e-12, 6.184,0.0008058,0.07887,3.500e-06
SSN2,1.0,-0.11993,2.348e-07,-0.073579,2.452e-07,1.133e-09,2.951e-14, 6.154,0.0007567,0.11877,1.005e-06
PFK2,1.0,-0.11682,1.111e-06,-0.057534,1.098e-06,1.178e-09,6.603e-13, 6.138,0.0006984,0.14980,3.173e-06
YAF9,1.0,-0.11245,1.081e-06,-0.031784,5.557e-07,1.580e-09,5.848e-13, 6.010,0.0007372,0.15350,3.047e-06
NCS6,1.0,-0.12416,7.815e-07,-0.031742,5.319e-07,1.581e-09,4.286e-13, 6.010,0.0007697,0.15010,4.318e-06
HOS2,1.0,-0.11534,3.501e-06,-0.023122,1.297e-06,1.637e-09,2.483e-12, 5.994,0.0011257,0.08145,4.286e-06
RGP1,1.0,-0.10447,4.111e-07,-0.055409,4.389e-07,1.927e-09,3.334e-13, 5.924,0.0007256,0.16780,2.080e-06
SSN8,1.0,-0.12845,5.164e-08,-0.078387,2.284e-07,1.963e-09,5.164e-15, 5.916,0.0007587,0.12331,1.001e-06
HAP4,1.0,-0.10772,4.111e-07,-0.033175,5.088e-07,2.169e-09,6.430e-13, 5.872,0.0008655,0.05306,9.510e-07
CCE1,0.9,-0.12035,3.542e-06,-0.028091,9.985e-07,2.285e-09,2.214e-12, 5.850,0.0007837,0.23728,7.151e-06
CTI6,1.0, 0.11296,0.000e+00, 0.036145,4.216e-09,2.759e-09,8.756e-15, 5.768,0.0007592,0.12128,8.756e-08
SPT21,1.0,-0.13805,6.325e-07,-0.044766,8.807e-08,3.397e-09,1.039e-13, 5.678,0.0007526,0.14916,2.473e-06
INO2,1.0,-0.10736,1.897e-07,-0.064153,3.549e-07,5.159e-09,3.035e-13, 5.496,0.0007632,0.14067,1.794e-06
DSS1,1.0, 0.11773,8.708e-07, 0.022684,4.114e-07,8.278e-09,3.190e-12, 5.291,0.0008553,0.07841,1.324e-06
YPT6,1.0,-0.10562,7.115e-07,-0.052296,5.801e-07,9.531e-09,2.525e-12, 5.230,0.0007518,0.19045,2.195e-06
EAF6,1.0,-0.15108,9.189e-08,-0.027941,4.197e-08,9.823e-09,3.298e-13, 5.216,0.0007583,0.05227,8.498e-08
URE2,1.0,-0.09743,2.751e-07,-0.044308,3.105e-07,1.038e-08,1.300e-12, 5.192,0.0007890,0.08576,7.078e-07
UFD4,1.0, 0.10574,6.749e-08, 0.034680,1.560e-07,1.132e-08,5.461e-13, 5.155,0.0007579,0.07181,4.977e-07
SDC1,1.0,-0.10383,6.634e-07,-0.030917,3.220e-07,1.519e-08,3.266e-13, 5.027,0.0007602,0.11803,3.943e-06
GPG1,1.0, 0.15105,1.033e-07, 0.024719,2.781e-08,2.146e-08,5.466e-13, 4.877,0.0007598,0.05935,5.164e-08
SAE2,1.0,-0.12539,2.987e-06,-0.023961,1.186e-06,2.179e-08,2.115e-11, 4.870,0.0008069,0.08197,5.247e-06
SWA2,1.0,-0.09926,8.695e-07,-0.056999,7.422e-07,2.297e-08,6.513e-12, 4.847,0.0007838,0.19177,3.285e-06
MGA2,1.0,-0.09829,3.171e-07,-0.040407,2.533e-07,2.703e-08,2.597e-12, 4.777,0.0007521,0.14858,2.349e-06
SCP160,1.0, 0.14322,2.249e-06, 0.020739,5.399e-07,3.510e-08,1.655e-11, 4.663,0.0008205,0.07658,2.664e-06
ASC1,1.0,-0.12963,5.164e-08,-0.046967,1.059e-08,3.563e-08,6.749e-14, 4.657,0.0007587,0.11974,6.992e-08
RPD3,1.0,-0.09558,6.446e-07,-0.057066,6.987e-07,3.961e-08,7.285e-12, 4.611,0.0007191,0.16969,2.804e-06
RRD1,1.0, 0.11000,0.000e+00, 0.019685,9.189e-09,4.288e-08,2.312e-13, 4.576,0.0007602,0.12951,1.265e-07
AZF1,1.0,-0.09723,7.846e-07,-0.019082,3.280e-07,4.635e-08,1.551e-11, 4.543,0.0007975,0.12038,2.180e-06
NPT1,1.0,-0.07063,0.000e+00,-0.005173,6.992e-09,5.043e-08,4.216e-14, 4.506,0.0007587,0.92379,3.368e-07
PUF6,1.0,-0.10867,1.043e-06,-0.029415,5.104e-07,5.326e-08,1.535e-11, 4.482,0.0008069,0.12280,2.709e-06
CSE2,1.0,-0.11915,5.254e-07,-0.048007,3.967e-07,5.362e-08,6.198e-12, 4.479,0.0007546,0.12700,1.545e-06
GRR1,1.0,-0.10522,4.111e-07,-0.083494,3.894e-07,5.652e-08,4.305e-12, 4.456,0.0007542,0.17869,1.189e-06
NBP2,1.0,-0.12528,4.216e-08,-0.038675,1.333e-08,5.654e-08,9.487e-14, 4.456,0.0007607,0.09465,9.189e-08
EST3,1.0, 0.05598,2.898e-07, 0.048052,8.914e-07,6.789e-08,2.627e-11, 4.377,0.0007254,0.13668,2.056e-06
SPP1,1.0, 0.10733,1.687e-07, 0.022348,2.393e-07,7.130e-08,1.793e-12, 4.356,0.0007603,0.09923,3.648e-06
CBF1,1.0,-0.10815,2.846e-07,-0.050041,2.922e-07,7.177e-08,5.111e-12, 4.353,0.0007453,0.12243,1.411e-06
CGI121,1.0, 0.10317,8.499e-07, 0.031221,7.770e-07,7.214e-08,2.683e-11, 4.350,0.0007571,0.11469,3.962e-06
TSL1,1.0,-0.11218,2.427e-06,-0.037229,1.240e-06,8.435e-08,5.555e-11, 4.283,0.0007227,0.23289,8.426e-06
RRG9,0.9,-0.10318,1.790e-06,-0.051345,1.203e-06,8.612e-08,3.708e-11, 4.273,0.0003903,0.16988,4.554e-06
FKS1,1.0,-0.10549,4.216e-08,-0.036448,3.795e-08,1.153e-07,1.709e-11, 4.147,0.0007619,0.14447,1.838e-06
YGR122W,1.0,-0.08108,1.494e-07,-0.043804,2.331e-07,1.236e-07,9.893e-12, 4.117,0.0007640,0.05332,2.953e-07
NPL3,1.0,-0.10812,7.288e-07,-0.059367,7.578e-07,1.374e-07,2.789e-11, 4.071,0.0007664,0.16398,2.969e-06
PET112,1.0, 0.12740,6.516e-07, 0.019319,1.223e-07,1.437e-07,7.786e-12, 4.051,0.0007472,0.09269,1.042e-06
RIC1,1.0,-0.09454,2.726e-07,-0.034805,3.106e-07,1.495e-07,1.680e-11, 4.034,0.0007499,0.12169,1.956e-06
IOC3,1.0, 0.06652,5.164e-07, 0.028780,6.142e-07,1.499e-07,6.907e-11, 4.033,0.0007415,0.06023,7.990e-07
NPL6,1.0,-0.10562,1.592e-06,-0.045835,9.834e-07,1.956e-07,8.245e-11, 3.917,0.0007637,0.21811,4.179e-06
RRP8,1.0,-0.09084,0.000e+00,-0.025993,1.563e-08,1.970e-07,1.269e-12, 3.914,0.0007592,0.07975,8.433e-08
SNF5,1.0,-0.06884,3.204e-07,-0.052026,7.893e-07,2.206e-07,5.669e-11, 3.865,0.0007543,0.11437,1.858e-06
TPK3,1.0, 0.07032,5.187e-07, 0.025184,4.351e-07,2.335e-07,6.936e-11, 3.840,0.0007047,0.06343,1.040e-06
OPI3,1.0,-0.08970,2.214e-07,-0.072631,6.009e-07,2.362e-07,1.992e-11, 3.835,0.0007657,0.25471,4.803e-06
RAM1,1.0,-0.09741,2.214e-07,-0.082779,4.756e-07,2.363e-07,1.694e-11, 3.835,0.0007650,0.14764,1.915e-06
NRG1,1.0, 0.08329,0.000e+00, 0.021622,1.506e-08,2.436e-07,2.132e-12, 3.822,0.0007607,0.06417,9.428e-08
EXO1,1.0,-0.09214,2.108e-07,-0.034782,2.287e-07,2.668e-07,2.197e-11, 3.783,0.0007579,0.06266,5.187e-07
RAD5,1.0,-0.09664,0.000e+00,-0.025913,1.033e-08,2.680e-07,9.487e-13, 3.780,0.0007592,0.10882,9.487e-08
RAD50,1.0,-0.10055,2.108e-07,-0.037140,2.162e-07,2.698e-07,1.435e-11, 3.778,0.0007595,0.11886,2.278e-06
SCS2,1.0,-0.09084,2.366e-07,-0.025335,1.649e-07,2.721e-07,1.897e-11, 3.774,0.0007644,0.06632,6.816e-07
SEM1,1.0,-0.09392,8.192e-07,-0.037573,7.004e-07,3.150e-07,8.718e-11, 3.710,0.0007220,0.11140,2.554e-06
DHH1,1.0,-0.11752,1.983e-06,-0.041374,9.852e-07,3.240e-07,1.389e-10, 3.698,0.0007474,0.11752,2.743e-06
HFM1,1.0,-0.09984,2.898e-07,-0.027799,1.708e-07,3.262e-07,5.642e-12, 3.695,0.0007587,0.11916,1.866e-06
SWM1,1.0,-0.10847,3.162e-08,-0.023439,2.214e-08,4.026e-07,2.040e-11, 3.604,0.0007559,0.10501,8.972e-07
SMI1,1.0,-0.12089,2.406e-07,-0.026800,9.799e-08,4.374e-07,1.581e-12, 3.568,0.0007597,0.08499,7.528e-07
RCM1,1.0, 0.09365,5.391e-07, 0.028452,6.948e-07,5.062e-07,1.492e-10, 3.504,0.0008079,0.12107,4.415e-06
CLB1,1.0, 0.11040,5.836e-07, 0.026795,2.525e-07,5.805e-07,8.776e-11, 3.445,0.0007768,0.07825,7.055e-07
STB5,1.0,-0.10848,5.191e-07,-0.039453,2.253e-07,6.262e-07,1.349e-11, 3.412,0.0007556,0.14320,3.025e-06
INO4,1.0,-0.09517,2.781e-07,-0.059242,3.449e-07,6.819e-07,1.687e-12, 3.375,0.0007592,0.13545,2.748e-06
ELA1,1.0,-0.10401,3.864e-07,-0.018994,1.282e-07,7.015e-07,4.642e-11, 3.363,0.0007627,0.10764,1.394e-06
HER2,1.0,-0.06873,1.581e-07,-0.003125,0.000e+00,7.792e-07,3.173e-11, 3.317,0.0007620,0.87727,1.069e-06
BIK1,1.0, 0.07588,9.359e-07, 0.015856,5.441e-07,9.512e-07,5.619e-10, 3.230,0.0006733,0.06681,2.141e-06
ADA2,1.0,-0.08413,8.433e-08,-0.047648,4.175e-07,9.667e-07,6.769e-11, 3.223,0.0007675,0.15569,2.425e-06
ZWF1,1.0,-0.06260,4.216e-08,-0.007018,1.494e-08,1.095e-06,1.494e-11, 3.169,0.0007576,0.92366,7.978e-07
HAP2,1.0,-0.06892,2.214e-07,-0.024477,1.658e-07,1.100e-06,4.517e-11, 3.167,0.0007573,0.08475,1.221e-06
YOR338W,0.8,-0.13144,8.238e-06,-0.021672,2.158e-06,1.169e-06,1.968e-09, 3.141,0.0008249,0.05443,5.521e-06
YVH1,1.0, 0.09038,7.906e-07, 0.041619,1.384e-06,1.273e-06,5.492e-10, 3.104,0.0006873,0.13161,6.315e-06
RAD52,1.0,-0.09274,1.932e-07,-0.028881,1.262e-07,1.478e-06,9.661e-12, 3.039,0.0007592,0.14996,2.962e-06
RCE1,1.0, 0.09417,3.610e-06, 0.018245,8.405e-07,1.516e-06,1.296e-09, 3.028,0.0008946,0.06664,2.422e-06
PTH2,1.0,-0.06830,3.967e-07,-0.023118,3.544e-07,1.533e-06,3.738e-10, 3.023,0.0007851,0.05689,7.345e-07
ASK10,1.0,-0.08472,5.270e-08,-0.035703,1.989e-08,1.562e-06,6.992e-12, 3.015,0.0007597,0.05642,6.749e-08
ULS1,1.0,-0.04874,0.000e+00,-0.023835,3.129e-08,1.839e-06,3.967e-11, 2.944,0.0007572,0.06396,6.325e-08
SER2,1.0,-0.10820,2.183e-07,-0.019663,5.391e-08,1.931e-06,9.487e-12, 2.923,0.0007592,0.09087,6.691e-07
HOS3,1.0,-0.03415,4.216e-07,-0.020611,3.306e-07,2.007e-06,5.297e-10, 2.906,0.0007663,0.07220,9.077e-07
LGE1,1.0,-0.10911,1.951e-06,-0.037951,1.196e-06,2.023e-06,8.666e-10, 2.903,0.0008650,0.08186,3.284e-06
SIR4,1.0, 0.09026,1.663e-07, 0.062787,2.950e-07,2.314e-06,1.482e-10, 2.844,0.0007632,0.05863,2.667e-07
GIS1,1.0, 0.09271,5.164e-08, 0.018042,9.944e-09,2.356e-06,1.054e-11, 2.837,0.0007587,0.13320,8.756e-08
MAC1,1.0,-0.07368,2.951e-07,-0.023608,2.194e-07,2.574e-06,3.258e-10, 2.798,0.0007611,0.07661,6.884e-07
ELP2,1.0, 0.08107,6.641e-07, 0.029934,6.902e-07,2.975e-06,7.123e-10, 2.735,0.0007828,0.08507,3.212e-06
NCS2,1.0,-0.09146,1.549e-07,-0.025287,4.257e-07,3.442e-06,3.112e-10, 2.672,0.0007529,0.12564,4.644e-06
SWD3,1.0,-0.09792,2.530e-07,-0.032227,1.546e-07,3.529e-06,1.044e-10, 2.661,0.0007618,0.11901,2.189e-06
PHO85,1.0,-0.10038,3.162e-08,-0.049646,1.776e-08,4.502e-06,1.054e-11, 2.555,0.0007597,0.08623,6.992e-08
LEU3,1.0, 0.09016,2.251e-07, 0.020400,1.399e-07,5.359e-06,2.387e-10, 2.480,0.0007707,0.06042,7.005e-07
OPI1,1.0,-0.09065,0.000e+00,-0.047878,0.000e+00,5.427e-06,3.071e-11, 2.474,0.0007582,0.13385,8.756e-08
RGT2,1.0,-0.09761,4.243e-07,-0.020242,3.086e-07,5.731e-06,9.485e-10, 2.450,0.0007502,0.07607,1.236e-06
SRV2,1.0,-0.10044,3.498e-07,-0.052170,5.094e-07,6.235e-06,9.803e-10, 2.414,0.0007206,0.17338,2.121e-06
IOC2,1.0,-0.09510,9.922e-07,-0.020903,4.643e-07,6.442e-06,1.851e-09, 2.400,0.0007265,0.07929,1.805e-06
TOP3,1.0,-0.10746,1.252e-07,-0.027624,5.056e-08,6.651e-06,7.231e-10, 2.386,0.0007555,0.08131,1.096e-06
NOT3,1.0,-0.08510,8.011e-07,-0.018732,5.208e-07,6.907e-06,2.656e-09, 2.369,0.0007360,0.15279,5.540e-06
HUR1,1.0,-0.10040,6.385e-07,-0.030003,2.697e-07,7.005e-06,7.671e-10, 2.363,0.0007488,0.16076,1.947e-06
BRE1,1.0,-0.09953,1.391e-06,-0.033919,9.002e-07,7.112e-06,1.913e-09, 2.357,0.0007704,0.12194,5.740e-06
HHF1,1.0,-0.05700,8.433e-08,-0.004319,2.003e-08,7.322e-06,3.149e-10, 2.344,0.0007737,0.91506,1.762e-06
SNF2,1.0,-0.02605,1.265e-07,-0.054243,3.308e-07,7.363e-06,5.795e-10, 2.342,0.0007522,0.09758,5.922e-07
SWI3,1.0,-0.05608,2.757e-07,-0.046198,6.086e-07,7.970e-06,1.201e-09, 2.307,0.0007960,0.13234,1.939e-06
HSE1,1.0,-0.09765,5.034e-07,-0.033898,3.269e-07,8.288e-06,6.819e-10, 2.290,0.0007424,0.16104,3.294e-06
RTT107,1.0,-0.10517,7.162e-07,-0.018352,1.948e-07,8.598e-06,7.223e-10, 2.274,0.0007673,0.09381,1.843e-06
MSH2,1.0,-0.05992,9.189e-08,-0.006172,5.164e-09,8.770e-06,1.766e-10, 2.266,0.0007603,0.92686,6.443e-07
GCN4,1.0, 0.09699,3.162e-08, 0.024556,1.434e-08,9.497e-06,5.518e-11, 2.231,0.0007597,0.07482,4.714e-08
GCN5,1.0,-0.05946,7.166e-07,-0.044313,2.129e-07,9.937e-06,6.607e-10, 2.211,0.0007562,0.12177,2.647e-06
CTF4,1.0,-0.09410,3.375e-07,-0.024026,8.263e-08,1.073e-05,1.897e-10, 2.178,0.0007535,0.18516,2.844e-06
CDC26,1.0,-0.10948,1.932e-07,-0.020546,1.932e-08,1.252e-05,1.312e-09, 2.111,0.0007475,0.10636,1.650e-06
YPK1,1.0,-0.11067,7.052e-07,-0.036462,2.496e-07,1.350e-05,6.803e-10, 2.078,0.0007533,0.14648,2.285e-06
HST1,1.0,-0.05923,6.325e-08,-0.006028,3.162e-09,1.536e-05,3.190e-10, 2.022,0.0007592,0.94365,1.713e-07
RPN13,1.0,-0.07977,7.531e-07,-0.029694,3.668e-07,1.549e-05,2.610e-09, 2.019,0.0007971,0.24317,2.332e-06
ARX1,1.0,-0.07953,1.168e-06,-0.023087,5.585e-07,1.582e-05,5.316e-09, 2.009,0.0007693,0.09063,1.792e-06
