,soft_cor_c1,soft_beta_c1,soft_pval_c1,soft_cor_c2,soft_beta_c2,soft_pval_c2,hard_cor_c1,hard_beta_c1,hard_pval_c1,hard_cor_c2,hard_beta_c2,hard_pval_c2,soft_adjp_c1,soft_adjp_c2,hard_adjp_c1,hard_adjp_c2,ratio_1,ratio_2
PIB2, 1.78287e-02, 1.22041e-03,2.30541e-01,-1.97329e-02,-8.70331e-03,8.82867e-02, 1.86493e-02, 1.49547e-03,1.53173e-01,-4.67315e-02,-2.45709e-02,4.72106e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9345579,0.0654421
PHO80,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0384315,0.9615685
PFK2, 8.64955e-03, 1.39112e-03,6.34953e-01,-1.16814e-01,-5.75329e-02,1.17850e-09, 1.14435e-02, 2.61633e-03,3.93762e-01,-9.75307e-02,-7.54502e-02,2.20423e-02, 0.0000000, 6.1355773, 0.000000, 0.0000000,0.8502013,0.1497987
PFK1,-1.44159e-02,-1.05545e-02,1.25844e-01,-2.13921e-02,-3.44899e-03,5.36444e-02,-1.48148e-02,-1.06798e-02,7.80888e-01,-2.44928e-02,-3.43826e-03,6.32462e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1052065,0.8947935
PHO85,-1.00384e-01,-4.96463e-02,4.50182e-06,-1.50143e-02,-3.47008e-03,1.68190e-01,-5.34573e-02,-5.48764e-02,3.64374e-01,-1.81682e-02,-3.66303e-03,1.65903e-01, 2.5535201, 0.0000000, 0.000000, 0.0000000,0.0862285,0.9137715
PFK27, 2.79035e-04,-2.91614e-04,8.95045e-01,-7.61428e-02,-2.30278e-02,2.33857e-03,-1.34627e-04,-2.30712e-05,9.92054e-01,-3.27381e-02,-2.29690e-02,4.11296e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8253740,0.1746260
PHO13,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0371866,0.9628134
PET112, 1.27402e-01, 1.93194e-02,1.43706e-07,-3.08215e-02,-1.60140e-03,3.20435e-02, 5.04000e-02, 1.85506e-02,3.50648e-01,-2.28300e-02,-1.34997e-03,8.31266e-02, 4.0494338, 0.0000000, 0.000000, 0.0000000,0.0926888,0.9073112
PDE2,-3.02765e-02,-2.15186e-02,5.21601e-03,-2.76980e-02,-2.96003e-03,4.15875e-02,-4.83144e-02,-3.64646e-02,3.23842e-01,-2.46718e-02,-2.82415e-03,6.28021e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1062329,0.8937671
PCL8, 6.58528e-02, 1.76276e-02,8.23377e-04,-2.16081e-03, 3.97744e-05,9.67208e-01, 4.05441e-02, 1.93079e-02,3.95143e-01, 2.94970e-03, 2.24135e-04,8.24342e-01, 0.2913098, 0.0000000, 0.000000, 0.0000000,0.1057510,0.8942490
PCL6,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9703977,0.0296023
PBS2, 9.54767e-03, 1.45840e-03,7.96347e-01, 1.87337e-03, 2.89770e-04,7.76682e-01,-1.42212e-03,-7.40998e-04,9.77323e-01, 4.11902e-03, 3.31857e-04,7.55764e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0986524,0.9013476
PBP1,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.9517122,0.0482878
PAT1,-2.12668e-01,-9.49077e-02,9.30411e-23, 2.95193e-02, 5.62567e-03,4.33988e-02,-1.94773e-01,-2.11161e-01,8.60264e-03, 2.50598e-02, 5.54694e-03,5.37295e-02,19.2382335, 0.0000000, 0.000000, 0.0000000,0.0662986,0.9337014
PAP2, 1.08724e-02, 5.41511e-03,3.67546e-01,-7.58305e-03,-7.39994e-04,6.23709e-01, 1.20454e-02, 7.08542e-03,7.54928e-01,-5.12343e-03,-6.01436e-04,7.05759e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1807943,0.8192057
OPI1,-9.06504e-02,-4.78783e-02,5.42657e-06, 2.36636e-02, 3.09534e-03,2.35167e-01,-5.63075e-02,-5.60839e-02,2.13418e-01, 1.78806e-02, 3.67608e-03,1.80277e-01, 2.4723834, 0.0000000, 0.000000, 0.0000000,0.1338460,0.8661540
OCA6, 1.58016e-02, 1.27926e-03,2.52167e-01, 4.25504e-02, 2.08924e-02,2.30754e-05, 1.15884e-02, 1.02783e-03,3.75967e-01, 1.04965e-01, 5.14026e-02,8.63330e-02, 0.0000000, 1.8437596, 0.000000, 0.0000000,0.9224006,0.0775994
OCA4,-3.19243e-02,-2.25671e-03,6.07589e-01, 4.41388e-02, 3.12514e-03,2.94988e-03, 1.14418e-02, 4.75310e-03,8.30378e-01, 3.60653e-02, 2.98703e-03,6.21849e-03, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0975543,0.9024457
OCA5, 1.41546e-02, 7.86318e-03,4.74261e-02, 2.84313e-02, 1.74281e-03,9.03494e-02, 6.14276e-02, 2.32884e-02,2.27951e-01, 1.97570e-02, 1.59467e-03,1.35162e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.1084876,0.8915124
OCA2,-1.70172e-03, 4.05043e-03,4.07396e-01, 2.80505e-02, 2.36266e-03,3.98480e-02, 1.72303e-02, 8.52019e-03,7.67834e-01, 2.60504e-02, 2.34151e-03,4.70637e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0815773,0.9184227
OCA1, 5.07649e-02, 1.56533e-02,3.08666e-03, 1.21322e-02, 9.98437e-04,4.68712e-01, 7.13149e-02, 3.84825e-02,3.08378e-01, 1.07563e-02, 1.17150e-03,4.08732e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0645991,0.9354009
NUP60,-1.50644e-01,-3.48611e-02,3.42866e-11, 1.02878e-03,-3.30109e-04,8.55499e-01,-6.03062e-02,-2.90689e-02,2.30569e-01, 1.23087e-04, 1.76057e-05,9.92581e-01, 7.6717844, 0.0000000, 0.000000, 0.0000000,0.1306827,0.8693173
NUP170,-5.75129e-04,-2.72899e-04,8.74463e-01, 2.99501e-02, 2.07586e-02,8.15708e-03,-1.98975e-03,-2.71376e-04,8.80417e-01, 4.98151e-02, 3.72639e-02,3.27735e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8954586,0.1045414
NUP188,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,          NA,          NA,         NA,        NA,        NA,       NA,        NA,0.0450804,0.9549196
NUP120, 1.35329e-02, 1.36758e-03,4.20352e-01,-7.08682e-02,-1.43397e-02,7.93437e-03, 1.23981e-02, 1.65620e-03,3.47948e-01,-3.13275e-02,-1.56355e-02,5.45866e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8846008,0.1153992
NTH2, 5.07929e-03, 7.18559e-04,5.94473e-01, 4.05021e-02, 7.96416e-03,3.05305e-01, 7.69261e-03, 8.17761e-04,5.57173e-01,-2.25429e-03,-1.62280e-03,9.69990e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.9305805,0.0694195
NPR2, 1.63120e-02, 1.00613e-03,2.23619e-01,-1.68153e-01,-3.75625e-02,6.69426e-19, 1.56008e-02, 1.01853e-03,2.32052e-01,-1.28053e-01,-5.16877e-02,4.89482e-02, 0.0000000,15.3812059, 0.000000, 0.0000000,0.9380047,0.0619953
NRP1,-1.45737e-02,-8.92798e-04,2.72051e-01, 1.03452e-02, 3.39502e-03,3.45194e-01,-1.01222e-02,-6.47652e-04,4.43120e-01, 1.41883e-02, 5.04876e-03,7.87331e-01, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.8993975,0.1006025
NOP6, 2.73480e-02, 1.19272e-02,3.28614e-02,-3.45516e-02,-2.98603e-03,6.76696e-03, 5.11313e-02, 2.93609e-02,4.45346e-01,-3.14368e-02,-2.73145e-03,1.59043e-02, 0.0000000, 0.0000000, 0.000000, 0.0000000,0.0609622,0.9390378
NPT1,-7.06320e-02,-5.17311e-03,5.04327e-08,-8.46427e-02,-2.03609e-02,4.83324e-03,-6.65140e-02,-4.97100e-03,4.43009e-07,-2.88944e-02,-1.78237e-02,5.87932e-01, 4.5041965, 0.0000000, 3.560496, 0.0000000,0.9237914,0.0762086
