"","cor","beta","pval_beta","adjp_beta","ratio","iter"
"STE50"," 0.222270"," 0.01813878"," 6.60687e-26"," 22.40403","0.941931"," 50"
"SRP40","-0.218472","-0.04196774"," 4.60027e-25"," 21.56124","0.896871","417"
"CAR2","-0.212466","-0.02329653"," 9.19798e-24"," 20.26033","0.924410"," 35"
"VPS24"," 0.208222"," 0.02154802"," 7.40096e-23"," 19.35474","0.860396"," 83"
"BCS1"," 0.202988"," 0.02153006"," 8.66062e-22"," 18.28648","0.727441","710"
"EXO1","-0.199094","-0.01975463"," 5.25544e-21"," 17.50342","0.890957"," 58"
"STE20"," 0.195234"," 0.01369316"," 3.02734e-20"," 16.74296","0.938322"," 28"
"VHR2"," 0.195154"," 0.01239647"," 3.13802e-20"," 16.72737","0.920626"," 74"
"URE2","-0.193574","-0.02435731"," 6.35613e-20"," 16.42083","0.916577"," 39"
"MET18"," 0.191608"," 0.02861731"," 1.51694e-19"," 16.04306","0.773980","163"
"PUF3"," 0.186992"," 0.01339827"," 1.12745e-18"," 15.17193","0.913066"," 55"
"ASE1","-0.186172","-0.01333490"," 1.60178e-18"," 15.01942","0.890650"," 84"
"DID4"," 0.186106"," 0.04730733"," 1.64747e-18"," 15.00721","0.909264","144"
"NCE102","-0.184100","-0.01681357"," 3.92787e-18"," 14.62987","0.940866"," 39"
"MUM2","-0.181199","-0.01719534"," 1.29996e-17"," 14.11010","0.906548"," 91"
"SSF1"," 0.180086"," 0.02512532"," 2.06031e-17"," 13.91009","0.917968"," 97"
"SUS1"," 0.179368"," 0.02760322"," 2.76916e-17"," 13.78168","0.768131","226"
"DAT1","-0.179159","-0.01912665"," 3.01670e-17"," 13.74449","0.934144"," 94"
"UBP10"," 0.177226"," 0.03485917"," 6.63701e-17"," 13.40205","0.801465","139"
"NUT1"," 0.175425"," 0.02448983"," 1.39474e-16"," 13.07953","0.939705"," 58"
"PUF6"," 0.174004"," 0.02803085"," 2.42318e-16"," 12.83964","0.924870"," 75"
"SIR3"," 0.173517"," 0.02026161"," 2.98680e-16"," 12.74882","0.947366"," 41"
"SWM1"," 0.169843"," 0.01799938"," 1.24360e-15"," 12.12934","0.896419"," 73"
"HAP3"," 0.168800"," 0.01696651"," 1.86181e-15"," 11.95409","0.930694"," 46"
"OCA5"," 0.168785"," 0.01524129"," 1.87251e-15"," 11.95160","0.878679"," 75"
"TSL1"," 0.168515"," 0.04372742"," 2.07819e-15"," 11.90634","0.813354","361"
"PTC4","-0.167195","-0.01437048"," 3.44732e-15"," 11.68654","0.920689","154"
"CDH1"," 0.165378"," 0.01629425"," 6.87427e-15"," 11.38680","0.867521"," 81"
"CLN3"," 0.159467"," 0.01648022"," 6.15450e-14"," 10.43483","0.751240","243"
"NOP12"," 0.159467"," 0.02256182"," 6.15556e-14"," 10.43476","0.946224"," 67"
"SWI4"," 0.158306"," 0.02501773"," 9.37654e-14"," 10.25198","0.908354","147"
"HSE1"," 0.157403"," 0.03792296"," 1.29803e-13"," 10.11074","0.798893","205"
"UBA3"," 0.155878"," 0.01735189"," 2.23807e-13","  9.87415","0.891542"," 91"
"VPS8"," 0.154307"," 0.03260447"," 3.90188e-13","  9.63275","0.790967","185"
"NUP133"," 0.153532"," 0.03392432"," 5.12223e-13","  9.51457","0.881674"," 93"
"AZF1","-0.152539","-0.01634057"," 7.24282e-13","  9.36412","0.873929","179"
"CHD1","-0.151220","-0.02085545"," 1.14367e-12","  9.16572","0.867934","231"
"RSC2"," 0.150559"," 0.04027271"," 1.43609e-12","  9.06684","0.845171","153"
"GAT2"," 0.150127"," 0.00905729"," 1.66536e-12","  9.00252","0.932538"," 86"
"RTT106"," 0.149337"," 0.02012058"," 2.18073e-12","  8.88542","0.948781","108"
"VPS25"," 0.149118"," 0.02302397"," 2.34920e-12","  8.85311","0.883113"," 64"
"IES5"," 0.145977"," 0.01568357"," 6.75821e-12","  8.39419","0.894077"," 71"
"ELC1"," 0.144403"," 0.01185136"," 1.13785e-11","  8.16794","0.859331","136"
"HHF1"," 0.144339"," 0.01231700"," 1.16206e-11","  8.15880","0.932243","131"
"HXK2"," 0.143330"," 0.02171341"," 1.61759e-11","  8.01516","0.849527"," 59"
"CGR1"," 0.143222"," 0.01877364"," 1.67586e-11","  7.99979","0.933114","141"
"SAT4","-0.142166","-0.01252295"," 2.36280e-11","  7.85060","0.891765"," 94"
"APN2"," 0.141883"," 0.01129614"," 2.58952e-11","  7.81081","0.915774"," 65"
"SNF5"," 0.140973"," 0.03361564"," 3.47221e-11","  7.68342","0.886659"," 75"
"SFP1"," 0.140237"," 0.04424333"," 4.39659e-11","  7.58091","0.692543","341"
"HIR2"," 0.140190"," 0.01055437"," 4.46297e-11","  7.57440","0.900712","138"
"VPS36"," 0.138992"," 0.01814021"," 6.53450e-11","  7.40881","0.873698"," 43"
"MSI1","-0.137951","-0.01663536"," 9.07667e-11","  7.26610","0.918760"," 74"
"DBP3"," 0.137653"," 0.02402426"," 9.96483e-11","  7.22556","0.895759","122"
"NUP120"," 0.135634"," 0.02013298"," 1.86935e-10","  6.95234","0.853030","225"
"UBC4"," 0.135600"," 0.02627984"," 1.88875e-10","  6.94785","0.947927"," 70"
"XRN1"," 0.135318"," 0.06091154"," 2.06114e-10","  6.90992","0.795851","178"
