,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
CLB5,1.0, 0.09381,0.000e+00, 0.009858,0.000e+00,1.654e-07,4.830e-13, 4.049,0.0005680,0.9144,0.000e+00
NOP6,1.0,-0.09721,5.164e-08,-0.007634,3.162e-09,2.191e-07,1.430e-12, 3.927,0.0005696,0.9095,0.000e+00
GPB2,1.0,-0.08916,0.000e+00,-0.008778,1.337e-08,2.838e-07,2.271e-12, 3.814,0.0005696,0.9084,6.325e-07
PPH3,1.0,-0.08560,0.000e+00,-0.010016,0.000e+00,2.860e-07,1.059e-12, 3.811,0.0005665,0.9350,0.000e+00
FKS1,1.0,-0.08855,6.325e-08,-0.013165,4.789e-08,2.992e-07,7.891e-12, 3.791,0.0005587,0.8626,1.897e-06
SAC3,1.0,-0.09034,0.000e+00,-0.016891,3.302e-08,4.613e-07,1.133e-11, 3.603,0.0005775,0.8996,2.440e-06
CMK2,1.0,-0.08213,0.000e+00,-0.006762,3.162e-09,4.874e-07,3.091e-12, 3.579,0.0005673,0.9247,0.000e+00
DLS1,1.0, 0.09420,6.447e-07, 0.008205,2.440e-08,5.341e-07,7.607e-11, 3.540,0.0005579,0.9254,1.874e-06
RTG3,1.0,-0.08403,5.164e-08,-0.008144,2.582e-08,7.692e-07,2.406e-11, 3.381,0.0005603,0.9206,7.888e-07
UBP14,1.0, 0.08594,4.830e-08, 0.006543,9.661e-09,8.485e-07,4.977e-12, 3.339,0.0005665,0.9438,6.325e-07
KIN82,1.0, 0.08766,3.335e-07, 0.005853,4.216e-09,9.379e-07,6.474e-11, 3.295,0.0005554,0.8867,2.951e-06
NUP133,1.0,-0.09161,5.395e-07,-0.016903,4.743e-08,9.637e-07,1.365e-10, 3.283,0.0005875,0.9080,2.066e-06
CLB2,1.0, 0.08677,9.487e-08, 0.006926,3.162e-09,1.393e-06,5.482e-11, 3.123,0.0005620,0.9257,1.101e-06
GSY2,1.0,-0.09343,9.024e-07,-0.006973,3.712e-08,1.401e-06,3.034e-10, 3.121,0.0006073,0.9086,3.373e-06
HER2,1.0, 0.08515,4.216e-08, 0.004385,1.265e-08,1.580e-06,1.912e-11, 3.069,0.0005689,0.9053,1.687e-06
CST6,1.0,-0.09067,7.700e-07,-0.024484,7.246e-08,1.927e-06,3.401e-10, 2.982,0.0005330,0.8733,2.898e-06
SSN8,1.0,-0.08441,6.749e-08,-0.016216,1.265e-08,2.036e-06,3.972e-11, 2.958,0.0005681,0.9042,8.433e-07
SRB5,1.0, 0.08774,2.898e-07, 0.015745,1.581e-08,2.304e-06,1.686e-10, 2.905,0.0005610,0.9194,1.567e-06
VPS15,1.0,-0.08553,2.066e-07,-0.018651,5.164e-09,2.717e-06,1.352e-10, 2.833,0.0005630,0.8687,1.713e-06
OPI3,1.0,-0.08816,5.292e-07,-0.034047,1.265e-08,2.727e-06,3.838e-10, 2.832,0.0005464,0.8200,5.481e-06
RAD26,1.0,-0.08848,9.279e-07,-0.007376,3.381e-08,3.754e-06,7.584e-10, 2.693,0.0006147,0.9146,3.615e-06
STE5,1.0, 0.08401,1.687e-07, 0.006492,4.216e-09,3.859e-06,1.679e-10, 2.681,0.0005700,0.9351,4.216e-07
RAM1,1.0,-0.08806,6.325e-07,-0.030204,5.187e-08,4.212e-06,5.690e-10, 2.643,0.0005511,0.8693,3.293e-06
MMS1,1.0, 0.08836,5.763e-07, 0.009057,3.373e-08,4.254e-06,7.148e-10, 2.638,0.0005464,0.9117,2.951e-06
SIT4,1.0,-0.08412,3.872e-07,-0.016156,4.830e-09,6.184e-06,5.633e-10, 2.476,0.0005616,0.8743,3.327e-06
SPP1,1.0,-0.07978,5.763e-07,-0.009095,1.265e-08,1.080e-05,1.250e-09, 2.234,0.0005864,0.9331,3.373e-06
SET1,1.0,-0.07139,3.093e-07,-0.011954,6.268e-08,1.236e-05,8.249e-10, 2.175,0.0005616,0.9427,1.581e-06
MIH1,1.0,-0.07601,0.000e+00,-0.007697,0.000e+00,1.675e-05,0.000e+00, 2.043,0.0005704,0.9323,0.000e+00
RXT3,1.0, 0.08169,3.142e-06, 0.009823,1.982e-07,3.035e-05,1.825e-08, 1.785,0.0006251,0.8236,1.687e-05
RAD1,1.0, 0.08643,8.564e-07, 0.007470,6.000e-08,4.597e-05,8.090e-09, 1.605,0.0005870,0.8892,1.581e-06
