ID,Transcription responsiveness
YBL101W-A,
YBL101W-B,
YBL102W,1053.4011120245
YBL103C,872.301505649
YBL104C,787.9891270142
YBL105C,727.5290315575
YBL106C,835.2456491781
YBL107C,947.460170389
YBL107WA,264.8341967977
YBL107W-A,
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,2982.8584764818
YBL112C,
YBL113C,1925.0290818764
YBL113W-A,
YBR001C,1190.5978921642
YBR002C,967.6986065239
YBR003W,1398.7564897909
YBR004C,1200.071102093
YBR005W,2623.4037529862
YBR006W,1842.2493237185
YBR007C,698.1011449844
YBR008C,2336.857435218
YBR009C,3900.4760000113
YBR010W,2537.8689843665
YBR011C,1352.7767335252
YBR012C,2168.3928922252
YBR012W-A,
YBR012W-B,
YBR013C,824.2679050616
YBR014C,769.3161586732
YBR015C,1382.4581796379
YBR016W,1589.2733344369
YBR017C,735.5224283901
YBR018C,8150.0075880698
YBR019C,7319.4545893716
YBR020W,4047.016612806
YBR021W,1474.9562659932
YBR022W,612.9204839522
YBR023C,1116.0045178321
YBR024W,1044.128317929
YBR025C,1348.3479218352
YBR026C,2648.3128070378
YBR027C,
YBR028C,1079.0910944727
YBR029C,1073.6567975771
YBR030W,945.6972039093
YBR031W,
YBR032W,
YBR033W,1235.6118577565
YBR034C,1764.3530338496
YBR035C,1543.3888182667
YBR036C,949.5323570338
YBR037C,1160.9095844888
YBR038W,2120.6924217207
YBR039W,1975.4637769317
YBR040W,17755.6174949512
YBR041W,1057.1532170128
YBR042C,1090.6597460075
YBR043C,1201.5730811999
YBR044C,807.3081685945
YBR045C,
YBR046C,2773.123541323
YBR047W,3474.570745038
YBR048W,2216.2406151288
YBR049C,1393.9326262747
YBR050C,2071.517747731
YBR051W,1876.8110589553
YBR052C,2091.176792333
YBR053C,3254.2282249403
YBR054W,8187.553542465
YBR055C,651.121964936
YBR056C-B,
YBR056W,2685.013822066
YBR056W-A,
YBR057C,872.8919138527
YBR058C,707.1021421257
YBR058C-A,
YBR059C,1343.6312891688
YBR060C,595.9999160114
YBR061C,1065.695072131
YBR062C,975.6664563284
YBR063C,
YBR064W,1008.0015942606
YBR065C,988.2734640585
YBR066C,1794.412743984
YBR067C,4540.4986366353
YBR068C,2213.3501991143
YBR069C,2399.4240510088
YBR070C,1643.8507505434
YBR071W,2661.9287747359
YBR072C-A,
YBR072W,11070.792731252
YBR073W,1226.3915094358
YBR074W,1312.4955998515
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,988.0865666255
YBR078W,1907.5455591107
YBR079C,1416.5479580488
YBR080C,998.8133597566
YBR081C,685.6743207443
YBR082C,1444.9949437541
YBR083W,5496.649989938
YBR084C-A,
YBR084W,1684.6928107912
YBR085C-A,
YBR085W,1393.4536835299
YBR086C,1161.6278754257
YBR087W,937.3949800354
YBR088C,3307.1315508411
YBR089CA,924.8647102737
YBR089C-A,
YBR089W,
YBR090C,
YBR090C-A,
YBR091C,1023.9350464941
YBR092C,5425.6620691984
YBR093C,
YBR094W,747.429160191
YBR095C,667.6482368831
YBR096W,1102.3170312011
YBR097W,1089.8664754115
YBR098W,831.8657921938
YBR099C,
YBR100W,
YBR101C,2463.5462665864
YBR102C,909.8524728545
YBR103C-A,
YBR103W,636.4801411558
YBR104W,1636.3861410365
YBR105C,3428.508862729
YBR106W,1869.3420842417
YBR107C,703.6494397478
YBR108W,
YBR109C,1073.6443217547
YBR109W-A,
YBR110W,899.334386133
YBR111C,1372.0273954024
YBR111W-A,
YBR112C,1706.7512038516
YBR113W,
YBR114W,2242.5257226667
YBR115C,2145.516848754
YBR116C,3182.2204763223
YBR117C,2627.1873779129
YBR118W,1224.0906005684
YBR119W,670.2097735093
YBR120C,857.5226418484
YBR121C,1248.3606121967
YBR121C-A,
YBR122C,932.5005720484
YBR123C,641.4013148288
YBR124W,
YBR125C,659.7909477964
YBR126C,2807.6513257775
YBR126W-A,
YBR126W-B,
YBR127C,1324.8792115008
YBR128C,721.5666320337
YBR129C,833.7154759473
YBR130C,613.6606621531
YBR131C-A,
YBR131W,495.2734901853
YBR132C,2252.3875010855
YBR133C,763.2932287094
YBR134W,
YBR135W,982.3463352361
YBR136W,1859.0264798115
YBR137W,1188.7354044041
YBR138C,1400.8657448488
YBR139W,2273.9445472071
YBR140C,894.8974932352
YBR141C,1037.956711273
YBR141W-A,
YBR142W,1580.9789943421
YBR143C,1397.9464422355
YBR144C,3261.4163244345
YBR145W,3919.8400298164
YBR146W,1163.0546341034
YBR147W,4989.992202438
YBR148W,2139.0556005389
YBR149W,2865.2452287217
YBR150C,1051.6285199175
YBR151W,935.6684901093
YBR152W,836.8603709827
YBR153W,634.9649994201
YBR154C,1788.3223933591
YBR155W,1376.9997500553
YBR156C,1248.0948031079
YBR157C,2202.67064833
YBR158W,3668.4226625718
YBR159W,965.9766219027
YBR160W,1140.8879975229
YBR161W,761.3699490266
YBR162C,1911.5629967069
YBR162WA,1179.9516745676
YBR162W-A,
YBR163W,646.8191239435
YBR164C,773.1616553433
YBR165W,712.1667145627
YBR166C,802.1676862347
YBR167C,795.3697627689
YBR168W,1215.100073445
YBR169C,2905.8147628745
YBR170C,837.7199155187
YBR171W,794.4114686781
YBR172C,
YBR173C,1122.6010131203
YBR174C,677.0394710966
YBR175W,612.1658612715
YBR176W,698.4614264265
YBR177C,1774.9894509169
YBR178W,
YBR179C,1084.4682756568
YBR180W,3042.6323807812
YBR181C,
YBR182C,1183.1371758349
YBR182C-A,
YBR183W,2266.9704334729
YBR184W,1638.2873104602
YBR185C,1199.7566467073
YBR186W,1250.1598008871
YBR187W,1607.7867497845
YBR188C,671.0737388757
YBR189W,3102.5874682682
YBR190W,2656.6708609764
YBR191W,2671.6276184066
YBR191W-A,
YBR192W,748.3813187287
YBR193C,591.7372142838
YBR194W,645.1659785635
YBR195C,852.8366001184
YBR196C,2192.0266798307
YBR196C-A,
YBR196C-B,
YBR197C,787.1995971668
YBR198C,793.9980226302
YBR199W,757.967632438
YBR200W,796.5141019773
YBR200W-A,
YBR201C-A,
YBR201W,1095.8860763949
YBR202W,1361.0398874664
YBR203W,1257.3451572103
YBR204C,1152.8087498461
YBR205W,945.1042979685
YBR206W,
YBR207W,1206.1934985599
YBR208C,1422.4463144436
YBR209W,983.1262885609
YBR210W,658.9737316171
YBR211C,772.2248013733
YBR212W,1276.5634188977
