ID,Replication time
YBR028C,32.78
YBR029C,32.89
YBR030W,32.99
YBR031W,33.13
YBR032W,33.16
YBR033W,33.16
YBR034C,32.65
YBR035C,32.33
YBR036C,30.62
YBR037C,30.16
YBR038W,30.16
YBR039W,28.59
YBR040W,28.29
YBR041W,27.77
YBR042C,27.23
YBR043C,27.04
YBR044C,27.13
YBR045C,28.3
YBR046C,28.73
YBR047W,28.73
YBR048W,29.19
YBR049C,31.12
YBR050C,32.02
YBR051W,32.02
YBR052C,32.44
YBR053C,32.85
YBR054W,34.02
YBR055C,35.37
YBR056C-B,35.96
YBR056W,35.37
YBR056W-A,35.96
YBR057C,35.96
YBR058C,35.78
YBR058C-A,35.78
YBR059C,35.65
YBR060C,35.67
YBR061C,35.48
YBR062C,35.34
YBR063C,34.89
YBR064W,35.14
YBR065C,34.58
YBR066C,34.21
YBR067C,33.34
YBR068C,32.08
YBR069C,31.09
YBR070C,30.79
YBR071W,30.5
YBR072C-A,29.64
YBR072W,29.92
YBR073W,29.64
YBR074W,28.96
YBR075W,
YBR076C-A,28.31
YBR076W,28.47
YBR077C,28.1
YBR078W,27.82
YBR079C,25.51
YBR080C,24.46
YBR081C,22.6
YBR082C,22.28
YBR083W,22.2
YBR084C-A,23.69
YBR084W,22.38
YBR085C-A,25.53
YBR085W,24.14
YBR086C,27.07
YBR087W,27.07
YBR088C,27.64
YBR089CA,
YBR089C-A,27.92
YBR089W,27.64
YBR090C,28.18
YBR090C-A,
YBR091C,28.18
YBR092C,28.72
YBR093C,28.99
YBR094W,29.59
YBR095C,30.77
YBR096W,31.25
YBR097W,31.25
YBR098W,34.04
YBR099C,34.99
YBR100W,
YBR101C,35.4
YBR102C,36.38
YBR103C-A,36.78
YBR103W,36.38
YBR104W,36.78
YBR105C,36.98
YBR106W,37.01
YBR107C,36.89
YBR108W,36.89
YBR109C,35.91
YBR109W-A,35.91
YBR110W,35.91
YBR111C,34.78
YBR111W-A,34.37
YBR112C,33.18
YBR113W,33.18
YBR114W,32.52
YBR115C,30.44
YBR116C,29.84
YBR117C,28.32
YBR118W,27.43
YBR119W,25.55
YBR120C,24.66
YBR121C,22.59
YBR121C-A,23.13
YBR122C,22.25
YBR123C,22.21
YBR124W,22.21
YBR125C,22.82
YBR126C,23.62
YBR126W-A,23.62
YBR126W-B,23.62
YBR127C,24.36
YBR128C,25.02
YBR129C,25.35
YBR130C,25.71
YBR131C-A,26.11
YBR131W,26.11
YBR132C,28.09
YBR133C,29.17
YBR134W,29.17
YBR135W,29.17
YBR136W,29.37
YBR137W,29.83
YBR138C,29.99
YBR139W,29.99
YBR140C,32.11
YBR141C,32.8
YBR141W-A,32.46
YBR142W,32.8
YBR143C,33.72
YBR144C,33.82
YBR145W,33.82
YBR146W,33.93
YBR147W,33.97
YBR148W,34.0
YBR149W,34.26
YBR150C,35.17
YBR151W,35.44
YBR152W,35.72
YBR153W,35.99
YBR154C,36.54
YBR155W,36.54
YBR156C,37.75
YBR157C,38.04
YBR158W,38.57
YBR159W,38.96
YBR160W,39.09
YBR161W,39.05
YBR162C,38.6
YBR162WA,
YBR162W-A,38.36
YBR163W,38.36
YBR164C,37.46
YBR165W,37.46
YBR166C,36.31
YBR167C,36.31
YBR168W,35.87
YBR169C,33.95
YBR170C,32.98
YBR171W,32.98
YBR172C,31.54
YBR173C,31.07
YBR174C,31.07
YBR175W,31.07
YBR176W,30.61
YBR177C,29.35
YBR178W,29.35
YBR179C,28.68
YBR180W,28.68
YBR181C,28.75
YBR182C,28.93
YBR182C-A,29.04
YBR183W,29.15
YBR184W,29.24
YBR185C,29.23
YBR186W,29.1
YBR187W,28.65
YBR188C,28.1
YBR189W,28.1
YBR190W,27.8
YBR191W,27.49
YBR191W-A,27.16
YBR192W,27.16
YBR193C,26.44
YBR194W,26.03
YBR195C,25.57
YBR196C,24.52
YBR196C-A,23.92
YBR196C-B,23.92
YBR197C,23.28
YBR198C,21.13
YBR199W,21.13
YBR200W,19.89
YBR200W-A,19.1
YBR201C-A,19.12
YBR201W,19.1
YBR202W,19.27
YBR203W,21.2
YBR204C,24.03
YBR205W,24.03
YBR206W,24.79
YBR207W,25.57
YBR208C,31.15
YBR209W,31.15
YBR210W,33.18
YBR211C,34.34
YBR212W,34.34
YBR213W,35.71
YBR214W,36.05
YBR215W,36.6
YBR216C,37.31
YBR217W,37.31
YBR218C,37.71
YBR219C,37.71
YBR220C,37.67
YBR221C,37.53
YBR221W-A,37.53
YBR222C,37.34
YBR223C,37.15
YBR223W-A,37.34
YBR224W,37.15
YBR225W,37.15
YBR226C,36.96
YBR227C,36.95
YBR228W,36.95
YBR229C,37.08
YBR230C,37.01
YBR230W-A,37.01
YBR231C,36.44
YBR232C,36.44
YBR233W,36.44
YBR233W-A,36.12
YBR234C,35.27
YBR235W,35.27
YBR236C,32.94
YBR237W,32.94
YBR238C,31.6
YBR239C,31.13
YBR240C,30.52
YBR241C,29.62
YBR242W,29.62
YBR243C,29.36
YBR244W,29.36
YBR245C,30.12
YBR246W,30.12
YBR247C,30.83
YBR248C,31.25
YBR249C,31.64
YBR250W,31.82
YBR251W,32.04
YBR252W,32.07
YBR253W,32.04
YBR254C,31.96
YBR255C-A,31.43
YBR255W,31.96
YBR256C,31.24
YBR257W,31.24
YBR258C,30.92
YBR259W,30.92
YBR260C,30.61
YBR261C,30.55
YBR262C,30.49
YBR263W,30.49
YBR264C,30.35
YBR265W,30.35
YBR266C,30.28
YBR267W,30.3
YBR268W,30.27
YBR269C,30.3
YBR270C,30.45
YBR271W,30.45
YBR272C,30.74
YBR273C,30.77
YBR274W,30.77
YBR275C,29.95
YBR276C,29.86
YBR277C,29.86
YBR278W,29.86
YBR279W,29.87
YBR280C,30.03
YBR281C,30.21
YBR282W,30.23
YBR283C,30.17
YBR284W,30.1
YBR285W,29.91
YBR286W,29.82
YBR287W,29.66
YBR288C,29.47
YBR289W,29.47
YBR290W,29.18
YBR291C,28.89
YBR292C,28.72
YBR293W,28.37
YBR294W,27.99
YBR295W,27.43
YBR296C,26.94
YBR296C-A,26.97
YBR297W,26.97
YBR298C,27.11
YBR298C-A,27.11
YBR299W,27.11
YBR300C,27.11
YBR301W,27.11
YBR302C,27.11
YCL001W,19.5
YCL001W-A,19.8
YCL001W-B,20.21
YCL002C,19.5
YCL003W,
YCL004W,19.5
YCL005W,19.8
YCL005W-A,20.21
YCL006C,
YCL007C,19.8
YCL008C,20.21
YCL009C,20.7
YCL010C,21.82
YCL011C,22.39
YCL012C,22.95
YCL012W,
YCL013W,
YCL014W,25.53
YCL016C,25.53
YCL017C,26.06
YCL018W,26.41
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,24.1
YCL022C,22.58
YCL023C,20.05
YCL024W,20.05
YCL025C,19.23
YCL026C,
YCL026CA,
YCL026C-A,17.91
YCL026C-B,17.93
YCL027W,18.54
YCL028W,19.81
YCL029C,19.81
YCL030C,21.44
YCL031C,22.96
YCL032W,24.13
YCL033C,24.59
YCL034W,24.98
YCL035C,25.31
YCL036W,25.78
YCL037C,25.78
YCL038C,26.04
YCL039W,26.01
YCL040W,25.6
YCL041C,25.6
YCL042W,25.6
YCL043C,25.27
YCL044C,24.86
YCL045C,23.8
YCL046W,23.8
YCL047C,22.53
YCL048W,20.75
YCL048W-A,20.75
YCL049C,20.31
YCL050C,19.77
YCL051W,19.87
YCL052C,19.87
YCL053C,
YCL054W,21.55
YCL054W-A,22.18
YCL055W,24.21
YCL056C,24.87
YCL057C-A,26.69
YCL057W,26.11
YCL058C,26.69
YCL058W-A,26.69
YCL059C,26.69
YCL060C,
YCL061C,27.71
YCL062W,
YCL063W,29.56
YCL064C,29.56
YCL065W,30.7
YCL066W,31.08
YCL067C,31.08
YCL068C,31.45
YCL069W,32.14
YCL073C,32.69
YCL074W,
YCL075W,
YCL076W,33.22
YCR001W,21.17
YCR002C,22.03
YCR003W,22.38
YCR004C,22.68
YCR005C,23.17
YCR006C,23.35
YCR007C,23.43
YCR008W,23.09
YCR009C,22.54
YCR010C,22.43
YCR011C,23.02
YCR012W,23.34
YCR013C,23.64
YCR014C,24.14
YCR015C,24.35
YCR016W,24.75
YCR017C,25.41
YCR018C,25.46
YCR018C-A,25.29
YCR019W,25.18
YCR020C,24.97
YCR020CA,
YCR020C-A,24.97
YCR020WB,
YCR020W-B,24.97
YCR021C,24.73
YCR022C,24.6
YCR023C,24.23
YCR024C,24.16
YCR024CA,
YCR024C-A,24.14
YCR024C-B,24.14
YCR025C,24.18
YCR026C,24.48
YCR027C,25.13
YCR028C,27.49
YCR028CA,
YCR028C-A,27.98
YCR029C,
YCR029C-A,
YCR030C,29.44
YCR031C,29.91
YCR032W,30.73
YCR033W,31.65
YCR034W,30.54
YCR035C,29.91
YCR036W,29.91
YCR037C,29.01
YCR038C,28.79
YCR038W-A,28.82
YCR039C,28.79
YCR040W,28.79
YCR041W,28.79
YCR042C,28.81
YCR043C,28.75
YCR044C,28.65
YCR045C,28.26
YCR045W-A,28.49
YCR046C,27.94
YCR047C,27.53
YCR047W-A,27.94
YCR048W,27.53
YCR049C,27.53
YCR050C,26.57
YCR051W,26.57
YCR052W,26.07
YCR053W,25.14
YCR054C,24.24
YCR055C,
YCR056W,
YCR057C,24.49
YCR058C,
YCR059C,24.82
YCR060W,25.18
YCR061W,25.55
YCR062W,
YCR063W,26.2
YCR064C,26.5
YCR065W,26.5
YCR066W,27.27
YCR067C,28.54
YCR068W,29.0
YCR069W,29.92
YCR070W,
YCR071C,30.78
YCR072C,31.19
YCR073C,32.57
YCR073WA,
YCR073W-A,32.57
YCR074C,
YCR075C,32.79
YCR075W-A,32.79
YCR076C,32.87
YCR077C,33.0
YCR079W,33.0
YCR080W,
YCR081C-A,32.98
YCR081W,33.03
YCR082W,32.98
YCR083W,32.91
YCR084C,32.45
YCR085W,32.45
YCR086W,32.21
YCR087C-A,31.91
YCR087W,32.21
YCR088W,31.91
YCR089W,30.85
YCR090C,30.2
YCR091W,30.56
YCR092C,31.51
YCR093W,31.51
YCR094W,32.37
YCR095C,32.19
YCR095W-A,32.03
YCR096C,31.22
YCR097W,31.22
YCR097WA,
YCR097W-A,31.14
YCR097WB,
YCR098C,31.77
YCR099C,32.06
YCR100C,32.1
YCR101C,32.05
YCR102C,31.46
YCR102WA,
YCR102W-A,31.14
YCR103C,
YCR104W,30.79
YCR105W,30.79
YCR106W,30.79
YCR107W,30.79
YCR108C,30.79
YDL001W,22.26
YDL002C,22.26
YDL003W,22.29
YDL004W,22.01
YDL005C,22.01
YDL006W,21.52
YDL007C-A,21.38
YDL007W,21.37
YDL008W,21.59
YDL009C,21.68
YDL010W,21.68
YDL011C,21.68
YDL012C,21.75
YDL013W,21.92
YDL014W,22.0
YDL015C,22.12
YDL016C,22.27
YDL017W,22.66
YDL018C,22.66
YDL019C,23.12
YDL020C,23.49
YDL021W,22.99
YDL022C-A,22.09
YDL022W,22.56
YDL023C,22.56
YDL024C,22.09
YDL025C,21.75
YDL025W-A,21.82
YDL026W,21.99
YDL027C,21.99
YDL028C,22.24
YDL029W,24.06
YDL030W,25.4
YDL031W,28.2
YDL032W,28.2
YDL033C,28.2
YDL034W,29.36
YDL035C,29.36
YDL036C,30.84
YDL037C,32.14
YDL038C,
YDL039C,32.95
YDL040C,33.72
YDL041W,35.24
YDL042C,34.86
YDL043C,35.63
YDL044C,36.32
YDL045C,36.6
YDL045WA,
YDL045W-A,36.98
YDL046W,37.07
YDL047W,37.08
YDL048C,36.88
YDL049C,36.55
YDL050C,36.38
YDL051W,36.21
YDL052C,36.21
YDL053C,35.84
YDL054C,35.63
YDL055C,34.39
YDL056W,32.54
YDL057W,32.07
YDL058W,29.1
YDL059C,28.52
YDL060W,26.53
YDL061C,25.83
YDL062W,25.15
YDL063C,25.15
YDL064W,23.92
YDL065C,23.41
YDL066W,22.62
YDL067C,22.62
YDL068W,22.35
YDL069C,22.35
YDL070W,21.99
YDL071C,21.99
YDL072C,21.99
YDL073W,22.74
YDL074C,23.08
YDL075W,24.22
YDL076C,24.22
YDL077C,24.61
YDL078C,25.17
YDL079C,25.88
YDL080C,26.89
YDL081C,28.56
YDL082W,29.12
YDL083C,29.67
YDL084W,31.41
YDL085C-A,32.66
YDL085W,32.66
YDL086C-A,33.27
YDL086W,33.27
YDL087C,33.82
YDL088C,34.3
YDL089W,35.3
YDL090C,35.3
YDL091C,35.73
YDL092W,36.23
YDL093W,37.44
YDL094C,37.44
YDL095W,38.8
YDL096C,38.39
YDL097C,38.8
YDL098C,39.34
YDL099W,39.44
YDL100C,39.44
YDL101C,39.32
YDL102W,37.52
YDL103C,37.52
YDL104C,36.71
YDL105W,36.03
YDL106C,35.74
YDL107W,34.96
YDL108W,34.68
YDL109C,34.36
YDL110C,33.49
YDL111C,32.96
YDL112W,30.06
YDL113C,30.06
YDL114W,28.9
YDL114W-A,28.69
YDL115C,28.69
YDL116W,28.68
YDL117W,29.6
YDL118W,30.03
YDL119C,30.03
YDL120W,30.94
YDL121C,30.94
YDL122W,32.29
YDL123W,32.68
YDL124W,33.29
YDL125C,33.29
YDL126C,33.5
YDL127W,33.7
YDL128W,33.43
YDL129W,32.94
YDL130W,32.65
YDL130WA,
YDL130W-A,32.33
YDL131W,32.0
YDL132W,31.02
YDL133CA,
YDL133C-A,30.26
YDL133W,30.51
YDL134C,29.96
YDL134C-A,
YDL135C,29.21
YDL136W,28.76
YDL137W,27.66
YDL138W,26.35
YDL139C,25.36
YDL140C,25.21
YDL141W,28.49
YDL142C,28.49
YDL143W,29.74
YDL144C,29.74
YDL145C,30.47
YDL146W,32.41
YDL147W,33.16
YDL148C,33.16
YDL149W,35.3
YDL150W,35.59
YDL151C,35.59
YDL152W,35.84
YDL153C,35.84
YDL154W,36.65
YDL155W,37.07
YDL156W,37.54
YDL157C,37.54
YDL158C,37.77
YDL159C-B,37.97
YDL159W,37.97
YDL159W-A,38.14
YDL160C,38.14
YDL160C-A,38.3
YDL161W,38.19
YDL162C,38.19
YDL163W,38.01
YDL164C,38.01
YDL165W,36.95
YDL166C,36.95
YDL167C,36.46
YDL168W,34.93
YDL169C,34.5
YDL170W,33.86
YDL171C,33.64
YDL172C,32.22
YDL173W,31.79
YDL174C,31.79
YDL175C,30.79
YDL176W,28.99
YDL177C,28.99
YDL178W,28.33
YDL179W,28.02
YDL180W,27.01
YDL181W,26.62
YDL182W,26.23
YDL183C,25.53
YDL184C,25.25
YDL185C-A,24.7
YDL185W,24.7
YDL186W,24.7
YDL187C,24.7
YDL188C,24.75
YDL189W,25.22
YDL190C,25.22
YDL191W,26.68
YDL192W,27.13
YDL193W,28.07
YDL194W,29.57
YDL195W,31.62
YDL196W,31.62
YDL197C,31.62
YDL198C,31.99
YDL199C,32.08
YDL200C,31.99
YDL201W,31.85
YDL202W,31.66
YDL203C,31.43
YDL204W,30.6
YDL205C,30.32
YDL206W,29.57
YDL207W,29.59
YDL208W,29.59
YDL209C,29.69
YDL210W,30.15
YDL211C,30.58
YDL212W,30.79
YDL213C,30.88
YDL214C,30.99
YDL215C,31.4
YDL216C,32.01
YDL217C,32.45
YDL218W,32.82
