ID,Noise YEPD
YBR066C,
YBR067C,13.4705927897
YBR068C,1.6815160562
YBR069C,1.0621396226
YBR070C,
YBR071W,
YBR072C-A,
YBR072W,
YBR073W,
YBR074W,
YBR075W,
YBR076C-A,
YBR076W,
YBR077C,-1.0171565148
YBR078W,
YBR079C,-0.8408133276
YBR080C,-0.6624290936
YBR081C,2.7781287653
YBR082C,-1.3473638922
YBR083W,
YBR084C-A,-0.7817450617
YBR084W,3.3881527006
YBR085C-A,4.3387660351
YBR085W,
YBR086C,1.4266310906
YBR087W,2.4876116198
YBR088C,
YBR089CA,
YBR089C-A,0.381958062
YBR089W,
YBR090C,1.1920015581
YBR090C-A,
YBR091C,
YBR092C,9.1434028016
YBR093C,
YBR094W,
YBR095C,3.3178990684
YBR096W,
YBR097W,
YBR098W,
YBR099C,
YBR100W,
YBR101C,-0.6783102132
YBR102C,-4.6199864792
YBR103C-A,
YBR103W,
YBR104W,
YBR105C,2.520659607
YBR106W,-0.9958683018
YBR107C,
YBR108W,
YBR109C,
YBR109W-A,
YBR110W,3.4183539434
YBR111C,
YBR111W-A,
YBR112C,
YBR113W,
YBR114W,
YBR115C,4.9412758993
YBR116C,
YBR117C,
YBR118W,-0.7480011119
YBR119W,
YBR120C,-0.0387155642
YBR121C,-0.043397875
YBR121C-A,
YBR122C,0.571073002
YBR123C,
YBR124W,
YBR125C,
YBR126C,6.5793405711
YBR126W-A,
YBR126W-B,
YBR127C,-2.1440534681
YBR128C,
YBR129C,
YBR130C,-1.7392965833
YBR131C-A,
YBR131W,
YBR132C,3.0991666667
YBR133C,
YBR134W,
YBR135W,
YBR136W,
YBR137W,
YBR138C,
YBR139W,
YBR140C,
YBR141C,
YBR141W-A,
YBR142W,-0.9595760268
YBR143C,-2.3781808016
YBR144C,
YBR145W,
YBR146W,
YBR147W,
YBR148W,
YBR149W,9.4737500538
YBR150C,
YBR151W,4.681073002
YBR152W,0.6274764216
YBR153W,
YBR154C,
YBR155W,0.1886061894
YBR156C,
YBR157C,
YBR158W,
YBR159W,-1.9575426065
YBR160W,-1.7416621597
YBR161W,
YBR162C,-0.1790246384
YBR162WA,
YBR162W-A,0.2052019101
YBR163W,
YBR164C,-0.7502121582
YBR165W,
YBR166C,1.5562471521
YBR167C,
YBR168W,
YBR169C,5.9705530598
YBR170C,-0.6737002727
YBR171W,-1.9986422637
YBR172C,-1.0175340001
YBR173C,
YBR174C,
YBR175W,
YBR176W,
YBR177C,0.839775897
YBR178W,
YBR179C,-0.9779573092
YBR180W,
YBR181C,0.2809656573
YBR182C,
YBR182C-A,
YBR183W,
YBR184W,
YBR185C,-0.1276323758
YBR186W,
YBR187W,-0.267006513
YBR188C,
YBR189W,-1.4297642028
YBR190W,
YBR191W,-2.7085018696
YBR191W-A,
YBR192W,
YBR193C,
YBR194W,
YBR195C,
YBR196C,1.8721898668
YBR196C-A,
YBR196C-B,
YBR197C,
YBR198C,
YBR199W,5.7002037584
YBR200W,0.8947366533
YBR200W-A,
YBR201C-A,
YBR201W,
YBR202W,4.7255392814
YBR203W,
YBR204C,
YBR205W,
YBR206W,
YBR207W,2.9856233501
YBR208C,7.9142703574
YBR209W,
YBR210W,
YBR211C,
YBR212W,0.0708632636
YBR213W,
YBR214W,1.8267848723
YBR215W,
YBR216C,-1.223
YBR217W,
YBR218C,2.2042411374
YBR219C,
YBR220C,
YBR221C,6.2273850055
YBR221W-A,
YBR222C,5.2991326794
YBR223C,
YBR223W-A,
YBR224W,
YBR225W,
YBR226C,
YBR227C,-1.0865453148
YBR228W,
YBR229C,
YBR230C,
YBR230W-A,
YBR231C,
YBR232C,
YBR233W,
YBR233W-A,
YBR234C,
YBR235W,
YBR236C,-1.7515219741
YBR237W,-2.6620643157
YBR238C,
YBR239C,
YBR240C,
YBR241C,0.0242703574
YBR242W,2.0032266804
YBR243C,
YBR244W,14.2976529314
YBR245C,-0.8237607455
YBR246W,
YBR247C,-0.1955888175
YBR248C,-0.5784681025
YBR249C,3.3304702369
YBR250W,
YBR251W,-0.2898504387
YBR252W,1.8436381035
YBR253W,0.1045563051
YBR254C,
YBR255C-A,
YBR255W,
YBR256C,
YBR257W,
YBR258C,
YBR259W,
YBR260C,-0.8906471262
YBR261C,
YBR262C,-0.1677237955
YBR263W,2.6371625417
YBR264C,
YBR265W,-0.0569545961
YBR266C,
YBR267W,
YBR268W,5.596353596
YBR269C,
YBR270C,
YBR271W,
YBR272C,
YBR273C,
YBR274W,
YBR275C,
YBR276C,
YBR277C,
YBR278W,
YBR279W,-0.7210504658
YBR280C,
YBR281C,
YBR282W,0.2025987128
YBR283C,-0.1768353982
YBR284W,
YBR285W,
YBR286W,
YBR287W,3.7094055048
YBR288C,-3.5244498496
YBR289W,
YBR290W,0.0743831877
YBR291C,
YBR292C,
YBR293W,
YBR294W,
YBR295W,
YBR296C,
YBR296C-A,
YBR297W,
YBR298C,
YBR298C-A,
YBR299W,
YBR300C,
YBR301W,
YBR302C,
YCL001W,2.4382531076
YCL001W-A,
YCL001W-B,
YCL002C,
YCL003W,
YCL004W,
YCL005W,
YCL005W-A,
YCL006C,
YCL007C,
YCL008C,
YCL009C,5.3767494182
YCL010C,0.7755966518
YCL011C,-0.7480097695
YCL012C,
YCL012W,
YCL013W,
YCL014W,
YCL016C,
YCL017C,2.3271840016
YCL018W,
YCL019W,
YCL020W,
YCL021W,
YCL021W-A,
YCL022C,
YCL023C,
YCL024W,
YCL025C,21.6171947516
YCL026C,
YCL026CA,
YCL026C-A,
YCL026C-B,
YCL027W,
YCL028W,0.9459656573
YCL029C,
YCL030C,3.5002536737
YCL031C,-0.4409772981
YCL032W,
YCL033C,
YCL034W,
YCL035C,2.2363904206
YCL036W,
YCL037C,-0.6495303191
YCL038C,
YCL039W,
YCL040W,5.6893119941
YCL041C,
YCL042W,
YCL043C,0.4409965531
YCL044C,
YCL045C,-1.5374639396
YCL046W,
YCL047C,
YCL048W,
YCL048W-A,
YCL049C,
YCL050C,0.3559883526
YCL051W,
YCL052C,0.1878390664
YCL053C,
YCL054W,
YCL054W-A,
YCL055W,1.5182067481
YCL056C,
YCL057C-A,
YCL057W,-0.5684044398
YCL058C,
YCL058W-A,
YCL059C,3.9019204652
YCL060C,
YCL061C,
YCL062W,
YCL063W,
YCL064C,8.7785135532
YCL065W,
YCL066W,
YCL067C,
YCL068C,
YCL069W,
YCL073C,
YCL074W,
YCL075W,
YCL076W,
YCR001W,
YCR002C,2.3174291915
YCR003W,1.3632531076
YCR004C,2.8338699704
YCR005C,
YCR006C,
YCR007C,
YCR008W,
YCR009C,-0.3649855326
YCR010C,
YCR011C,-0.3002701831
YCR012W,-0.5535861525
YCR013C,
YCR014C,
YCR015C,
YCR016W,1.0313742741
YCR017C,0.9192703574
YCR018C,
YCR018C-A,12.5360950864
YCR019W,
YCR020C,
YCR020CA,
YCR020C-A,
YCR020WB,
YCR020W-B,-1.1620769004
YCR021C,
YCR022C,
YCR023C,
YCR024C,
YCR024CA,
YCR024C-A,1.3903610516
YCR024C-B,
YCR025C,
YCR026C,
YCR027C,-2.621244247
YCR028C,0.8562599293
YCR028CA,
YCR028C-A,3.3384892432
YCR029C,
YCR029C-A,
YCR030C,2.2286381035
YCR031C,
YCR032W,
YCR033W,
YCR034W,-1.9040503145
YCR035C,
YCR036W,0.0109216648
YCR037C,
YCR038C,
YCR038W-A,
YCR039C,
YCR040W,
YCR041W,
YCR042C,
YCR043C,-1.3314327791
YCR044C,1.2555530598
YCR045C,
YCR045W-A,
YCR046C,2.5366066996
YCR047C,1.884921347
YCR047W-A,
YCR048W,
YCR049C,
YCR050C,
YCR051W,0.7747017632
YCR052W,
YCR053W,-1.5066772488
YCR054C,-1.2857854753
YCR055C,
YCR056W,
YCR057C,-1.0707878493
YCR058C,
YCR059C,2.5564581659
YCR060W,1.3419177542
YCR061W,
YCR062W,
YCR063W,-0.4028374583
YCR064C,
YCR065W,
YCR066W,
YCR067C,0.6671512025
YCR068W,
YCR069W,
YCR070W,
YCR071C,1.3055362911
YCR072C,
YCR073C,
YCR073WA,
YCR073W-A,
YCR074C,
YCR075C,
YCR075W-A,
YCR076C,
YCR077C,-1.2977886343
YCR079W,
YCR080W,
YCR081C-A,
YCR081W,
YCR082W,
YCR083W,
YCR084C,
YCR085W,
YCR086W,
YCR087C-A,0.2122147133
YCR087W,
YCR088W,1.9187758514
YCR089W,
YCR090C,1.4518069477
YCR091W,
YCR092C,
YCR093W,-1.0164353501
YCR094W,1.4216802191
YCR095C,
YCR095W-A,
YCR096C,
YCR097W,
YCR097WA,
YCR097W-A,
YCR097WB,
YCR098C,
YCR099C,
YCR100C,
YCR101C,
YCR102C,
YCR102WA,
YCR102W-A,
YCR103C,
YCR104W,
YCR105W,
YCR106W,
YCR107W,
YCR108C,
YDL001W,
YDL002C,-1.1953422069
YDL003W,
YDL004W,
YDL005C,5.3995496949
YDL006W,
YDL007C-A,
YDL007W,
YDL008W,-2.5033243195
YDL009C,
YDL010W,
YDL011C,
YDL012C,-2.2599260193
YDL013W,
YDL014W,
YDL015C,-1.7355202984
YDL016C,
YDL017W,
YDL018C,-0.4486025323
YDL019C,-0.7931543746
YDL020C,
YDL021W,
YDL022C-A,
YDL022W,7.8712317526
YDL023C,
YDL024C,
YDL025C,1.9691041228
YDL025W-A,
YDL026W,
YDL027C,
YDL028C,
YDL029W,
YDL030W,
YDL031W,
YDL032W,
YDL033C,
YDL034W,
YDL035C,
YDL036C,
YDL037C,
YDL038C,
YDL039C,
YDL040C,-1.4781809483
YDL041W,
YDL042C,
YDL043C,
YDL044C,
YDL045C,
YDL045WA,
YDL045W-A,
YDL046W,-0.4633900888
YDL047W,1.3609131496
YDL048C,
YDL049C,
YDL050C,
YDL051W,0.1147106176
YDL052C,-2.1825094234
YDL053C,-0.7635804668
YDL054C,
YDL055C,
YDL056W,
YDL057W,
YDL058W,0.8514195332
YDL059C,
YDL060W,-0.5421096264
YDL061C,-2.7319546502
YDL062W,
YDL063C,0.1927986369
YDL064W,
YDL065C,-0.5087155642
YDL066W,2.7653517084
YDL067C,
YDL068W,
YDL069C,
YDL070W,0.0712599293
YDL071C,
YDL072C,0.9243676103
YDL073W,
YDL074C,-0.2974314761
YDL075W,
YDL076C,1.6878390664
YDL077C,
YDL078C,1.2509079093
YDL079C,
YDL080C,
YDL081C,-0.6573959218
YDL082W,-2.0733473121
YDL083C,-0.2587157381
YDL084W,
YDL085C-A,-0.6430714658
YDL085W,
YDL086C-A,
YDL086W,
YDL087C,
YDL088C,1.862080473
YDL089W,
YDL090C,
YDL091C,
YDL092W,-2.0844060947
YDL093W,
YDL094C,
YDL095W,-1.2233728211
YDL096C,
YDL097C,-2.1518978042
YDL098C,
YDL099W,-0.6497719609
YDL100C,-2.1912207627
YDL101C,
YDL102W,-1.7624630096
YDL103C,-0.4288720353
YDL104C,
YDL105W,
YDL106C,
YDL107W,
YDL108W,
YDL109C,
YDL110C,5.5940527197
YDL111C,0.1624659999
YDL112W,
YDL113C,
YDL114W,
YDL114W-A,
YDL115C,
YDL116W,-1.8966598904
YDL117W,
YDL118W,
YDL119C,
YDL120W,-0.6412456463
YDL121C,-0.7671052871
YDL122W,3.9107873908
YDL123W,0.8352370379
YDL124W,11.6117857717
YDL125C,-1.5589061929
YDL126C,1.1421060753
YDL127W,
YDL128W,2.8199182474
YDL129W,
YDL130W,-1.1566242554
YDL130WA,
YDL130W-A,3.0211015517
YDL131W,1.0191995709
YDL132W,0.0757948829
YDL133CA,
YDL133C-A,-0.5741618406
YDL133W,
YDL134C,-1.8004432105
YDL134C-A,
YDL135C,-0.6464893029
YDL136W,-2.4847475419
YDL137W,1.9681438964
YDL138W,
YDL139C,
YDL140C,1.1934066334
YDL141W,-0.4381371517
YDL142C,
YDL143W,
YDL144C,-0.9594444444
YDL145C,-3.2613398108
YDL146W,
YDL147W,-2.1310535609
YDL148C,
YDL149W,
YDL150W,1.1942059552
YDL151C,
YDL152W,
YDL153C,
YDL154W,
YDL155W,
YDL156W,
YDL157C,
YDL158C,
YDL159C-B,
YDL159W,3.6114602435
YDL159W-A,
YDL160C,-2.4215685758
YDL160C-A,
YDL161W,-0.6202151434
YDL162C,
YDL163W,
YDL164C,
YDL165W,1.1518922198
YDL166C,-1.5750817526
YDL167C,0.0183636329
YDL168W,9.107771121
YDL169C,
YDL170W,
YDL171C,2.5906392514
YDL172C,
YDL173W,2.0153483607
YDL174C,
YDL175C,
YDL176W,
YDL177C,
YDL178W,3.5269368644
YDL179W,
YDL180W,
YDL181W,8.4602019101
YDL182W,3.8612911303
YDL183C,
YDL184C,-2.4414710723
YDL185C-A,
YDL185W,-1.0109245842
YDL186W,
YDL187C,
YDL188C,
YDL189W,0.5634243013
YDL190C,-1.2488720353
YDL191W,-1.3996856037
YDL192W,-4.7103779952
YDL193W,-1.0594057001
YDL194W,
YDL195W,2.7243928667
YDL196W,
YDL197C,
YDL198C,
YDL199C,
YDL200C,
YDL201W,2.1282646563
YDL202W,1.7924422158
YDL203C,
YDL204W,
YDL205C,0.2186180735
YDL206W,
YDL207W,
YDL208W,-0.7241496095
YDL209C,
YDL210W,
YDL211C,
YDL212W,-2.0088839062
YDL213C,-1.6790788892
YDL214C,
YDL215C,2.437771121
YDL216C,
YDL217C,
YDL218W,
YDL219W,
YDL220C,
YDL221W,
YDL222C,
YDL223C,
YDL224C,0.3238016342
YDL225W,1.0835696676
YDL226C,-1.9702781686
YDL227C,
YDL228C,
YDL229W,-1.2648663612
YDL230W,
YDL231C,
YDL232W,-2.074449957
YDL233W,
YDL234C,
YDL235C,-1.5463035368
YDL236W,4.4234209792
YDL237W,
YDL238C,
YDL239C,
YDL240C-A,
YDL240W,
YDL241W,
YDL242W,
YDL243C,
YDL244W,
YDL245C,
YDL246C,
YDL247W,
YDL247W-A,
YDL248W,
YDR001C,2.3586381035
YDR002W,
